"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;11,636;7,15;4,750828;1,7770000000000001;0;2,018857205;0,8364392841253822;0,423
1991;11,636000000000001;7,15;4,750828;1,7770000000000001;0;2,018857205;0,8364392841253822;0,423
1992;11,635999999999997;7,150000000000001;4,750828;1,7770000000000001;0;2,018857205;0,836439284125382;0,423
1993;11,636000000000001;7,15;4,750828;1,7770000000000001;0;2,018857205;0,8364392841253822;0,423
1994;11,636;7,15;4,750828;1,7770000000000001;0;2,018857205;0,8364392841253823;0,42299999999999993
1995;11,636;7,15;4,750828;1,7770000000000001;0;2,018857205;0,836439284125382;0,42299999999999993
1996;11,636;7,15;4,750828;1,7770000000000001;0;2,018857205;0,8364392841253822;0,42299999999999993
1997;11,636;7,15;4,750828000000001;1,7770000000000006;0;2,018857205;0,8364392841253822;0,423
1998;11,636;7,149999999999999;4,750828;1,7770000000000001;0;2,018857205;0,8364392841253822;0,423
1999;11,636000000000001;7,15;4,750828000000001;1,777;0;2,018857205;0,8364392841253822;0,423
2000;11,636000000000001;7,150000000000001;4,750828;1,7770000000000001;0;2,018857205;0,8364392841253822;0,423
2001;10,762;7,156999999999999;4,778208;1,7120000000000002;0;1,933719594;0,8712909209639398;0,424
2002;11,343;6,9799999999999995;4,837584;1,7040000000000002;0;2,048724014;0,9075947093374375;0,42249999999999993
2003;11,114;6,55;5,030654;1,919;0;2,1139509940000005;0,9454111555598306;0,423
2004;11,698;6,715000000000001;4,969103999999999;1,957;0;2,005817239;0,9848032870414903;0,38300000000000006
2005;10,42;7,594;5,307743;1,8970000000000002;0;2,0944435180000003;1,0258367573348859;0,3828999999999999
2006;11,631;8,192136000000001;5,618998000000001;1,8969999999999998;0;2,294314778;1,0685799555571727;0,37860000000000005
2007;10,692;6,93;6,367972;1,931;0;2,25359693;1,113104120372055;0,394
2008;10,673000000000002;6,710000000000001;6,165136;2,00649;0;2,1717873400000003;1,159483458720891;0,3958
2009;5,635;5,99;6,760681999999999;1,9900000000000002;0;1,7525049899999998;1,2077952695009277;0,37370000000000003
2010;7,972999999999998;6,095;7,02967;1,9740000000000004;0;1,64436667;1,2581200723967998;0,3812
2011;8,025999999999998;6,953999999999999;6,619574;2,0399100000000003;0;1,54795993;1,3105417420799996;0,3942
2012;7,301;6,280000000000001;6,598851;2,03154;0;1,3259018219999996;1,3651476479999995;0,3967
2013;7,093;6,118999999999999;7,402252333333334;1,9852249999999998;0;1,1998937939999998;1,4220287999999996;0,38939999999999997
2014;7,331000000000001;6,1;7,357096666666666;2,06925;0;1,2892999989999996;1,48128;0,3873000000000001
2015;7,25714;5,5506332068251965;8,069973000000001;2,1492260000000005;0;1,396074826;1,5429999999999997;0,3763828571428568
2020;7,90339316432892;3,0893891578845993;8,240177120507548;2,1842162960739926;0;1,0391156399752945;0,8119312846519401;0,3521801861524278
2025;5,960973887316193;1,5764650592687586;7,487925181628078;2,0756797788545334;0;0,8022626097618418;0,2190413008972388;0,26217846594887423
2030;8,261990905360458;2,387107335889682;7,279168666997775;1,9525508993683642;0;0,8302367838253492;0,3200175521370162;0,2398443750061223
2035;8,464130218264676;3,7537592388028247;6,957077647326123;1,8144659356147397;0;0,9935756742548252;0,5858157843684014;0,23176856192016607
2040;5,737999678048004;3,893053079734724;6,369920678683777;1,6621824420297484;0;1,0226424913668486;0,6617922847249889;0,2159376783132387
2045;5,383269156623218;3,805049440697349;5,998064749774962;1,4967426548758038;0;0,9919154446389945;0,6768050559485146;0,20646450334534247
2050;5,166120405324855;3,6814171192312397;5,615079994046818;1,3189879927343107;0;0,9525343942172017;0,6812060382622681;0,19861952459240084
