"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;6,216;4,093000000000001;2,174969;0,804;0,039999999999999994;1,197;0;0
1991;6,216;4,093000000000001;2,1749689999999995;0,804;0,039999999999999994;1,197;0;0
1992;6,216;4,093;2,174969;0,8040000000000003;0,04;1,197;0;0
1993;6,216;4,092999999999999;2,1749690000000004;0,804;0,039999999999999994;1,197;0;0
1994;6,216;4,093;2,174969;0,804;0,04000000000000001;1,197;0;0
1995;6,216;4,093;2,174969;0,804;0,039999999999999994;1,197;0;0
1996;6,216;4,093;2,174969;0,804;0,04000000000000001;1,1970000000000003;0;0
1997;6,216;4,093;2,174969;0,804;0,04000000000000001;1,197;0;0
1998;6,216;4,093000000000001;2,174969;0,804;0,04000000000000001;1,197;0;0
1999;6,216;4,093000000000001;2,174969;0,804;0,04;1,197;0;0
2000;6,216;4,093;2,174969;0,804;0,04000000000000001;1,197;0;0
2001;6,316;3,550000000000001;1,7775039999999998;0,8640000000000001;0,020000000000000007;1,203;0;0
2002;6,512;3,2170000000000005;1,816208;0,8700000000000001;0,020000000000000007;1,3489999999999998;0;0
2003;6,7829999999999995;3,502000000000001;2,2562470000000006;0,9200000000000002;0,019999999999999997;1,4160000000000001;0;0
2004;7,033;3,828676999999999;2,963454;0,9340000000000002;0,024999999999999994;1,6620000000000001;0;0
2005;6,188999999999999;3,9780560000000014;3,043853;0,969;0,02999999999999999;1,6540000000000001;0;0
2006;6,862;4,238817999999998;2,918995;1,042;0,039999999999999994;1,7500000000000002;0;0
2007;7,059000000000002;4,89853;2,361641;1,0230000000000001;0,04800000000000001;1,6880000000000002;0;0
2008;6,387;4,71;2,2725079999999993;0,9320000000000002;0,04742699999999998;1,5192;0;0
2009;4,594;3,4219999999999993;2,63659;0,8047900000000001;0,026734999999999978;1,3293;0;0
2010;5,180000000000001;3,379;2,29445;0,7690000000000001;0,03990199999999999;1,3725030000000005;0;0
2011;5,583000000000001;3,9309999999999996;2,237055;0,7752000000000001;0,050185;1,4608020000000002;0;0
2012;5,072000000000002;3,4340000000000006;2,3059329999999996;0,781;0,05;1,4884389999999998;0;0
2013;5,171;3,2109999999999994;2,19658;0,6109;0,049999999999999996;1,457569;0;0
2014;5,360000000000002;3,6910000000000003;2,1085110000000005;0,6861000000000002;0,054921010394564825;1,469276;0;0
2015;5,261591;4,118526355849692;2,006594;0,7403200000000001;0,046820893588683535;1,604664;0;0
2020;4,1652996031386715;3,9119445986903916;1,9655763379694347;0,7101177927845226;0,028067330259679557;0,9782382573160107;0;0
2025;3,8530913326897225;3,5475794793211732;1,865612138003669;0,6461923765298067;0,02615224970731443;0,5246408799087975;0;0
2030;4,555829421916677;3,0405854651462123;1,860200078781261;0,5784774120322289;0,04089825900475149;0,5378710664521948;0;0
2035;4,469466395264999;2,566122595533661;1,7898480743057466;0,5107092770267745;0,046486112179934945;0,6866656390028315;0;0
2040;3,4297704712685526;2,332302221726588;1,6294426781557625;0,44690392628533615;0,033850263444683164;0,6989183576596393;0;0
2045;3,1196279248804273;2,175421303429754;1,5051128257929598;0,3879394580665676;0,029532567951470672;0,6595110008201008;0;0
2050;2,8606586624200556;2,027030362210823;1,3611905547813277;0,3320707588253963;0,02592276633347259;0,6178408738440716;0;0
