"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;0;0,32899999999999985;0,16986895000000002;0,054000000000000006;0;0,059147;0;0
1991;0;0,32900000000000007;0,16986895000000002;0,05400000000000001;0;0,059147;0;0
1992;0;0,329;0,16986895000000002;0,054000000000000006;0;0,059147000000000005;0;0
1993;0;0,32900000000000007;0,16986895000000002;0,05400000000000001;0;0,059147;0;0
1994;0;0,3289999999999998;0,16986895000000002;0,054000000000000006;0;0,059147;0;0
1995;0;0,329;0,16986895000000002;0,054000000000000006;0;0,059147;0;0
1996;0;0,329;0,16986895000000002;0,054000000000000006;0;0,059147;0;0
1997;0;0,3290000000000002;0,16986895000000002;0,05399999999999999;0;0,059147;0;0
1998;0;0,3289999999999998;0,16986895;0,054000000000000006;0;0,05914699999999999;0;0
1999;0;0,3290000000000002;0,16986895000000002;0,05400000000000001;0;0,059147;0;0
2000;0;0,3289999999999999;0,16986895000000002;0,054000000000000006;0;0,059147;0;0
2001;0;0,40499999999999975;0,16905757;0,07007000000000001;0;0,059147;0;0
2002;0;0,4109999999999999;0,14364226000000002;0,07503000000000001;0;0,059147;0;0
2003;0;0,4142000000000001;0,20088899999999998;0,064;0;0,059147000000000005;0;0
2004;0;0,5200000000000004;0,1883483;0,06579000000000002;0;0,059147;0;0
2005;0;0,676;0,19748720000000003;0,06404;0;0,059147;0;0
2006;0;0,6788999999999995;0,19814360000000003;0,07798999999999999;0;0,05914699999999999;0;0
2007;0;0,9373999999999996;0,1994555;0,07770000000000002;0;0,059147;0;0
2008;0;0,8079999999999998;0,2077966;0,06836999999999999;0;0,059147;0;0
2009;0;0,3260000000000003;0,06942401;0,06338;0;0,059147;0;0
2010;0;0,37500000000000017;0,08321510000000001;0,07567;0;0,059147000000000005;0;0
2011;0;0,45100000000000007;0,06847685999999999;0,07400000000000001;0;0,059147;0;0
2012;0;0,4820000000000001;0,08761096;0,07818;0;0,05914699999999999;0;0
2013;0;0,4570000000000002;0,1792782;0,07304000000000002;0;0,059147;0;0
2014;0;0,44699999999999973;0,05544691000000001;0,07364000000000001;0;0,059147;0;0
2015;0;0,423734679850464;0,38081345;0,07500000000000001;0;0,059147;0;0
2020;0;0,4756516830652116;0,37450171932557325;0,07528770343264526;0;0,05568349838982276;0;0
2025;0;0,4705552960979013;0,35502287717598113;0,06842850150361654;0;0,029822307366410148;0;0
2030;0;0,39847199610315326;0,3271185023608902;0,06139789268409453;0;0,03035058063209156;0;0
2035;0;0,3264175435522522;0,2244192073729258;0,054502815434759586;0;0,036993007947391514;0;0
2040;0;0,31612496527992934;0,1014923944479374;0,047947007004672776;0;0,03786620622648262;0;0
2045;0;0,31412069658732555;0,06962230524762775;0,041677995986781936;0;0,0362440863301631;0;0
2050;0;0,31204707257850983;0,06085483172432687;0,03565181090889541;0;0,03442735596030481;0;0
