"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;0;2,6199999999999997;0,48918269999999997;0,04300000000000001;0;0,22374164508063715;0;0
1991;0;2,62;0,48918269999999986;0,043;0;0,22374164508063718;0;0
1992;0;2,6200000000000006;0,4891826999999999;0,04300000000000001;0;0,22374164508063718;0;0
1993;0;2,6199999999999997;0,48918269999999975;0,043;0;0,2237416450806372;0;0
1994;0;2,62;0,48918269999999975;0,04300000000000001;0;0,22374164508063718;0;0
1995;0;2,6200000000000006;0,48918269999999997;0,04300000000000001;0;0,22374164508063718;0;0
1996;0;2,62;0,48918269999999975;0,04300000000000001;0;0,22374164508063718;0;0
1997;0;2,6200000000000006;0,4891826999999999;0,04300000000000001;0;0,22374164508063718;0;0
1998;0;2,6199999999999997;0,48918269999999997;0,04300000000000001;0;0,22374164508063718;0;0
1999;0;2,6199999999999997;0,48918269999999986;0,04300000000000001;0;0,22374164508063715;0;0
2000;0;2,6200000000000006;0,4891826999999998;0,04300000000000001;0;0,22374164508063715;0;0
2001;0;3,4500000000000006;0,44803100000000007;0,043;0;0,22275766305762373;0;0
2002;0;3,3200000000000003;0,42171529999999985;0,04399999999999999;0;0,19196370518352054;0;0
2003;0;3,8300000000000005;0,44022769999999994;0,04500000000000001;0;0,161612139140111;0;0
2004;0;5,000000000000001;0,4893452999999999;0,045;0;0,1617272050346104;0;0
2005;0;5,082999999999999;0,5116019;0,045;0;0,16142827897740442;0;0
2006;0;4,981;0,4894228999999993;0,04500000000000001;0;0,161409;0;0
2007;0;4,7;0,49068249999999985;0,049;0;0,16129894000000003;0;0
2008;0;4,493;0,44835130000000006;0,048000000000000015;0;0,16088221000000005;0;0
2009;0;2,7970000000000006;0,4217048999999996;0,04500000000000001;0;0,10006317;0;0
2010;0;2,3789999999999996;0,4428013000000002;0,04500000000000001;0;0,07000000000000002;0;0
2011;0;2,103;0,3850817999999999;0,046999999999999986;0;0,073;0;0
2012;0;1,1980000000000004;0,3905151000000001;0,053000000000000005;0;0,07200000000000001;0;0
2013;0;2,0000000000000004;0,3990394999999999;0,059999999999999984;0;0,07000000000000003;0;0
2014;0;2;0,4160514000000001;0,059999999999999984;0;0,06800000000000002;0;0
2015;0;1,8104494065940906;0,4392470000000006;0,06000000000000001;0;0,06699999999999999;0;0
2020;0;1,89763413671368;0,37495112010072484;0,05965744707498527;0;0,046857734711292044;0;0
2025;0;1,8932655742955824;0,3068641751334821;0,05905792982637298;0;0,01665986468441906;0;0
2030;0;1,6431472252729116;0,25043848626567194;0,057349253788109664;0;0,01844400152005279;0;0
2035;0;1,3603134464439637;0,19640827175942224;0,05513538541250802;0;0,024386216741186177;0;0
2040;0;1,3578311415768847;0,1458239195044543;0,05270900327901677;0;0,026232738716538022;0;0
2045;0;1,3812694423468326;0,10076102981984288;0,05010545857051628;0;0,026280265829231257;0;0
2050;0;1,3990513857177875;0,06045868222639749;0,04713981684827818;0;0,02606502212662092;0;0
