"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;26,759;38,925000000000004;8,674747;9,12932;0,8467999999999999;4,929609;2,091369253503386;0,032999999999999995
1991;26,759;38,925000000000004;8,674747;9,12932;0,8467999999999999;4,929609;2,091369253503385;0,03299999999999999
1992;26,759;38,925000000000004;8,674747;9,12932;0,8467999999999999;4,929609;2,0913692535033857;0,03299999999999999
1993;26,758999999999997;38,925000000000004;8,674747;9,12932;0,8468;4,929609;2,091369253503386;0,032999999999999995
1994;26,759;38,925000000000004;8,674747;9,12932;0,8467999999999999;4,929609;2,091369253503385;0,033000000000000015
1995;26,758999999999997;38,925000000000004;8,674747000000002;9,12932;0,8468;4,929609;2,0913692535033857;0,032999999999999995
1996;26,759;38,925000000000004;8,674747;9,12932;0,8467999999999999;4,929609;2,0913692535033857;0,032999999999999995
1997;26,758999999999997;38,925000000000004;8,674747;9,12932;0,8468;4,929609;2,091369253503386;0,03299999999999999
1998;26,759;38,925000000000004;8,674747;9,12932;0,8468;4,929609;2,091369253503386;0,032999999999999995
1999;26,759000000000004;38,925000000000004;8,674747;9,12932;0,8468;4,929609;2,0913692535033857;0,033000000000000015
2000;26,759000000000004;38,925000000000004;8,674747;9,12932;0,8467999999999999;4,929609;2,0913692535033857;0,03300000000000001
2001;26,545;39,804;8,376588;8,926;0,7619999999999998;5,014124;2,178509639066027;0,030199999999999973
2002;26,066000000000003;41,722;8,407169999999999;9,317260000000001;0,7816999999999997;4,810923;2,269280874027112;0,03239999999999999
2003;27,057999999999993;43,58;9,090119;9,491;0,7853999999999999;5,140732;2,363834243778241;0,026699999999999984
2004;28,604000000000006;45,343;8,737115000000001;9,667000000000002;0,8143999999999998;5,178121;2,462327337269001;0,03360000000000001
2005;29,349999999999998;40,284;8,566123000000003;9,999369999999999;1,3137449999999997;5,327776999999999;2,564924309655211;0,032200000000000006
2006;31,624;47,81399999999999;8,58678233333333;10,008360000000001;1,4719989999999998;5,3269910000000005;2,6717961558908443;0,03639999999999999
2007;31,553000000000004;47,54163700000001;9,866604666666666;10,11203;1,501453;5,384627;2,783120995719629;0,028600000000000046
2008;30,590000000000003;43,03;8,422951;9,467020000000002;1,462917;5,3648240000000005;2,8990843705412805;0,02419999999999997
2009;19,848;36,317;7,875539;8,40417;0,9976229999999999;4,736072;3,0198795526471667;0,00649999999999999
2010;25,749999999999996;34,408;7,9831900000000005;9,086760000000002;1,4142359999999998;5,063105999999999;3,145707867340799;0,0018000000000000023
2011;28,735;33,12;7,212728;9,130260000000003;1,190101;5,188017;3,2767790284799996;0,0076000000000000295
2012;27,252000000000002;26,240000000000002;7,379325999999999;8,5876;1,112814;4,879719000000001;3,4133114879999993;0,007699999999999979
2013;24,093000000000004;23,1;7,348944000000001;8,536010000000001;1,061603;4,771343000000001;3,555532799999999;0,00489999999999999
2014;23,714000000000002;21,400000000000002;6,665063000000001;8,6491;1,1634931553805408;4,871557;3,70368;0,007899999999999968
2015;22,017985000000003;21,34161294502659;5,964931000000001;8,84082;1,423614034499203;5,243733000000001;3,8580000000000005;0,0013019047619045462
2020;28,852323803947762;20,31926771059066;5,989322085673617;8,285558843265374;2,3335084755355657;4,893274712152807;3,983148275509821;0,0015070223614043626
2025;21,01433647162695;19,32851982858492;5,225190207003503;7,509668567247366;1,6569473539006443;4,561556459720028;3,7549596729151102;0,0014013445372258553
2030;37,648607061069875;16,647952910521784;5,041712261489233;6,76844274921373;3,8952071699544026;4,375025512132138;5,171909917948453;0,0014617022090730302
2035;38,85163261410191;14,207031112707089;4,57776135026793;6,068868556325158;4,517480215135581;4,5896824586246705;7,999386926129134;0,00153725891932674
2040;23,982840751416916;13,378567599098067;3,7911325295400733;5,403249529316907;2,909078399768156;4,4242007294458885;7,964773432866296;0,0014807662373014468
2045;21,475053198956594;12,783911203638878;3,3074861220139686;4,763462913717276;2,774087850535983;4,101530747937658;7,517642021442134;0,0014744445381319742
2050;18,94360256220686;12,106091136052122;2,8424471388709227;4,14373211512196;2,6162140485374064;3,760861349415574;6,995491016567806;0,0014557949071169233
