"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;0;0,32910000000000006;0,014959610000000002;0,016;0;0,062345638000000016;0;0
1991;0;0,3291000000000002;0,01495961;0,016;0;0,062345638;0;0
1992;0;0,3291000000000007;0,014959609999999998;0,015999999999999997;0;0,062345638;0;0
1993;0;0,3291000000000006;0,01495961;0,015999999999999997;0;0,062345638000000016;0;0
1994;0;0,3291000000000001;0,014959610000000003;0,015999999999999997;0;0,062345638000000016;0;0
1995;0;0,3291000000000007;0,014959609999999993;0,016;0;0,062345638000000016;0;0
1996;0;0,3291000000000004;0,014959609999999995;0,016;0;0,062345638;0;0
1997;0;0,3291000000000003;0,014959609999999993;0,015999999999999997;0;0,06234563800000001;0;0
1998;0;0,3291000000000003;0,014959609999999998;0,016000000000000004;0;0,062345638;0;0
1999;0;0,3291000000000007;0,01495961;0,016;0;0,06234563800000001;0;0
2000;0;0,32910000000000017;0,01495961;0,016000000000000004;0;0,06234563800000001;0;0
2001;0;0,4046000000000006;0,018248470000000003;0,024299999999999995;0;0,08200074000000003;0;0
2002;0;0,2600000000000002;0,018478700000000008;0,033;0;0,08493959599999998;0;0
2003;0;0,2952049999999996;0,018313919999999994;0,038000000000000006;0;0,079401252;0;0
2004;0;0,28364699999999965;0,017819419999999992;0,038000000000000006;0;0,083940161;0;0
2005;0;0,27999999999999997;0,019053439999999994;0,03900000000000001;0;0,07762690899999997;0;0
2006;0;0,27999999999999997;0,021251100000000005;0,056999999999999995;0;0,0710969;0;0
2007;0;0,30000000000000016;0,017387359999999998;0,06000000000000001;0;0,07100000000000001;0;0
2008;0;0,31000000000000016;0,030524340000000007;0,052000000000000005;0;0,07100000000000001;0;0
2009;0;0,3570000000000002;0,02948593;0,054000000000000006;0;0,08;0;0
2010;0;0,6350000000000003;0,034201100000000005;0,053000000000000005;0;0,096;0;0
2011;0;0,7519999999999998;0,029601909999999988;0,054000000000000006;0;0,098;0;0
2012;0;0,9010000000000004;0,03255840000000001;0,043930000000000004;0;0,121;0;0
2013;0;1;0,03435676;0,04777000000000001;0;0,12099999999999998;0;0
2014;0;1,1999999999999997;0,03385597999999999;0,04000000000000001;0;0,12600000000000003;0;0
2015;0;1,1254390263228553;0,03469638000000001;0,045;0;0,146;0;0
2020;0;1,1973381285615217;0,032787515337352864;0,038290264906346544;0;0,09080058416213778;0;0
2025;0;1,032616289961665;0,025955107346175003;0,028427902383739136;0;0,030297982092687255;0;0
2030;0;0,8610875994949624;0,02024987859220526;0,020314040920522098;0;0,024610690297256634;0;0
2035;0;0,772823129458863;0,014356043642503537;0,014020363918459872;0;0,023880343787136087;0;0
2040;0;0,7203240727375058;0,009192963120504235;0,009317397142586666;0;0,017716100021296248;0;0
2045;0;0,7009302211070696;0,004799756586152179;0,005841034329791852;0;0,010845763423205286;0;0
2050;0;0,6898339035388664;0,0010647353791533062;0,003323197209845261;0;0,004891317286041493;0;0
