"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;2,571;0,7490000000000001;0,06151183;0;0;0,425751;0;0
1991;2,5710000000000006;0,749;0,06151183;0;0;0,42575100000000005;0;0
1992;2,571;0,749;0,06151183;0;0;0,42575099999999994;0;0
1993;2,571;0,749;0,06151183000000001;0;0;0,425751;0;0
1994;2,5709999999999997;0,749;0,06151183000000001;0;0;0,425751;0;0
1995;2,5710000000000006;0,749;0,061511829999999997;0;0;0,425751;0;0
1996;2,571;0,7489999999999999;0,061511829999999997;0;0;0,42575100000000005;0;0
1997;2,571;0,749;0,06151183;0;0;0,425751;0;0
1998;2,571;0,749;0,061511829999999997;0;0;0,425751;0;0
1999;2,5709999999999997;0,749;0,06151183;0;0;0,42575100000000005;0;0
2000;2,571;0,749;0,06151183;0;0;0,425751;0;0
2001;2,725;0,7290000000000001;0,06041748;0;0;0,42539099999999996;0;0
2002;2,7189999999999994;0,7280000000000001;0,06109535;0;0;0,42323999999999995;0;0
2003;2,6750000000000003;0,714;0,09455682;0;0;0,42629899999999993;0;0
2004;2,684;0,7969999999999998;0,10240260000000001;0;0;0,435595;0;0
2005;2,194;0,7600000000000001;0,1128498;0;0;0,435073;0;0
2006;2,802;0,901;0,09736874000000001;0;0;0,43580599999999997;0;0
2007;2,858;1,081;0,09633823000000001;0;0;0,44309399999999993;0;0
2008;2,582;1,0910000000000002;0,08250391;0;0;0,440538;0;0
2009;2,141;0,9999999999999999;0,06457384999999999;0;0;0,437319;0;0
2010;2,548;1,0779999999999998;0,07492733;0;0;0,4301399999999999;0;0
2011;2,521;1,3190000000000002;0,09601725000000001;0;0;0,433676;0;0
2012;2,208;1,177;0,10133589999999999;0;0;0,42308099999999993;0;0
2013;2,09;0,98;0,12346939999999998;0;0;0,304453;0;0
2014;2,193;1,1;0,10378319999999999;0;0;0,43009800000000004;0;0
2015;2,127129427;0,9827898247179491;0,09749305;0;0;0,42070300000000005;0;0
2020;2,109172093460362;0,9819614673329427;0,09425212475021752;0;0;0,376793217974873;0;0
2025;1,952482928012254;1,0165743450375126;0,08605625563804657;0;0;0,4175053781105387;0;0
2030;2,0896899675730056;0,914820892692047;0,07667769652049373;0;0;0,4320519182157496;0;0
2035;1,9801087281792213;0,8030448487396046;0,06491680798145741;0;0;0,477347584460001;0;0
2040;1,5710451990063499;0,779824403494934;0,05180753477666243;0;0;0,46976674203866503;0;0
2045;1,4612371833518376;0,7792912205079591;0,040062666645538064;0;0;0,47318122726207895;0;0
2050;1,345897294549333;0,7798705009730653;0,02856206145248679;0;0;0,4908187729627915;0;0
