"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;0;0;0;0;0;0;0;0
1991;0;0;0;0;0;0;0;0
1992;0;0;0;0;0;0;0;0
1993;0;0;0;0;0;0;0;0
1994;0;0;0;0;0;0;0;0
1995;0;0;0;0;0;0;0;0
1996;0;0;0;0;0;0;0;0
1997;0;0;0;0;0;0;0;0
1998;0;0;0;0;0;0;0;0
1999;0;0;0;0;0;0;0;0
2000;0;0;0;0;0;0;0;0
2001;0;0;0;0;0;0;0;0
2002;0;0;0;0;0;0;0;0
2003;0;0;0;0;0;0;0;0
2004;0;0;0;0;0;0;0;0
2005;0;0;0;0;0;0;0;0
2006;0;0;0;0;0;0;0;0
2007;0;0;0;0;0;0;0;0
2008;0;0;0;0;0;0;0;0
2009;0;0;0;0;0;0;0;0
2010;0;0;0,008085055;0;0;0;0;0
2011;0;0;0,008099026000000002;0;0;0;0;0
2012;0;0;0,008505813;0;0;0;0;0
2013;0;0;0,008529382;0;0;0;0;0
2014;0;0;0,008775487;0;0;0;0;0
2015;0;0;0,008789393;0;0;0;0;0
2020;0;0;0,00926121865385465;0;0;0;0;0
2025;0;0;0,006155800751067614;0;0;0;0;0
2030;0;0;0,005583620968875594;0;0;0;0;0
2035;0;0;0,0050414286118869766;0;0;0;0;0
2040;0;0;0,004600435383757999;0;0;0;0;0
2045;0;0;0,0041306891200104685;0;0;0;0;0
2050;0;0;0,0036716937188003237;0;0;0;0;0
