"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;5,666;3,4499999999999993;14,9184;3,333000000000001;0,42069999999999996;1,5300000000000002;0;0
1991;5,666;3,45;14,918400000000002;3,333;0,42069999999999996;1,53;0;0
1992;5,6659999999999995;3,45;14,918399999999998;3,333000000000001;0,42069999999999996;1,53;0;0
1993;5,666;3,4499999999999993;14,918399999999998;3,333000000000001;0,42069999999999996;1,53;0;0
1994;5,666;3,4499999999999993;14,918399999999998;3,333;0,42069999999999996;1,53;0;0
1995;5,666;3,4500000000000006;14,918399999999998;3,3329999999999997;0,42069999999999996;1,53;0;0
1996;5,666;3,4500000000000006;14,7534;3,333;0,42069999999999996;1,53;0;0
1997;5,666;3,4499999999999993;14,893400000000002;3,333;0,42069999999999996;1,5299999999999998;0;0
1998;5,666;3,450000000000001;14,969400000000004;3,333;0,42069999999999996;1,53;0;0
1999;5,666;3,4500000000000006;14,990400000000001;3,333;0,4206999999999999;1,53;0;0
2000;5,6659999999999995;3,4500000000000006;15,046399999999998;3,333;0,42069999999999996;1,53;0;0
2001;6,037;3,38;14,898237;3,1740000000000004;0,4141;1,542;0;0
2002;6,117;3,0850000000000004;15,45744;3,346;0,4043999999999999;1,416;0;0
2003;6,571;2,45;16,070524615384617;3,3390000000000004;0,33280000000000004;1,367;0;0
2004;6,848;2,3799999999999994;16,77685923076923;3,4590000000000005;0,37629999999999997;1,446;0;0
2005;6,9190000000000005;2,496;16,434733846153843;3,471;0,37499999999999994;1,466;0;0
2006;6,372;2,7900000000000014;16,149178461538465;3,367;0,3373;1,5070000000000001;0;0
2007;7,368;2,6999999999999993;17,076103076923076;3,224;0,30119999999999997;1,498;0;0
2008;6,853000000000001;3,097000000000001;15,757447692307691;2,977;0,301;1,496;0;0
2009;5,194000000000001;2,342000000000001;14,942862307692305;2,6090000000000004;0,29999999999999993;1,2650000000000001;0;0
2010;6,651;2,138000000000001;16,62985692307692;2,8590000000000004;0,29999999999999993;1,287;0;0
2011;6,936999999999999;2,317999999999999;16,169611538461538;2,748;0,3;1,468;0;0
2012;6,879;2,0560000000000005;16,102936153846155;2,761;0,11;1,463;0;0
2013;6,713000000000001;2,0000000000000004;16,177630769230767;2,792;0,05000000000000001;1,3375450000000002;0;0
2014;6,964;1,871698113207548;16,185955384615387;2,7670000000000003;0,058409508210154115;1,3736405;0;0
2015;6,995138;2,2922381643738476;16,02952;2,6430000000000002;0,07500000000000001;1,4025279000000002;0;0
2020;7,831014704755715;2,2619352948847737;15,668049403625572;2,259103211430166;0,08401326871006129;1,0830278483401252;0;0
2025;6,135489896102427;2,0849073437872776;13,412298648757318;2,096256794924746;0,05963896359955982;0,4055938940328404;0;0
2030;7,884686532502956;2,172849593358987;12,659742123220207;1,925842367127959;0,09014724153388819;0,43321176519971616;0;0
2035;7,868482355131985;2,292066174384545;11,750936735432893;1,7504910483631342;0,10856974413517295;0,6139663369599533;0;0
2040;5,7921693857716745;2,273532992324204;10,314144281771293;1,5699694786180383;0,07686957113519162;0,5860911109781323;0;0
2045;5,167594576738567;2,2526830959965043;9,054748664273886;1,388395141512618;0,0558317557121987;0,48951608922491124;0;0
2050;4,526151320532818;2,217423282603117;7,740112110175432;1,2112950936205806;0,03524753948481462;0,3924816383049034;0;0
