"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;10,498000000000001;15,046;6,187642;1,934;0,052340999999999985;1,9259488786083054;1,1953004675933034;0,486002
1991;10,498000000000001;15,046000000000003;6,187642;1,934;0,05234100000000002;1,9259488786083054;1,1953004675933037;0,486002
1992;10,498000000000001;15,046000000000003;6,187642;1,9340000000000002;0,05234099999999997;1,9259488786083059;1,1953004675933032;0,486002
1993;10,498000000000001;15,046000000000001;6,187642;1,9340000000000002;0,052341000000000026;1,9259488786083057;1,1953004675933034;0,48600200000000005
1994;10,498000000000001;15,046000000000001;6,187642;1,9340000000000002;0,05234099999999999;1,9259488786083059;1,1953004675933034;0,4860019999999999
1995;10,498000000000001;15,046;6,187642;1,9340000000000002;0,05234100000000001;1,9259488786083057;1,1953004675933034;0,486002
1996;10,498000000000001;15,046000000000001;6,187642;1,9340000000000002;0,05234100000000002;1,9259488786083057;1,1953004675933034;0,486002
1997;10,498000000000001;15,046000000000001;6,187642;1,9340000000000002;0,052341000000000026;1,9259488786083059;1,1953004675933037;0,4860019999999999
1998;10,498000000000001;15,046000000000001;6,1876419999999985;1,9340000000000002;0,05234100000000002;1,9259488786083059;1,1953004675933034;0,4860019999999999
1999;10,498000000000001;15,046000000000001;6,187642;1,9340000000000002;0,052341000000000026;1,9259488786083054;1,1953004675933032;0,486002
2000;10,498000000000001;15,046000000000003;6,187642;1,9340000000000002;0,052340999999999985;1,9259488786083057;1,1953004675933034;0,486002
2001;8,809000000000001;11,918000000000003;6,2508680000000005;2,0860000000000003;0,05462300000000002;2,045870502886644;1,2451046537430246;0,498451
2002;8,368000000000002;10,948000000000002;6,134949000000001;2,34199;0,058824999999999954;2,165792127164983;1,296984014315651;0,508674
2003;9,107000000000001;11,653448000000001;6,478405333333334;2,4610000000000003;0,05727100000000002;2,2857137514433217;1,3510250149121366;0,529616
2004;10,593000000000002;12,566265;5,987979666666666;2,6350000000000002;0,05890699999999996;2,4056353757216598;1,4073177238668089;0,550066
2005;8,336;12,646222999999999;6,044404000000001;2,7319000000000004;0,066308;2,5255570000000005;1,4659559623612595;0,560256
2006;10,008000000000001;14,688353000000005;6,260010333333335;2,8571;0,07652000000000006;2,757531;1,5270374607929784;0,556625
2007;10,632000000000001;17,119936000000003;6,286944666666667;2,992;0,075968;2,995207000000001;1,5906640216593526;0,5329750000000002
2008;9,728000000000003;17,207000000000004;6,304654000000001;3,0554000000000006;0,06554299999999999;2,7339700000000007;1,6569416892284923;0,526808
2009;7,128;15,043000000000001;6,338722000000001;3,27496;0,0169;2,5751839999999997;1,7259809262796797;0,502462
2010;7,993000000000002;15,520999999999999;6,519049;3,6998000000000006;0,01599999999999997;3,012712;1,7978967982079999;0,5470740000000001
2011;8,779000000000002;18,552;6,848657;3,7556000000000003;0,013999999999999985;3,191378;1,8728091648000003;0,5710000000000001
2012;8,366000000000001;15,918999999999999;6,9967739999999985;3,8218000000000005;0,011089999999999949;3,944731;1,95084288;0,5658340000000001
2013;7,950000000000001;14,538000000000002;7,261148;4,105510000000001;0,002732999999999961;3,956026;2,032128;0,565155
2014;8,558;15,501732448278547;7,240088000000001;4,27838;0,004720581935628146;4,29883;2,1168;0,576876
2015;9,198027606;15,893841522268527;7,175597999999999;4,3993400000000005;0,007584305467478883;4,272442531597772;2,205;0,5766191333333354
2020;9,068775458482804;15,668392541048352;7,407635035588922;4,445904771961458;0,0067572193098021935;3,7810485969953365;1,780549499919752;0,5450664679818839
2025;7,719107293966837;14,515173656480387;6,719275572307785;4,128473498985447;0,0049154958290817535;2,122405545882122;0,1866752445219026;0,3237827719020199
2030;8,784634925120839;12,50459987429998;6,320975592274943;3,783999054659175;0,008765781959131488;2,1847082338257557;0,2571314528993937;0,3040850968373987
2035;8,297304398665801;10,559762010256355;5,2544113981109675;3,431323859320626;0,010279926046052427;2,629345305955559;0,4375485000712338;0,29203650711319135
2040;6,302436338524332;9,716898972373961;4,115092772909276;3,0856010155689675;0,0073422611360810484;2,6891654206991746;0,45501708568693766;0,2558429157475676
2045;5,647853557689873;9,160479202059054;3,6203778697320654;2,7539652391918867;0,006331952496036222;2,5848850696873775;0,42947556105354323;0,2248589564300909
2050;5,03738308683168;8,620195496385032;3,2110158242356444;2,436748584274355;0,005392192630242222;2,4647322563082072;0,4010447764499662;0,19570805514977102
