"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;5,226999999999999;2,6509999999999994;1,1974160000000003;10,786000000000001;0,1268;0,37799613613034855;0;0,133118
1991;5,226999999999999;2,6509999999999994;1,1974160000000003;10,786000000000001;0,1268;0,3779961361303485;0;0,133118
1992;5,227;2,6510000000000002;1,1974160000000003;10,786000000000001;0,12680000000000002;0,37799613613034855;0;0,133118
1993;5,226999999999999;2,6509999999999994;1,1974160000000003;10,786000000000001;0,12680000000000002;0,37799613613034855;0;0,133118
1994;5,226999999999999;2,6509999999999994;1,1974160000000003;10,786000000000001;0,1268;0,3779961361303486;0;0,133118
1995;5,226999999999999;2,6510000000000002;1,1974160000000003;10,786000000000001;0,1268;0,37799613613034855;0;0,133118
1996;5,226999999999999;2,6510000000000002;1,1974160000000003;10,786000000000001;0,1268;0,3779961361303486;0;0,133118
1997;5,226999999999999;2,6510000000000002;1,1974161000000003;10,786000000000001;0,1268;0,3779961361303486;0;0,133118
1998;5,226999999999999;2,6510000000000007;1,1974160000000005;10,786000000000001;0,1268;0,3779961361303485;0;0,133118
1999;5,226999999999999;2,6510000000000002;1,197416;10,786;0,1268;0,37799613613034855;0;0,133118
2000;5,226999999999999;2,6510000000000002;1,1974160000000003;10,786000000000001;0,1268;0,3779961361303486;0;0,133118
2001;5,518000000000001;2,6450000000000005;1,222878;10,534;0,12680000000000002;0,37843996722912004;0;0,21623699999999996
2002;5,754;2,6420000000000003;1,292322;10,724;0,12860000000000002;0,37932919343584476;0;0,22440200000000002
2003;5,707;2,475999999999999;1,7184660000000005;11,061200000000003;0,13119999999999998;0,3811139190443059;0;0,21418099999999998
2004;5,978;2,5879999999999996;2,012195;11,589000000000002;0,13040000000000002;0,3847086009133506;0;0,23562
2005;5,722999999999999;2,7089999999999996;1,892885;11,775;0,1323;0,392;0;0,22348200000000001
2006;5,465999999999999;2,952000000000001;1,8479140000000003;12,066000000000003;0,1332;0,40700000000000003;0;0,22924100000000003
2007;5,673;2,9499999999999993;1,852692;11,511100000000003;0,13;0,41000000000000003;0;0,213894
2008;5,1979999999999995;2,934;1,5599910000000003;11,663;0,14400000000000002;0,36;0;0,227774
2009;2,8040000000000003;2,237;1,294961;10,932000000000002;0,09970799999999999;0,32;0;0,20575900000000003
2010;4,846;2,343999999999999;1,3719709999999998;11,397;0,12300000000000001;0,38;0;0,19049700000000003
2011;4,866999999999999;2,064000000000001;1,468674;11,298;0,14100000000000001;0,42000000000000004;0;0,21931599999999998
2012;4,326;2,141000000000001;1,394848;11,451;0,15900000000000003;0,39;0;0,21405
2013;4,404;2,56;1,42344;11,774090000000001;0,161;0,39000000000000007;0;0,206193
2014;4,539;2,499999999999999;1,7031830000000001;10,419;0,14735935122717475;0,385;0;0,217337
2015;4,374444000000001;2,700592432324081;1,8288270000000002;10,255000000000003;0,17487209298242892;0,38000000000000006;0;0,22071436190476199
2020;4,469898542030158;2,8691267480084637;1,948880120586872;12,44333086329921;0,18413245553033653;0,5268096431542382;0;0,2658228039816443
2025;4,239566098955305;2,9335986681405766;1,9512782633246188;13,961839780050855;0,17569093158177573;0,4339942642392907;0;0,222631383680571
2030;4,34656349699899;2,6233076088092213;1,9577973194275429;15,319753060470362;0,2575325034172785;0,3791888056770234;0;0,19048811309163058
2035;3,9626717921659376;2,267155513378558;1,8217418223704944;16,472405785210626;0,3202774924315145;0,4736998903162184;0;0,1734051339011201
2040;3,30896332247437;2,2455311173472556;1,6496267884208977;17,426676742020597;0,2795411164774801;0,5045297576302048;0;0,15968462707004255
2045;2,9772480628796325;2,268878255866856;1,4790172627833087;18,191874276002757;0,28608297152478035;0,49375763845822984;0;0,1497845976605992
2050;2,636667297202993;2,278158772283909;1,2840822617463916;18,754810271807585;0,2959768251194881;0,47831006721836716;0;0,13986747241647451
