"Category";"Steel";"Cement";"Chemicals";"Paper";"Aluminium";"Glass";"Lime";"Copper"
1990;0;3,72;0;1,7800000000000002;0;0,20563999999999996;0;0
1991;0;3,72;0;1,7800000000000002;0;0,20564;0;0
1992;0;3,72;0;1,7800000000000002;0;0,20564000000000002;0;0
1993;0;3,72;0;1,7800000000000002;0;0,20564;0;0
1994;0;3,72;0;1,7800000000000002;0;0,20564;0;0
1995;0;3,72;0;1,7800000000000002;0;0,20564000000000002;0;0
1996;0;3,72;0;1,7800000000000002;0;0,20564000000000002;0;0
1997;0;3,72;0;1,7800000000000002;0;0,20564;0;0
1998;0;3,7200000000000006;0;1,7799999999999998;0;0,20564;0;0
1999;0;3,7200000000000006;0;1,7800000000000002;0;0,20563999999999996;0;0
2000;0;3,72;0;1,7800000000000002;0;0,20563999999999996;0;0
2001;0;3,92;0;1,75;0;0,20534;0;0
2002;0;3,7700000000000005;0;1,8000000000000003;0;0,12172000000000005;0;0
2003;0;3,7;0;1,8200000000000003;0;0,11640999999999997;0;0
2004;0;3,9000000000000004;0;1,7800000000000002;0;0,12175;0;0
2005;0;4,2;0;1,7500000000000002;0;0,12561000000000003;0;0
2006;0;4,23;0;1,6900000000000004;0;0,10725;0;0
2007;0;4,25;0;1,734;0;0,16083000000000003;0;0
2008;0;4,24;0;1,7000000000000002;0;0,16599000000000003;0;0
2009;0;4,33;0;1,54;0;0,15038999999999997;0;0
2010;0;4,550000000000001;0;1,54;0;0,15545;0;0
2011;0;4,68;0;1,3800000000000001;0;0,16074000000000005;0;0
2012;0;4,3999999999999995;0;1,3900000000000001;0;0,16215999999999994;0;0
2013;0;4,5600000000000005;0;1,4;0;0,15294999999999995;0;0
2014;0;4,580000000000001;0;1,4100000000000001;0;0,13039999999999996;0;0
2015;0;4,22;0;1,4200000000000002;0;0,13956999999999994;0;0
2020;0;3,8686447528401944;0;1,3107633597947084;0;0,05957430528056742;0;0
2025;0;3,6616419793340587;0;1,2141179704644025;0;0,05908548217019949;0;0
2030;0;3,22457404751888;0;1,1157182045611598;0;0,08108968047627985;0;0
2035;0;2,9449886541487222;0;1,0163282444989643;0;0,1578726015026129;0;0
2040;0;2,8241848558857314;0;0,916286142464064;0;0,17856992315814504;0;0
2045;0;2,6950639849550835;0;0,816516248423906;0;0,17603946366114856;0;0
2050;0;2,559250705316083;0;0,7177650062701805;0;0,17156156981242662;0;0
