"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;65901174948,92337;1926827447,745496;9223000039,447382;4289932454,4396043;8026852487,934468;6147964542,514617;1852384039,6683195;3440141787,9554505
1991;65930964671,67189;1897037724,9969878;9223000039,447382;4308476422,065155;8008308520,308916;6147964542,514617;1852760756,867601;3440841405,61126
1992;65992314086,95404;1835688309,71484;9223000039,447382;4251008022,978745;8065776919,395326;6147964542,514617;1857811657,4241753;3450221649,5020394
1993;66019325659,12366;1808676737,5452213;9223000039,447384;4276318542,824583;8040466399,549488;6147964542,514615;1868314995,765776;3469727849,279299
1994;66073561854,79046;1754440541,8784127;9223000039,447382;4311815774,757382;8004969167,616689;6147964542,514616;1858987067,5131004;3452404553,952902
1995;66074128748,5884;1753873648,0804722;9223000039,447384;4348791036,961043;7967993905,413029;6147964542,514615;1873962756,9392111;3480216548,6013927
1996;66093772274,84895;1734230121,8199267;9223000039,447382;4502895299,838892;7813889642,535181;6147964542,514616;1860284813,955336;3454814654,488481
1997;66106074256,02996;1721928140,6389163;9223000039,447382;4913511749,560919;7403273192,813154;6147964542,514616;1868640155,051924;3470331716,525002
1998;66128764924,16244;1699237472,5064323;9223000039,447384;4982343367,072969;7334441575,301104;6147964542,514616;1870317378,9197443;3473446560,8509536
1999;66157746356,09557;1670256040,5732975;9223000039,447382;4994712727,738355;7322072214,6357155;6147964542,514615;1870923413,2512476;3474572053,1808887
2000;66169398693,11764;1658603703,551235;9223000039,447384;4952720566,763928;7364064375,610143;6147964542,514615;1879375296,9288101;3490268408,5820756
2001;66970482692,40027;1670719428,5597224;9242200029,488514;5032477512,548303;7476550437,820303;6311850749,417764;1894138035,8793852;3517684923,7760015
2002;67782131006,15049;1672270839,10061;9261400019,52965;5106279989,625671;7594990968,737473;6475736956,320907;1903838398,6962852;3535699883,2931023
2003;68596220479,30312;1671381090,2391024;9280600009,570782;5238102604,305717;7655411362,051965;6639623163,224051;1908840679,8260894;3544989833,9627376
2004;69401752740,6848;1679048553,1485214;9299799999,611916;5455047084,234523;7630709890,1177;6803509370,127196;1920128323,0499425;3565952599,949894
2005;70216503302,64394;1677497715,4804845;9318999989,653051;5405069875,37402;7872930106,972736;6967395577,030343;1935524853,95264;3594546157,3406177
2006;70778735985,7967;1751065028,702849;9372599991,722439;5460825159,481895;8120774826,395508;7079124988,124115;1955941327,9174907;3632462466,132484
2007;71378571327,8778;1787029682,9968598;9426199993,79183;5516251300,863974;8368948688,544078;7190854399,217887;1948471087,72706;3618589162,921683
2008;72091715381,60094;1709685625,6488225;9479799995,861216;5288366124,685452;8900433868,253246;7302583810,311659;1951124030,5595853;3623516056,7535167
2009;72647015570,40572;1790185433,2191432;9533399997,930609;5442933343,754644;9049466652,714703;7414313221,405428;1913534842,1883223;3553707564,0640283
2010;73260194203,51945;1812806796,4805148;9586999999,999996;5547186756,157346;9248813243,84265;7526042632,4992;1904394275,254291;3536732225,472255
2011;73756880370,69441;1827610942,2323804;9635420163,136961;5513663843,801844;9567892170,944656;7761887970,617923;1907279759,1828742;3542090981,339624
2012;74224217042,9098;1871764582,9438498;9683840326,273922;5539597730,490965;9827514299,002043;7997733308,736649;1915084669,8891861;3556585815,5084896
2013;74717591472,91225;1889880465,8682425;9732260489,410889;5556208655,218902;10096459389,020613;8233578646,855373;1949261718,399816;3620057477,02823
2014;75237915424,8064;1881046826,900924;9780680652,547852;5567568744,020955;10370655314,965063;8469423984,974096;1982091676,623372;3681027399,443406
2015;75754513024,42886;1875939540,2052894;9829100815,684818;5745551253,09303;10478228820,639496;8705269323,092821;2001438734,9345078;3716957650,592658
2020;80376867220,97507;1979353855,2371805;10426081946,552637;6277123498,930702;10991963814,002039;9254328041,005745;2186609702,2395;4060846589,8733582
2025;79079028194,669;1984839331,7395082;10752673222,138943;6373145406,906723;11060591602,979137;9255915218,22326;2763133709,8453627;4276936653,0375257
2030;61064818349,62654;2330210548,468778;16297954148,957045;4725492548,012154;14704083480,861124;9241670366,764055;10887859758,586653;5725632533,609992
2035;42898243501,54069;2656262192,046408;21743025936,55985;2945256480,3945365;18144285714,483814;9181165680,351202;19054803190,351814;7194528847,914862
2040;40983223432,2135;2615994155,2637005;21764775759,70544;2860207222,5589976;17824546844,406864;9044059027,941046;19515521416,126247;7366925649,34267
2045;39890288758,96481;2538891552,976029;21297782295,08531;2860478575,5355415;17190955184,125637;8845409625,701506;19316431309,179466;7380606368,797829
2050;38577309893,23959;2445401481,3792634;20679458470,7834;2842257550,0048485;16449627343,290552;8588473986,774903;18962977746,741825;7334033030,949265
