"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;104549043374,14656;1988998545,828921;13298260578,966827;250759299,8466877;8353240439,765229;8377766295,053931;616025514,8798294;1173184526,9918692
1991;104628762553,93114;1909279366,0443501;13298260578,966825;312224813,1353474;8291774926,476568;8377766295,053931;695736508,4846007;1324989447,517779
1992;104664260428,59877;1873781491,376726;13298260578,966827;345683567,7697551;8258316171,842163;8377766295,053932;792805602,210305;1509851853,4691544
1993;104660493023,9937;1877548895,9817722;13298260578,966827;384478612,63662475;8219521126,975292;8377766295,053931;906456196,5924829;1726292756,6330602
1994;104713152556,21106;1824889363,764394;13298260578,966827;423585880,40583587;8180413859,206081;8377766295,053932;996306864,5070316;1897408093,2401745
1995;104679993826,00647;1858048093,969018;13298260578,966825;449748414,93665093;8154251324,675267;8377766295,053932;1127565169,1037803;2147381849,6390977
1996;104671012677,50868;1867029242,4668055;13298260578,966825;486258420,79555;8117741318,816367;8377766295,053932;1253808183,9709425;2387804280,3753476
1997;104701517202,56009;1836524717,4153779;13298260578,966827;514289830,86582726;8089709908,746091;8377766295,053932;1367070899,1140292;2603506490,2373505
1998;104737498348,3755;1800543571,5999804;13298260578,966827;541330706,2532885;8062669033,358629;8377766295,053932;1476959094,5943851;2812782124,9677725
1999;104766878564,24104;1771163355,7344484;13298260578,966825;557377743,5782584;8046621996,03366;8377766295,053932;1589447391,9914432;3027009501,57186
2000;104772326619,66077;1765715300,3147166;13298260578,966827;593213563,3265743;8010786176,285343;8377766295,053932;1716349085,3911514;3268686347,010067
2001;105358531025,4028;1763136662,9986248;14141618070,051292;625005027,0022336;8274194758,927096;8221961223,267029;1828579523,5662196;3482422645,822612
2002;105953145247,707;1752148209,1203687;14984975561,135765;668023350,8955238;8526376481,351224;8066156151,480125;1928485846,8348083;3672688389,32874
2003;106485190293,24695;1803728932,0063596;15828333052,220232;722249695,2332183;8767350183,330948;7910351079,693223;2072678425,7543035;3947294713,919704
2004;107065240390,62543;1807304603,0538323;16671690543,304705;712677584,3650947;9072122340,516485;7754546007,906318;2194684795,277692;4179648701,639211
2005;107633171036,6599;1822999725,4453003;17515048034,389175;830646014,2691293;9249353956,929867;7598740936,119415;2334966734,6166945;4446807442,103127
2006;108932867870,44704;1716068939,2371144;17488038427,511337;864081536,0094697;9526718440,949724;7909912728,317687;2477785694,3775034;4718797789,426874
2007;109981882600,03157;1859820257,2315474;17461028820,633495;918662831,4494545;9782937151,269947;8221084520,515958;2623836699,8613687;4996943378,605433
2008;110816687989,2565;2217780915,5855584;17434019213,75566;952287380,6041586;10060112607,875443;8532256312,7142315;2757364491,777011;5251239240,7328005
2009;111867556655,32205;2359678297,098938;17407009606,877823;1003682650,4544734;10319517343,785328;8843428104,9125;2870825084,739162;5467318297,31617
2010;113123701906,71686;2296299093,283091;17379999999,999985;1101905031,295879;10532094968,704124;9154599897,110773;3005342200,2903295;5723498268,386026
2011;113373383464,48909;2400408165,602269;17429482209,87063;1172535700,2277596;10533945129,314365;9409250657,742977;3107571196,2734594;5918187406,092793
2012;113607595656,99202;2519986603,1906815;17478964419,741272;1273222156,4430666;10505739502,641184;9663901418,375175;3233390330,5895257;6157802581,136178
2013;113715400420,44102;2765972469,833091;17528446629,611908;1323558781,3653367;10527883707,26104;9918552179,007374;3341661637,4185877;6363998946,093276
2014;114001179399,24893;2833984121,1165814;17577928839,48256;1350191849,5094018;10573731468,659098;10173202939,639576;3481509868,174163;6630331713,952145
2015;114180732329,31454;3008221821,142363;17627411049,353203;1471712618,8151774;10524691528,895449;10427853700,271774;3607590321,8745165;6870444556,463581
2020;117172720871,22548;3105022796,7629776;18180925127,309174;1656849296,4118643;10416644764,30698;10762272842,507072;4061413492,0933805;7734724214,417407
2025;120167318980,3668;3262531987,702078;19454446708,87805;1895046703,240155;11187213022,47301;11245126172,478659;5136882367,067819;8528413659,05015
2030;94028080803,46146;3656167922,789249;27851738791,718956;3412462214,7561626;20586789221,87733;11682629396,692293;16992316037,835316;10107599665,073307
2035;65075271516,68157;3986025070,192777;36530783423,55671;5099728780,31446;29983918571,157364;12022093704,988949;29796893976,794594;11710551529,51247
2040;63819796238,53844;4019710081,131892;37702568158,46679;5490522591,40398;30364048306,99288;12240954479,341635;31680316130,571503;12445431488,369255
2045;63888661587,33002;4003191406,713459;38027628260,60634;5724279240,763632;29938457534,41658;12341078205,835155;32484590349,673607;12969936021,359728
2050;63423940920,0186;3948613855,3346596;37982791169,974266;5903002485,790195;29210977057,826046;12326358038,044111;32965577675,701996;13374780776,487843
