"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;27237990520,366722;282013483,2305331;14586999784,533134;186293484,8995454;3704706841,836936;1651562178,3496888;1991937030,3512383;4759495559,246322
1991;27236747363,59039;283256640,0068587;14586999784,533133;217759722,60725465;3673240604,129227;1651562178,3496888;2138687445,528383;5110138144,182864
1992;27236831693,86211;283172309,7351405;14586999784,533134;199187729,98652655;3691812596,7499557;1651562178,3496888;2190300569,674753;5233461538,160915
1993;27236833937,99151;283170065,60574365;14586999784,533136;113024792,05353667;3777975534,6829453;1651562178,3496888;2275414653,477617;5436831472,91112
1994;27236559527,005054;283444476,5921961;14586999784,533134;126327581,77650383;3764672744,9599776;1651562178,3496888;2309292927,4353285;5517779561,128663
1995;27236349212,607536;283654790,989717;14586999784,533134;125699041,26915708;3765301285,4673243;1651562178,3496888;2355050147,4931774;5627110971,886354
1996;27230675137,74631;289328865,8509428;14586999784,533134;122593853,18463299;3768406473,551848;1651562178,3496883;2405214473,881725;5746972636,708548
1997;27224044284,840855;295959718,75639653;14586999784,533136;116140514,67517999;3774859812,061302;1651562178,3496883;2401049261,81955;5737020360,0998125
1998;27232222709,739277;287781293,8579751;14586999784,533134;200129087,4344803;3690871239,3020015;1651562178,3496888;2344532154,8889327;5601979485,132851
1999;27241318319,239555;278685684,35769725;14586999784,533134;256670236,7902517;3634330089,9462295;1651562178,3496888;2273312132,208752;5431807749,525337
2000;27256772509,01382;263231494,58342904;14586999784,533134;258779336,28398204;3632220990,4524994;1651562178,3496888;2237359936,4384937;5345904272,906137
2001;28912839288,777348;269164112,09852695;14407199828,276857;313267487,5565309;3364132853,989582;2041761492,220431;2201466985,091377;5260142353,758159
2002;30573468528,92257;270534269,2319186;14227399872,020588;328594597,86807853;3135205758,487665;2431960806,0911736;2094937298,5964568;5005602394,876491
2003;32233646236,536324;272355958,8967842;14047599915,764317;345376834,9223844;2904823536,24299;2822160119,961916;2110635666,1743171;5043111768,735094
2004;33899974670,93918;268026921,77255142;13867799959,508038;309577054,32081866;2727023331,6541867;3212359433,8326583;2088702743,990925;4990705671,482741
2005;35567552213,944466;262448776,0458892;13688000003,251766;295046469,063919;2527953931,7207165;3602558747,703401;2020192643,6547632;4827008971,564479
2006;37986665446,17069;265335545,8215911;13073000002,601416;308792085,15394723;2551408315,473762;3652869328,108816;2085568233,1145186;4983216132,220532
2007;40409222780,33507;264778213,65914655;12458000001,951063;321328203,9827323;2576072196,48805;3703179908,5142283;2115489694,4406343;5054709889,371428
2008;42803321799,25252;292679196,74361163;11843000001,300707;372858949,48587275;2561741450,8279815;3753490488,919643;2146062415,0900571;5127759752,8700485
2009;45205187543,10785;312813454,8902147;11228000000,650354;533470466,57661074;2438329933,580317;3803801069,325057;2102085626,3852787;5022682470,124119
2010;47614448560,399;325552439,6009775;10613000000,000004;692242035,1289687;2316758364,871032;3854111649,7304707;2119604566,2233562;5064541883,896516
2011;48610527513,15133;338325664,85503435;10644614548,220396;692041573,9135526;2326867682,0150146;4053143915,2580576;2132660499,9281297;5095737477,704381
2012;49609138250,67865;348567105,3340877;10676229096,440792;843346049,1626561;2185472062,6944776;4252176180,785647;2135516402,7384841;5102561316,277795
2013;50607524410,57932;359033123,43980515;10707843644,661186;867280439,642207;2171446528,1434937;4451208446,313236;2175398434,073574;5197854665,485532
2014;51612006314,30823;363403397,7172975;10739458192,881584;741756829,318026;2306878994,3962417;4650240711,840824;2217697714,077354;5298923741,600758
2015;52617487686,22229;366774203,80960107;10771072741,10198;823215682,6480478;2235328996,994786;4849272977,368412;2262757761,189799;5406589340,895982
2020;55259514985,23861;384250070,5088399;11236849146,18272;900727843,1606934;2301185877,130844;5109232124,899354;2475814006,938659;5915661786,490603
2025;51001429700,37288;396903431,7625999;10529469757,016333;943611731,904226;2578173297,3523774;4801116337,986705;2708594770,0838094;5725025372,402226
2030;35853805912,55908;911552888,2373792;10706546742,090933;1937890676,1934888;8975095815,355078;4452605655,1688595;7078632339,14474;5116611131,729278
2035;22552887332,56228;1331438576,6204834;10829304565,414553;2815828367,493893;14138692541,355967;4109709968,4676633;10817764342,576431;4498922350,915024
2040;20188996374,885517;1250100190,9397643;10093308993,22421;2736055856,366451;13196918171,409002;3808621384,408372;10403043197,269056;4256424976,2403545
2045;18654785918,921257;1151882834,6757576;9376401195,340046;2596832797,4405394;12066896575,53059;3537442260,4755373;9773082455,562248;4036367631,4392476
2050;17336168093,525005;1065618410,520193;8750595400,14024;2473778186,334619;11074361890,274498;3301340903,47994;9217373840,51206;3845006606,974917
