"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;20120591996,055603;891245226,6571032;3331146919,2543583;140869034,726341;1615302354,162304;643999026,252272;208918653,82901233;499186164,01622415
1991;20124718621,120064;887118601,5926414;3331146919,2543592;252465125,75511107;1503706263,1335337;643999026,252272;311089337,83380234;743310807,2135102
1992;20124520269,326317;887316953,3863875;3331146919,254359;306714136,03293097;1449457252,8557134;643999026,252272;394399554,49082357;942370616,9249767
1993;20124257960,614525;887579262,0981879;3331146919,2543592;322279561,8035284;1433891827,0851161;643999026,252272;483395535,7569118;1155015881,897046
1994;20124033525,007683;887803697,7050289;3331146919,254359;305565270,0872014;1450606118,801443;643999026,252272;581581886,0086423;1389620435,5958714
1995;20123894308,35943;887942914,3532791;3331146919,2543592;330110514,2742288;1426060874,614416;643999026,252272;676362074,5633341;1616086372,8504448
1996;20253211568,099606;758625654,6131024;3331146919,254359;316040096,95817083;1440131291,9304738;643999026,2522719;716654115,5339178;1712359391,0987422
1997;20330365573,128372;681471649,584334;3331146919,2543592;345630617,25065714;1410540771,6379876;643999026,252272;761929203,3250004;1820538804,4048686
1998;20368013094,60077;643824128,1119373;3331146919,254359;358341338,6558831;1397830050,2327619;643999026,2522719;834751916,1791093;1994539976,7111473
1999;20417164926,2611;594672296,451609;3331146919,2543592;351702414,7470495;1404468974,1415954;643999026,252272;894463803,763418;2137214398,3727689
2000;20445655593,4643;566181629,2484071;3331146919,2543592;344130455,3486994;1412040933,5399454;643999026,2522719;951509119,7320936;2273517365,731551
2001;21250801958,11173;561034929,2312777;3345611334,693185;376403694,8644393;1388366696,0123365;739593966,6693275;978055178,1445419;2336946000,876339
2002;22055762882,70888;556073669,2644383;3360075750,1320114;397278439,3838002;1376090953,4811065;835188907,0863826;1031391034,3936439;2464385657,4007425
2003;22848352549,854057;563483666,7495598;3374540165,5708365;422254999,2630208;1359713395,5900164;930783847,503438;1092438580,4632409;2610251475,443142
2004;23653156067,163986;558679814,0699476;3389004581,009662;414131277,8398211;1376436119,0013468;1026378787,9204934;1149747425,9350455;2747184115,0660377
2005;24446211035,23521;565624510,6290185;3403468996,448488;408855699,0173266;1390310699,8119726;1121973728,3375485;1213122643,5296292;2898611626,1327424
2006;24326390604,015015;1025444951,605289;3372458797,15879;432173543,22842497;1465431055,835014;1297988011,2081735;1242071589,0187068;2967781672,8765564
2007;24518290238,58659;1173545326,7897885;3341448597,869092;463285219,67093635;1532757579,6266437;1474002294,0787983;1271298389,3920412;3037615620,671249
2008;24660047998,54805;1371787576,5844004;3310438398,5793934;435908235,2418315;1658572764,2898884;1650016576,9494224;1306045580,035527;3120639881,5008173
2009;24940803920,551765;1431031664,3367612;3279428199,2896957;423345034,7860244;1769574164,9798355;1826030859,820048;1296605708,260576;3098084435,666864
2010;25275866391,1435;1435969203,5010967;3248417999,9999967;440570580,3864554;1850786819,6135447;2002045142,6906726;1316701215,5527568;3146100249,5508356
2011;25213642610,226715;1768535601,6699905;3284578138,379492;480173158,23229307;1824032367,4571118;2109339474,3033812;1297694938,5734434;3100687021,3701754
2012;25184113234,384064;2068407594,764752;3320738276,7589855;611971146,5107676;1705082504,868043;2216633805,9160895;1305724705,8062024;3119873190,864378
2013;25028800869,20748;2494062577,1934457;3356898415,1384797;699103764,0141958;1630798013,0540202;2323928137,5287986;1334012150,324718;3187462660,067911
2014;24786444285,36099;3006761778,2920465;3393058553,5179734;759938423,9266376;1582811478,8309834;2431222469,1415067;1326362593,162326;3169184957,113523
2015;24503255985,78618;3560292695,1189647;3429218691,8974686;778300119,4649477;1577297908,982078;2538516800,754216;1346807727,4336214;3218036162,894494
2020;23682326405,692047;3448310332,718215;3276445255,7753587;794042539,4742281;1480582423,686263;2468486813,088966;1374049163,4642107;3283126319,781743
2025;22125561368,150066;3202377131,4577403;3166927907,5509973;847576489,1674075;1554885937,2471602;2360819887,190285;1553369886,2384646;3339558711,0875473
2030;16188101154,508484;1895065887,0728817;4750445093,390371;1427977463,7448306;4468598568,4823265;2257580413,1014423;3861020311,4198837;3078393333,937161
2035;10767776109,378633;697108658,1840894;6242680687,674817;1989095754,715908;6852449909,934266;2152443419,7740693;6007750160,15884;2749805516,9820886
2040;9858864698,311481;583063708,8497974;6041732227,724726;2012195145,4257982;6361481024,622957;2047073856,6719685;5991023592,709939;2712495225,1951833
2045;9272795634,969627;541231701,8803582;5740365490,89029;1975864775,250622;5806687129,94259;1943861004,6416974;5799628945,112636;2661353280,590597
2050;8708920773,477343;502882085,10083485;5438764455,3486395;1932728118,8822849;5275241098,178368;1841708997,9206047;5595848091,967988;2603194593,964047
