"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;3780022960,6658764;279978559,8547501;1119999993,4518201;0;0;6938712400,201095;2902948,1862418423;50620158,99759213
1991;3773805630,36238;286195890,15824735;1119999993,4518201;0;0;6938712400,201094;3469813,757321033;60504877,39328553
1992;3767722925,6185555;292278594,9020713;1119999993,4518201;0;0;6938712400,201095;4106393,5499980412;71605237,52809085
1993;3764934543,5433216;295066976,97730505;1119999993,45182;0;0;6938712400,201094;4639770,318194039;80905994,92350855
1994;3763200844,761411;296800675,7592153;1119999993,4518201;0;0;6938712400,201095;5133342,480244244;89512659,499259
1995;3761467085,13611;298534435,3845174;1119999993,4518201;0;0;6938712400,201094;5644975,818372337;98434265,83286764
1996;3767288379,9281197;292713140,59250766;1119999993,4518201;0;0;6938712400,201094;6022610,555100579;105019271,55456634
1997;3773301151,054608;286700369,4660189;1119999993,4518201;0;0;6938712400,201094;6403245,620509095;111656595,50762735
1998;3779000214,735996;281001305,7846312;1119999993,4518201;0;0;6938712400,201094;6780994,401840932;118243589,88210122
1999;3784263130,012297;275738390,5083294;1119999993,4518201;0;0;6938712400,201094;7151116,781316822;124697598,87421215
2000;3789010565,0444727;270990955,4761546;1119999993,45182;0;0;6938712400,201094;7521647,349508196;131158725,65704916
2001;3957060239,761504;277941256,6786598;1147999994,4965398;0;0;7083463092,75163;7891045,281320548;137600102,0930271
2002;4127904378,689354;282097093,6703482;1175999995,5412595;0;0;7228213785,302169;8041346,482170105;140220979,28284124
2003;4296027127,968021;288974320,31121814;1203999996,5859797;0;0;7372964477,852701;8177177,908602741;142589539,78126028
2004;4491053495,682116;268947928,5166599;1231999997,6306994;0;0;7517715170,403236;7724924,760337088;134703375,50837797
2005;4669205678,661202;265795721,45711032;1259999998,6754193;0;0;7662465862,953774;7654977,4027535515;133483668,46051508
2006;4888725146,955921;265276253,13873035;1265999998,9403355;0;0;7583796368,243047;7586336,840816204;132286748,66173254
2007;5087857355,11163;285144044,95935684;1271999999,205252;0;0;7505126873,532318;7368585,677403937;128489712,74973115
2008;5315816661,0859585;276184738,96136594;1277999999,4701676;0;0;7426457378,821589;7082770,076502109;123505803,20900552
2009;5526033213,165638;284968186,85802215;1283999999,7350843;0;0;7347787884,110862;6978031,485482082;121679424,02809381
2010;5728624915,132712;301376484,867285;1290000000,0000005;0;0;7269118389,400134;7184275,762636079;125275808,61096668
2011;5733390022,327059;308345787,05316883;1300834663,771753;0;0;7392545504,905303;7130520,480787848;124338450,88373812
2012;5737340261,807383;316129956,9530761;1311669327,5435057;0;0;7515972620,410475;7070447,595050163;123290929,9386872
2013;5738720783,884798;326483844,2558884;1322503991,3152587;0;0;7639399735,915647;6947399,246689235;121145274,36414355
2014;5748129500,471638;328809537,04928184;1333338655,0870113;0;0;7762826851,420816;6602569,75269049;115132310,06254046
2015;5756459189,842966;332214257,0581846;1344173318,858764;0;0;7886253966,925987;6263606,2074158825;109221633,2418145
2020;5835991287,313842;334357949,17263323;1376736371,9927096;0;0;8006241159,082769;6199603,675325773;108105589,0884932
2025;6038588862,797702;374588969,92177874;1283527714,0344136;6043163,964452319;40342036,132744886;8285769511,347982;45181058,16757045;154021526,07501498
2030;4615349383,80805;300747774,3856468;1262402974,4119925;127395963,30789399;605748617,381445;8468883303,278087;709404919,3087952;379553815,6824976
2035;2903149740,9337397;176101147,1520979;1358669828,2514677;286634913,91654575;1040764986,8524185;8519149040,141794;1481292013,9126952;656314850,809105
2040;2687763019,006237;155266762,28141317;1358536258,4247806;332244056,98473096;920285910,8309698;8460940453,0090685;1624663825,8614798;753517682,2784235
2045;2575814547,3375797;143629066,33805403;1340192612,8986125;360004698,35578054;789026707,3996187;8344734408,310489;1693521522,0295095;816238962,1157043
2050;2466749859,457687;132407087,50125879;1320002458,4557886;386140676,2913927;659501049,9815334;8219529417,238878;1756450186,8123899;875497117,0214766
