"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;62660569144,36541;4179433304,007061;16171299981,84049;3856508654,3043585;11511491712,39352;4980878210,375103;1956384378,217149;4674546744,412659
1991;62660602043,58508;4179400404,7873917;16171299981,840488;4039566900,424229;11328433466,273651;4980878210,375103;2039131944,7257707;4872262168,813789
1992;62660621354,67121;4179381093,701262;16171299981,84049;4388706618,739866;10979293747,958014;4980878210,375103;2149444674,7768865;5135841258,316457
1993;62661915223,397446;4178087224,9750247;16171299981,84049;5182941552,502583;10185058814,195297;4980878210,375103;2263372404,2651243;5408057957,09366
1994;62887659820,40105;3952342627,971417;16171299981,84049;5281069017,5899515;10086931349,10793;4980878210,375104;2353231637,529347;5622765859,583397
1995;63055032445,045975;3784970003,326504;16171299981,84049;5735400710,344836;9632599656,353043;4980878210,375104;2332938792,6527834;5574278531,11727
1996;63264299904,82092;3575702543,5515437;16171299981,84049;5825831792,922611;9542168573,77527;4980878210,375103;2405923130,4422555;5748665886,897427
1997;63326825715,876785;3513176732,4956827;16171299981,84049;6092277442,912629;9275722923,78525;4980878210,375103;2507119724,592894;5990463058,761784
1998;63366682190,0246;3473320258,3478775;16171299981,84049;6495353163,39419;8872647203,303688;4980878210,375103;2610495719,9464965;6237467649,429683
1999;63505840772,47465;3334161675,8978233;16171299981,84049;6775540099,277146;8592460267,420732;4980878210,375103;2657714912,359868;6350292268,470483
2000;63581298041,91546;3258704406,457014;16171299981,84049;6694404228,454092;8673596138,243788;4980878210,375103;2736447711,505731;6538414885,898652
2001;64498594028,002205;3331408144,0672646;16058619982,182318;6790588742,946555;8424051615,675662;5971316839,461276;2817186286,509156;6731330065,110375
2002;65529663565,44239;3290338330,3240714;15945939982,524145;7138366838,775662;7922913511,770896;6961755468,547446;2882913089,238712;6888376407,915507
2003;66569542769,85549;3240458849,607977;15833259982,865965;7270211385,792178;7637708956,678722;7952194097,633617;2924589427,527351;6987957039,224647
2004;67523198573,033264;3276802770,127199;15720579983,207794;7239651430,378192;7514908904,017043;8942632726,71979;3026760994,3822985;7232083791,8869095
2005;68515115761,44929;3274885305,408171;15607899983,549618;6896954241,728962;7704246084,590611;9933071355,80596;3146326160,482154;7517770471,948511
2006;67621972326,28164;3228028727,2043247;15877439986,839691;6874488841,786798;7924011499,268865;9671919788,254116;3231548897,404379;7721400020,346747
2007;66643618284,18728;3266382755,9272046;16146979990,129763;7026318444,798995;7969481910,99275;9410768220,702272;3295404013,2017136;7873974190,835954
2008;65854584853,23944;3115416173,503532;16416519993,419834;7751154166,001381;7441946204,526448;9149616653,150425;3311530742,616276;7912507084,127385
2009;65000604310,120674;3029396703,250817;16686059996,709908;7988813225,881982;7401587159,381932;8888465085,598583;3316095629,680061;7923414336,4036875
2010;63954608607,2774;3135392392,7225833;16955599999,999983;7983657171,499861;7604043228,50014;8627313518,046736;3284734852,0536537;7848481504,906963
2011;64334682380,17735;3030974302,58451;17042280942,539694;8083021758,278995;7933342061,76322;8787254659,513094;3350529543,7745156;8005690060,346187
2012;64589846889,465675;3051465476,0580697;17128961885,079409;8273641722,004924;8171385518,079511;8947195800,979446;3335341261,128512;7969399473,492904
2013;64884946099,10487;3032021949,1807323;17215642827,619114;8301422315,45143;8572268344,67522;9107136942,445803;3302298497,9110217;7890447738,371469
2014;65248324319,76639;2944299411,2810907;17302323770,158836;8422497237,625767;8879856842,5431;9267078083,912157;3317309966,9233403;7926315850,170815
2015;65680149735,4332;2788129678,376174;17389004712,698544;8464501623,592364;9266515876,61872;9427019225,378511;3332376374,773537;7962315231,759782
2020;66317348704,720345;2810869598,389139;17666423366,325123;7942240851,382902;9605179356,619514;9430415244,802614;3126768350,0871205;7471039420,562149
2025;64491021824,595665;2750801458,3071833;17810124547,796776;6170132434,676196;10492949768,818125;9057101586,5768;2870407481,4785438;5885297761,977588
2030;51274984694,308235;2655109405,2405615;19630763385,807877;3321433055,250448;17619257958,925983;8673930285,255722;7869415008,291937;4152265217,0862775
2035;38343705752,15999;2603204558,7142296;20612394550,32933;1466813005,2212;24801791429,168686;8286213122,551254;11878040372,54609;2841898929,645272
2040;36731037235,359726;2587199048,068823;19814694697,955532;937178733,8200988;25654002620,42171;7926529942,679669;10658655835,146635;1885931664,3269181
2045;35846200118,83969;2562602964,042859;19019227457,458874;565582817,8639516;25873092262,775936;7607131880,801516;9410599737,31504;1139185256,7194774
2050;35030378689,72111;2538398036,905143;18272362665,42792;223860983,59290978;26047254242,99185;7308219118,1633415;8245943544,76379;450279316,3877947
