"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;50192829590,275696;956172465,6989887;7417999934,283746;0;5537001205,069455;7933562058,827404;2380500430,1153364;1205128342,7458892
1991;50212508743,44882;936493312,5258654;7417999934,283745;0;5537001205,069455;7933562058,827405;2390357686,2130117;1210118578,6453373
1992;50212263522,730415;936738533,2442683;7417999934,283746;0;5537001205,069455;7933562058,827405;2437199101,70956;1233832045,240465
1993;50211924226,25507;937077829,7196083;7417999934,283746;0;5537001205,069455;7933562058,827406;2452570124,4833956;1241613625,5197191
1994;50211547029,30914;937455026,6655394;7417999934,283746;0;5537001205,069455;7933562058,827405;2499493922,272557;1265368798,150482
1995;50219147084,432076;929854971,5426091;7417999934,283747;0;5537001205,069455;7933562058,827404;2524181971,515192;1277867123,0795665
1996;50231233988,21989;917768067,7548028;7417999934,283747;0;5537001205,069455;7933562058,827405;2540703309,4522676;1286231050,4102104
1997;50245946086,59655;903055969,3781292;7417999934,283746;0;5537001205,069455;7933562058,827404;2563200054,669339;1297620027,676353
1998;50252762255,76461;896239800,2100778;7417999934,283746;0;5537001205,069456;7933562058,827405;2597830522,857387;1315151702,1965523
1999;50269574105,42463;879427950,5500562;7417999934,283746;0;5537001205,069455;7933562058,827405;2614709542,8778653;1323696706,081919
2000;50257280807,016495;891721248,9581891;7417999934,283746;0;5537001205,069455;7933562058,827404;2684871805,611302;1359216351,5907218
2001;50126447910,43546;907753938,883351;7368199948,2643385;0;5656801044,564607;8207791332,384177;2776536823,228491;1405621766,759424
2002;50010251178,490654;909150464,1722735;7318399962,244931;8340354,147016545;5768260529,912742;8482020605,9409485;2839668204,0619926;1437582028,3063834
2003;49901332657,65639;903268778,3506974;7268599976,225521;62213977,6440596;5834186745,910851;8756249879,49772;2880030212,0556197;1458015294,8531575
2004;49802532072,85612;887269156,4950879;7218799990,206115;119016131,99942425;5897184431,050634;9030479153,054497;2901992972,319552;1469133942,2367733
2005;49674498354,68928;900502668,006069;7169000004,186707;153940390,34849918;5982060012,1967125;9304708426,611265;3008909880,463424;1523260626,9846084
2006;49905042543,25475;866558474,9015117;7112000003,349363;156828087,07536596;6069372314,960802;9515475683,132679;3091396727,569076;1565019593,3318453
2007;50076529710,691055;891671302,9261472;7055000002,512021;171272279,91696092;6145128121,610165;9726242939,654093;3115875560,203343;1577412002,3529427
2008;50214854537,581;949946471,4971327;6998000001,67468;189647023,83636072;6216953377,181724;9937010196,175507;3155167030,562497;1597303309,2222638
2009;50486685047,33669;874715957,2023717;6941000000,8373375;216553195,01487336;6280247205,494167;10147777452,696918;3071474093,917353;1554933760,04566
2010;50660612233,630196;897388766,3697932;6883999999,999995;238395195,8552239;6348605204,144773;10358544709,218334;3231240197,7878175;1635815350,130083
2011;51086499096,1361;885610527,412504;6931269548,104769;280529302,3943089;6405705085,857976;10683434341,750727;3258024359,4436717;1649374831,968359
2012;51485631468,65105;900586778,4461777;6978539096,209543;277391955,73999214;6508076420,76458;11008323974,28312;3322221628,282058;1681874699,3177917
2013;51891028257,28548;909298613,3603594;7025808644,314316;291786631,3099275;6592915733,446932;11333213606,815504;3358722846,6054106;1700353441,0939894
2014;52320149268,45194;894286225,7425041;7073078192,41909;309246302,5191027;6674690050,490045;11658103239,34789;3405376688,718486;1723971948,6637335
2015;52761333255,92273;867210861,8203441;7120347740,523861;323246650,0743999;6759923691,187035;11982992871,880285;3411693496,0838585;1727169832,3924537
2020;55685253047,65867;918469048,6943597;7508105241,117769;347528217,32595956;7062331931,158424;12652469076,786203;3667972300,667918;1856910977,213134
2025;54840968320,45067;945031097,9737303;7749222966,73617;415973413,51285875;7213016074,566824;12664407161,14403;4043866077,6549134;1995764168,4437613
2030;41016981607,556114;1297745503,967958;11623329216,869751;1410503188,390872;10692604054,139753;12664016915,686157;8873322789,606518;3646209931,5341516
2035;27041562134,62387;1632882410,6395316;15438572530,113222;2418121613,205084;14074397125,551708;12607049592,567799;13653907555,749043;5304157042,068045
2040;25841944391,6325;1629809684,3702831;15521113354,799797;2487884061,561737;14027634752,891687;12476686807,461609;13897511748,286543;5421876391,22935
2045;25292181807,295395;1594736475,3656735;15240961784,128817;2467071212,609777;13687336916,210785;12245248350,44242;13712058373,062912;5375415001,2771435
2050;24593455400,436813;1548006212,7346225;14845785835,537579;2425840292,0903196;13247621785,827467;11927558619,776678;13417766440,05545;5285552923,452622
