"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;6743285793,204104;18833786,93693508;2629999935,841958;19109224,879110586;346591163,485822;179335109,6428258;460512811,95602745;1100340347,1515703
1991;6743297676,198268;18821903,942770228;2629999935,841958;21715208,977037434;343985179,3878952;179335109,64282584;465248236,19700825;1111655077,6388695
1992;6743324151,7375345;18795428,403505284;2629999935,8419585;26460608,4763736;339239779,88855886;179335109,6428258;498704473,8592681;1191594760,5486944
1993;6743332947,321345;18786632,819692;2629999935,841958;33191896,375062283;332508491,98987013;179335109,64282584;496338114,66476643;1185940627,9600618
1994;6743355556,802408;18764023,33862931;2629999935,841958;40552894,070579015;325147494,2943535;179335109,64282584;530651624,7469006;1267928660,8996744
1995;6743360039,444145;18759540,696893357;2629999935,841958;49550862,73062392;316149525,6343086;179335109,64282584;528780771,0245172;1263458479,4391122
1996;6744571752,068959;17547828,072079163;2629999935,841958;65163164,50454683;300537223,8603856;179335109,6428258;515003789,60103947;1230540028,2502713
1997;6745473144,37355;16646435,76748768;2629999935,8419585;77536461,200819;288163927,16411346;179335109,6428258;500311430,27212346;1195434390,9156933
1998;6746520863,88406;15598716,256978003;2629999935,841958;73723165,28547245;291977223,07946;179335109,64282584;490823709,4930224;1172764615,6027973
1999;6747023706,271312;15095873,869725628;2629999935,8419585;71153476,59200707;294546911,77292544;179335109,64282584;487804480,8280018;1165550529,41204
2000;6747655559,964792;14464020,17624598;2629999935,841958;77058590,03077112;288641798,3341614;179335109,64282587;473904607,0719219;1132338441,6762736
2001;7401928635,406061;15567702,583650485;2647199943,043915;85722171,24041203;271478018,94607127;286805626,00842166;480197960,510493;1147375657,85693
2002;8056529181,059927;16343914,778460005;2664399950,2458715;89376222,40897024;259323769,59906384;394276142,3740177;479307560,69916016;1145248153,882949
2003;8711962549,95502;16287303,732040048;2681599957,447829;87499140,98089094;252700652,84869403;501746658,7396136;465913410,3017897;1113244431,694542
2004;9366447347,279434;17179264,256302454;2698799964,6497865;75664275,10181451;256035320,54932126;609217175,1052096;460534456,2946054;1100392063,7127743
2005;10024516355,178104;14487014,206302656;2715999971,8517427;59204526,61751015;263994870,8551765;716687691,4708056;407253646,97753656;973083935,2560605
2006;10065272026,505667;25731389,502995167;2584999977,4813943;59605804,25091859;263153793,7272308;687858240,0281502;405073911,82212764;967875718,5130485
2007;10107148820,68701;35854641,94590568;2453999983,111045;56679313,66512397;265640484,81848806;659028788,5854948;410324969,8224263;980422494,2659746
2008;10154931462,552622;40072046,70454938;2322999988,7406955;119263672,52117611;202616326,46789864;630199337,1428393;397665967,75350624;950175321,1809442
2009;10211234625,420847;35768930,46058053;2191999994,370347;125124901,9871277;196315297,50740954;601369885,7001839;391114551,0738778;934521493,7163453
2010;10259809309,806902;39194292,698781446;2060999999,9999974;118512044,85799003;202488355,14201;572540434,2575284;399919811,4026777;955560611,3161327
2011;10471041965,75859;47445157,09747218;2107124722,6079493;115578510,10612434;208566556,98066413;600062304,6630793;391931775,3095001;936474153,394381
2012;10681305174,461315;56665468,745129064;2153249445,2158995;143107171,26436597;184182562,90921098;627584175,0686302;402247056,61342394;961121285,7134911
2013;10889741172,761087;67712990,79573704;2199374167,8238497;132747383,93607222;197687017,32429326;655106045,474181;393514339,23883605;940255500,8361571
2014;11097086593,42261;79851090,48459393;2245498890,4318;107505333,50766975;226073734,83948418;682627915,879732;410361462,64645046;980509689,509218
2015;11301105951,056808;95315253,20077473;2291623613,0397506;105850026,64894384;230873708,78499866;710149786,2852829;412980943,02051395;986768624,9162725
2020;12611134496,893316;106412529,87626672;2557848685,534174;120365433,80416487;256007603,1554467;793850580,3811241;469613772,74261886;1122086005,6682045
2025;12130295381,752544;113040742,00581665;2502386621,6854777;128472316,64445111;319819507,36688656;777163980,60714;542818793,0634186;1127149409,2464445
2030;8989633783,47419;247162381,27736863;2496349699,472108;240507643,25341582;1404002711,2314703;752720261,20597;1613120226,4945347;1060308406,5621996
2035;5995259979,367044;367115847,637065;2472558310,1576886;347349578,84206986;2371912163,855069;722749893,0031936;2608336055,456189;981476415,4866735
2040;5546296756,179908;355802016,0052688;2365606944,991378;346535791,70138454;2297064364,345003;690107858,1106653;2581146335,3090096;956020998,4913977
2045;5249289341,163113;336182918,53120065;2248552409,151569;336466884,8228844;2159473202,1120706;655917188,5611191;2478670035,3750553;927527866,0633377
2050;4963309365,429747;316817907,8803238;2133162650,4257264;325740983,83970255;2024320422,959269;622257105,7209243;2373769678,5619297;897941726,7490621
