"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;4342384486626,1426;182705922853,2388;550522531326,8228;56870221150,55925;405692997375,43933;470063066005,0602;134533880091,2452;221252240342,01477
1991;4349761323704,6343;175886212508,22327;551253314014,1836;57279634259,75359;406084495806,08765;470407808664,6786;141722351885,58432;229847619940,29065
1992;4358786840185,8125;168482389166,7628;552040835596,3284;58283378945,768005;405228265304,83105;470752551324,29706;142801303382,1831;232421434392,74603
1993;4362391624888,551;165912781972,61176;552185423871,739;61482257884,650215;402786651421,4209;471097293983,91547;144826894932,9939;235882988549,1244
1994;4367115887381,7144;161720346202,81223;552359615181,52;62026911350,8399;403430706103,07983;471442036643,53394;144693429325,51596;237668301407,32068
1995;4372717231642,5107;158703526512,8735;553812764702,231;60906873551,89281;402629603347,31885;471786779303,1524;145868730757,63858;239858794310,72192
1996;4377276849917,6675;155891270135,986;553767839312,0006;61456114699,700386;402431365937,2902;472131521962,7708;146882993812,9174;241576003579,0642
1997;4381772610065,652;153028533279,90997;553810992192,4282;62255214501,473335;401992225592,29987;472476264622,3893;147466861370,4325;243103695124,4158
1998;4387758208091,2188;149299263035,26166;553298455178,3589;63187728417,94684;401341940315,1404;472821007282,0077;147355944580,2929;243902015126,4454
1999;4392619923502,8037;145975228605,87695;553307621527,9497;63555352000,06433;401480624011,30194;473165749941,62616;146780661168,68204;243922027439,0663
2000;4397754297080,535;142605692739,317;553401828132,4165;63642663816,437744;401602123483,6039;473510492601,24457;148788620905,40454;244838622212,3446
2001;4450627020589,183;141705927389,297;551829016304,8663;64432668626,35617;404381221959,15436;488023530968,5344;149215373661,84872;246838887273,1203
2002;4503071562184,236;141204204604,62973;550196626758,5742;66887046981,43171;405587870336,05804;502536569335,8241;150630177070,0405;249278260928,36676
2003;4554987620557,443;141501897659,37756;548713301248,05927;68388815707,14842;407316742157,3894;517049607703,1139;152923140816,33942;253519620117,5044
2004;4607322543370,644;141404961792,7696;547157575592,7402;70682740135,95773;408312030691,36346;531562646070,40356;154783109594,2081;257366711268,07248
2005;4655226772947,219;145026978175,21545;545785420656,02295;70452360868,3745;412242402165,59485;546075684437,69324;158314235756,2218;263925345484,1956
2006;4675960716830,543;149762433148,17917;543527413512,27716;71532914234,138;418860351943,23346;548636969110,533;160867703596,62048;268847717577,11966
2007;4694283021320,346;156835980934,321;541009416964,0087;74146673586,50737;424289200482,92175;551198253783,3728;162880542003,59488;273488160120,8127
2008;4720634178471,402;156793486798,2315;538097497796,4679;75816509718,2303;430137999610,9617;553759538456,2126;165585816041,1771;279228475324,94714
2009;4740098199424,133;164216162336,59955;535639875586,2938;78202258777,5027;435898568159,8592;556601101714,1082;166107197664,04968;280154062311,53436
2010;4762263219636,489;168441165055,01517;533180611958,97534;81257739088,48015;440774244920,4566;559322145180,4297;168643352298,9741;282238392478,7152
2011;4785719860078,7;178064005686,11157;536981853038,1884;83436551433,69037;447294676948,8693;573324624899,8354;170306261438,67554;284360334242,5661
2012;4804182980598,276;194011975754,19495;540828676709,2791;85177803110,7724;453826148296,6389;587484901462,6277;172187910182,90936;285659080006,9673
2013;4831935100529,316;200400735683,59595;544634155730,581;86503150999,18498;461139126687,3764;601657370143,8699;174855677128,1697;290698672081,09875
2014;4857449838710,74;208671689260,08966;548441878658,9697;87921994328,28177;468774737442,7481;615842731640,0245;177153574999,7232;294865133192,33276
2015;4885538878774,973;214519378592,0571;552340608924,9762;89607656079,30356;475985922450,64606;630041686647,5544;180244823270,93997;301179420204,8058
2020;4974426582434,856;215876182962,84952;556571605521,6707;93225369916,58366;483455226580,6722;640893950942,8552;189633151537,82758;316105717873,21387
2025;4894348743350,592;216688307319,45215;571696027324,7552;97056023300,16467;505230112992,21924;643127670438,6758;221454676585,25742;327783202744,07245
2030;3719394331464,737;191209706591,54904;931582486072,8674;131825642139,92245;865469131760,95;644811462599,875;620735981894,1229;351661176804,8314
2035;2540626282053,961;162178979781,2033;1295735101729,7678;167303136353,2521;1210216360943,8906;644844683616,0596;1018779092501,1287;371713208968,2715
2040;2441713462651,1055;158258748614,2732;1309322868169,961;171045889969,5647;1209503093896,9636;642448184850,4165;1044115414366,5608;376636352584,79694
2045;2403699036338,284;155529800534,13058;1294190542806,3103;171455519160,65314;1183821814577,7407;637296102973,4921;1039349168228,373;377940119859,00964
2050;2354904910495,2666;152025018492,53073;1271090728495,4592;170811355603,57388;1151506554635,9126;628685923667,9033;1027881534565,2366;376972545998,87085
