"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;55630914519,53582;969087720,2569139;7699999978,260701;283855405,2191501;3618144576,886382;7651177288,624273;554358756,2010769;751801600,8754331
1991;55619121252,288895;980880987,5038383;7699999978,260702;236976960,07401258;3665023022,03152;7651177288,624272;634043962,2420232;859867839,2049359
1992;55612690828,6696;987311411,1231357;7699999978,260701;257489920,76823303;3644510061,3372993;7651177288,624272;695529548,6529605;943252401,5978508
1993;55587908415,49499;1012093824,2977546;7699999978,260701;349552790,11642015;3552447191,9891124;7651177288,624272;765073236,3146694;1037565073,9061956
1994;55580680715,523735;1019321524,2689841;7699999978,260702;357824329,79803735;3544175652,307495;7651177288,624272;831339738,5647074;1127433344,0809047
1995;55572875299,07928;1027126940,7134571;7699999978,260702;344687253,78580344;3557312728,3197293;7651177288,624274;900362894,1626189;1221040089,3438258
1996;55573921473,82344;1026080765,9692955;7699999978,2607;358399447,29395616;3543600534,8115764;7651177288,624273;963801542,2266505;1307073324,3895671
1997;55596033862,697754;1003968377,0949683;7699999978,260702;370980369,5676328;3531019612,5379;7651177288,624274;1011773864,1148485;1372131678,7310958
1998;55615958252,29758;984043987,4951453;7699999978,260702;398934744,81877995;3503065237,286753;7651177288,624273;1063158391,2747004;1441817544,3314433
1999;55638333298,74365;961668941,0490834;7699999978,260702;439016727,5386619;3462983254,566871;7651177288,624273;1110380496,949573;1505858482,1644895
2000;55646158903,41966;953843336,3730766;7699999978,260701;465100650,5165606;3436899331,588972;7651177288,624273;1166995704,362247;1582638010,0255132
2001;56884804542,07305;957197490,8702656;7667999982,467272;498306639,0897421;3424093346,597113;7878946140,43832;1212899419,0739877;1644890992,9907503
2002;58124066190,102066;959935635,9918369;7635999986,67384;514937689,5160709;3427862299,752105;8106714992,252366;1254113242,874545;1700783712,9394517
2003;59363132262,7829;962869356,4615873;7603999990,88041;526883702,8069905;3436316290,0425067;8334483844,06641;1295832592,3308985;1757362008,77752
2004;60603140140,119316;964861272,2757549;7571999995,086977;536102228,6309683;3447497767,7998495;8562252695,880455;1337616452,273651;1814027791,4396093
2005;61837035752,478966;972965453,0666732;7539999999,293549;532622953,4568749;3471377046,555265;8790021547,694502;1385974393,9389403;1879609109,588426
2006;62412846303,68338;1016354900,7531337;7539999999,434837;542759920,7585148;3558240079,251197;8764187484,220263;1440182154,4777484;1953123743,7437959
2007;63065746474,22432;982654729,1030579;7539999999,576128;530918849,68151397;3667081150,32577;8738353420,746025;1484397214,7238898;2013086633,6666458
2008;63636684431,1299;1030916771,088344;7539999999,71742;528897050,1499105;3766102949,8549447;8712519357,271786;1556064551,9697547;2110279323,9041882
2009;64210358519,472786;1076442681,6363032;7539999999,858709;567762903,1146495;3824237096,887779;8686685293,797546;1538481385,104845;2086433659,251776
2010;64883469059,73576;1022532140,2642028;7540000000,000003;587361892,628709;3901638107,3712907;8660851230,323307;1604455167,400861;2175904953,0504837
2011;65286408541,070984;1035514009,7357945;7549767073,284112;618593656,1594822;3916951214,87413;8934787764,900015;1682786612,5413065;2282135269,0628686
2012;65674083285,56581;1063760616,0478038;7559534146,568227;645587563,50411;3936502178,5631127;9208724299,476723;1778985574,1574078;2412596874,542238
2013;66068915077,40298;1084850175,017488;7569301219,852337;664422854,7800738;3964211758,320761;9482660834,053432;1847693026,190081;2505775473,8742185
2014;66479254837,38325;1090431765,8440504;7579068293,13645;686027733,9529343;3989151750,1815133;9756597368,63014;1878081590,9560847;2546987363,07743
2015;66893795937,288506;1091812016,7456253;7588835366,420562;665829180,200322;4055895174,9677367;10030533903,206848;1918933629,5667076;2602389442,8370423
2020;67706158988,982704;1112840704,2524693;7670644229,064854;687908780,5181373;4069905827,7369814;10160211642,986574;1982567499,690123;2688687431,0866055
2025;66412415397,39162;1158535291,6547148;7875879658,081272;776364430,0274352;4319083873,651349;10155639716,373112;2479297434,5957437;2924615617,877188
2030;48555379947,23823;1537705925,7922869;11893613226,274208;1600717364,9907515;9817867771,316833;10108042740,925638;8659382903,176512;4313327847,618355
2035;30551821094,333004;1851265270,7571268;15785891447,802837;2460620662,1696334;14863715652,152493;9975510515,336437;14837393470,667635;5726486074,1800995
2040;28584794057,7717;1802985526,2694275;15678618918,502806;2561767660,5481133;14461726072,929106;9748917131,92297;15182042930,37415;5922803898,629658
2045;27604221090,010406;1732450796,7079844;15262668877,858112;2582418884,193703;13751532923,626738;9485314524,131413;15035701034,333647;5969327450,506951
2050;26606407591,286606;1658760405,6084077;14805004293,276024;2590616312,6109295;13019653571,50386;9200755549,450129;14829485569,9513;5988271785,235679
