"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;729880773604,2338;24479131070,175873;41996607278,47206;8108130060,911302;73310265272,53386;69079227416,19771;46620504942,716255;13320144269,347502
1991;730112831276,5682;24247073397,841446;41996607278,47206;8111860541,638955;73306534791,8062;69079227416,19772;46656631093,45648;13330466026,701855
1992;730718021589,653;23641883084,756752;41996607278,47206;8252639016,866727;73165756316,57843;69079227416,19772;46432755846,45697;13266501670,416279
1993;730867732778,8813;23492171895,528347;41996607278,47206;8810790610,206665;72607604723,2385;69079227416,19771;46749856194,44428;13357101769,841225
1994;731259361166,8939;23100543507,51583;41996607278,47206;8892252970,845762;72526142362,59938;69079227416,19772;46657150350,1046;13330614385,744173
1995;731683138476,6221;22676766197,787643;41996607278,47206;8654353157,824865;72764042175,62029;69079227416,19772;46797966898,63549;13370847685,324429
1996;731768735056,1407;22591169618,26895;41996607278,47206;8570849997,670015;72847545335,77513;69079227416,19772;46999292413,152504;13428369260,900719
1997;732080126116,949;22279778557,46071;41996607278,47207;8631387602,634962;72787007730,8102;69079227416,19772;46948010440,87402;13413717268,82115
1998;732674248545,2915;21685656129,118313;41996607278,47206;8624769303,15209;72793626030,29306;69079227416,19772;46506942360,47262;13287697817,277895
1999;733186502033,139;21173402641,27083;41996607278,47206;8852001871,816063;72566393461,62909;69079227416,19772;46237640914,2315;13210754546,923288
2000;733134941395,1685;21224963279,241337;41996607278,47205;8912080711,679432;72506314621,76575;69079227416,19771;46791644832,331024;13369041380,666006
2001;742861528534,5139;20777326887,195736;42091785520,56268;9113605501,312204;73927275102,0681;67568407017,221085;46479887329,161156;13279967808,331758
2002;752014195353,4551;20903610815,554268;42186963762,65331;9288734739,687012;75374631133,6284;66057586618,2445;46916830108,986664;13404808602,56762
2003;761079298890,1204;21117458026,188915;42282142004,74393;9591020418,809732;76694830724,44081;64546766219,26787;47542881982,04468;13583680566,298483
2004;770007195214,1968;21468512449,412106;42377320246,834564;10577434303,380444;77330902109,8052;63035945820,29124;48074177133,91938;13735479181,119825
2005;778720019091,8859;22034639319,022873;42472498488,92518;10789600338,085924;78741221345,0349;61525125421,31461;49158304973,61945;14045229992,4627
2006;782289116884,1962;20473264326,722095;43948656260,89613;10885248560,569881;80858476954,61493;62856495269,395775;49836328224,83693;14238950921,381983
2007;783498630891,1842;21271473119,743378;45424814032,867096;11102366337,695866;82854263009,55296;64187865117,476944;50303619195,82454;14372462627,378443
2008;783474788854,5082;23303037956,42897;46900971804,83806;11270908525,795652;84898624653,51718;65519234965,558105;50689248615,6972;14482642461,627775
2009;783912357293,6267;24873192317,319633;48377129576,80904;11530947749,29122;86851489262,0856;66850604813,63927;51043646311,04304;14583898946,012299
2010;785528508384,6937;25264764026,261997;49853287348,78;12266992863,829092;88328347979,61177;68181974661,72046;52391778859,47955;14969079674,137014
2011;792522062037,4554;26090951108,214203;50918250617,36002;12379992013,76529;89572382614,78416;69673744480,18333;53224800467,57279;15207085847,87794
2012;799527875590,9661;26904878289,417797;51983213885,94004;12824402306,637888;90485006107,02017;71165514298,64621;53825312416,550674;15378660690,443052
2013;806566887286,0194;27685607329,078377;53048177154,52008;13263042261,824131;91403399936,94255;72657284117,10912;54472039863,76691;15563439961,076265
2014;813805395909,8993;28266839439,913025;54113140423,10009;13930368608,653074;92093107375,22218;74149053935,57199;55101003582,609436;15743143880,745556
2015;821379785985,0219;28512190099,504154;55178103691,68014;14059503276,485935;93321006492,49794;75640823754,03485;56156317335,45785;16044662095,845104
2020;820230119436,746;28515048593,830235;55040608299,332855;14506951706,170494;92266649306,98727;75687385874,16971;57943511058,76972;16555288873,934212
2025;825994823757,4889;29139653704,772106;59063184756,923004;15338357692,908066;96977227420,49072;77447295533,91566;62997480627,77711;18179873261,942657
2030;645104309653,0476;29245409409,582867;106427433059,26053;19501163673,252274;150899901359,3522;79160156824,04745;107407771852,62837;34087018708,80982
2035;453911844957,42914;29112923033,118507;155222134416,68057;23776176876,621456;205659529966,42938;80525189686,51022;152786321070,08618;50833464319,540474
2040;444924941099,32806;29271503154,791855;159832789001,77243;24606417610,58876;209873063913,34872;81359711789,66527;158027246424,10706;53117406879,30872
2045;445329397914,266;29281669989,711964;160471665915,19797;24986728988,44246;209613111242,9816;81634866455,7202;159423353420,99896;53955223607,71142
2050;442611611724,6504;29061113408,41452;159743677637,743;25161189471,318233;207586480703,60233;81262984872,83456;159468989023,30164;54332628349,66856
