"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;828633956908,0524;20969109966,200504;68999999891,25777;15101364689,750595;74902635015,67387;54668010125,561775;25434032378,504993;27553535076,713745
1991;829148962264,2255;20454104610,027344;68999999891,25777;13421674433,803885;76582325271,62057;54668010125,561775;30416119119,990345;32950795713,322876
1992;829701487881,2031;19901578993,049873;68999999891,25777;12911698318,62658;77092301386,79788;54668010125,561775;30261324894,43469;32783101968,970913
1993;829970084482,8334;19632982391,419506;68999999891,25777;13731414074,228752;76272585631,19572;54668010125,561775;30368939271,84665;32899684211,16721
1994;831798232008,5729;17804834865,679943;68999999891,25778;13504479996,49008;76499519708,93439;54668010125,561775;28697190049,001453;31088622553,084908
1995;831971494614,3083;17631572259,944607;68999999891,25777;12628556138,31236;77375443567,11212;54668010125,561775;28775577890,76343;31173542714,99373
1996;831986780739,6667;17616286134,58623;68999999891,25777;12576420047,240082;77427579658,1844;54668010125,561775;29047856394,91861;31468511094,49516
1997;832006729107,3862;17596337766,86651;68999999891,25777;12530714295,94395;77473285409,48053;54668010125,56178;29293865609,410812;31735021076,86171
1998;832233821421,7378;17369245452,51502;68999999891,25775;12470998076,922024;77533001628,50243;54668010125,56178;29257268285,899498;31695373976,39112
1999;832639796484,3912;16963270389,861631;68999999891,25777;12449520915,167898;77554478790,25658;54668010125,561775;28964653970,39795;31378375134,59777
2000;832295765783,1212;17307301091,13157;68999999891,25777;12325090761,708603;77678908943,71587;54668010125,56178;29613097517,73419;32080855644,21204
2001;837828737642,7909;16987716096,489782;68612399913,450386;12465606398,17419;77994593365,65884;56079943753,44919;29325505837,45281;31769297990,57388
2002;843141072504,6842;16888768099,623993;68224799935,64299;13259223705,38734;77657176116,85425;57491877381,33656;29347212328,045994;31792813355,383152
2003;848149230544,8407;17093996924,49522;67837199957,8356;13285288475,138096;78087311405,51207;58903811009,22396;29711800044,58558;32187783381,634384
2004;853469365774,7883;16987248559,575556;67449599980,02821;13344556149,276314;78484243789,7824;60315744637,11135;29634868744,50416;32104441139,87951
2005;858349178441,4706;17320822757,920536;67062000002,22083;13240602495,783607;79044397501,68367;61727678264,99874;30089013377,731216;32596431159,20882
2006;863882739792,0197;17593261367,49329;66003000001,776665;13270400602,477285;80607399395,49652;61618148591,93271;30118551672,715466;32628430978,77509
2007;870575129295,0535;16706871824,580961;64944000001,33251;13762666520,74426;81707933477,73608;61508618918,86668;30219313943,15184;32737590105,081158
2008;877638635816,7789;15449365262,977205;63885000000,88834;13616162725,042377;83447237273,94453;61399089245,80064;30330950951,2782;32858530197,218052
2009;883523032901,3024;15370968138,57536;62826000000,44418;14272071086,759785;84384128912,73366;61289559572,734604;30212728576,772232;32730455958,169926
2010;889311976993,1984;15388024006,800795;61767000000,00001;14224309594,206453;86024690405,79355;61180029899,66857;30389614832,1009;32922082734,77597
2011;897158030373,5835;15034056903,712626;62066920420,691895;14603346017,799726;87817300832,7729;62697687315,87858;30064909303,974133;32570318412,638653
2012;904909318371,549;14774855183,044077;62366840841,38379;14457806879,211006;90134486821,9342;64215344732,08857;30196817488,807972;32713218946,20865
2013;912735003726,1509;14441256105,739073;62666761262,07568;14742154810,817368;92021785740,90053;65733002148,298546;30329519985,47856;32856979984,268436
2014;920651448924,8961;14016897184,29065;62966681682,76757;14823454034,808641;94112133367,48189;67250659564,50853;30539747206,333958;33084726140,19512
2015;928534204888,1471;13626227498,336498;63266602103,45946;15338864333,631754;95768369919,2314;68768316980,71854;30767226461,763393;33331162000,24368
2020;958858443486,292;14072301927,21063;65299092939,321075;15879838915,3065;98810048031,42355;71019621575,5302;31852332053,83455;34506693058,32076
2025;913278544138,7246;14076560109,532804;67459902618,59756;15908083833,491726;99386156391,53136;68763119825,56459;35452594844,35259;34558329701,218376
2030;659218420036,421;20495677623,14662;133769826433,44107;20175848740,828907;161067030208,16977;66583609424,53964;98307261052,58072;43680912461,8491
2035;420192644957,2381;26418879525,823532;196041415449,1394;24239901204,788986;218178014046,85385;64479815774,49552;157513998341,8305;52366771591,64316
2040;392113929936,3461;25852349213,054337;193503055417,87064;23998612239,060596;213541847038,6024;62307091002,09305;156785933025,512;51839963080,8781
2045;377404147867,9045;24890516851,122665;186831553777,64276;23413922181,718132;205225642188,5222;60117644287,863235;152062683862,62457;50576917058,07171
2050;362880226357,78595;23902795051,675167;179895746552,93344;22785179838,784153;196708130465,05792;57884665191,50744;147060472763,972;49218881314,16045
