"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;55880380176,105484;10779621570,4635;21699999993,088367;638681108,5901432;2437318833,8688636;29917551799,341343;584261020,814915;2963038034,132784
1991;56127685195,353134;10532316551,215837;21699999993,08837;635423478,1336216;2440576464,325384;29917551799,341343;750800378,255453;3807630489,7240834
1992;56323080719,20688;10336921027,362104;21699999993,088367;635227249,8552195;2440772692,6037865;29917551799,34135;912649475,3828521;4628436625,155892
1993;56777924552,644646;9882077193,924328;21699999993,088367;724176246,3947837;2351823696,0642223;29917551799,341343;1060902695,618722;5380292242,066375
1994;57341714455,72907;9318287290,839909;21699999993,088367;707181604,639281;2368818337,819725;29917551799,34134;1193207619,6447444;6051267213,912634
1995;57695228833,24627;8964772913,322702;21699999993,088367;753525212,17397;2322474730,2850356;29917551799,341347;1329328103,421798;6741592524,496262
1996;58172780637,70318;8487221108,865805;21699999993,088367;700123909,5136566;2375876032,945349;29917551799,34135;1448491661,6549807;7345921998,393118
1997;58601319745,95958;8058682000,609384;21699999993,088367;675117346,825406;2400882595,6336;29917551799,341343;1561052093,073429;7916764186,300962
1998;58995875141,06995;7664126605,499022;21699999993,088367;824931697,6156645;2251068244,8433414;29917551799,341347;1669221642,0411506;8465338327,494409
1999;59570049842,0629;7089951904,506079;21699999993,08837;827925813,9498662;2248074128,50914;29917551799,341343;1742061898,2106156;8834742483,782408
2000;60066926766,76034;6593074979,808635;21699999993,088367;966066022,5576091;2109933919,901397;29917551799,341343;1794661584,9801614;9101498038,113674
2001;64682148082,832695;6585853560,5404415;21699999995,955532;1118659948,5726337;2012940005,5279045;30144353161,025547;1859162388,065323;9428609253,759857
2002;69194101461,04625;6681900079,131045;21699999998,822697;1127685079,9547093;2059514885,7873623;30371154522,70976;1947531734,5569644;9876768082,396036
2003;73723610321,93527;6760391115,046169;21700000001,68987;1300673907,4977102;1942126069,8858957;30597955884,393963;2029649939,6818383;10293224694,100754
2004;78257805149,47672;6834196184,308919;21700000004,557034;1340963002,5395515;1957436986,4855862;30824757246,07817;2107740435,6367428;10689255066,443485
2005;82859874414,62769;6840126815,962085;21700000007,424194;1295242515,0568616;2058757485,609809;31051558607,76238;2171361931,981054;11011906940,761059
2006;85133374979,52914;7700626244,9427;21580000005,93936;1321907150,195498;1967242149,9939694;29616879838,47216;2205889151,292391;11187009267,268555
2007;87595604632,23732;8372396586,116543;21460000004,454517;1282120171,3465862;1942178428,3656766;28182201069,18193;2243532467,3909693;11377914656,054205
2008;90534640081,5567;8567361130,679226;21340000002,969673;1410611222,283192;1748836676,9518676;26747522299,891712;2291425290,9449015;11620799689,791998
2009;89434893975,07407;12801107231,04392;21220000001,484837;1459654970,4810946;1634942228,2767608;25312843530,601482;2233525094,678819;11327162980,15687
2010;93101749036,91905;12268252163,081009;21099999999,999992;1497920279,606141;1531826218,6745107;23878164761,311264;2260903221,492825;11466009194,713612
2011;91566092046,7282;13836045631,948797;21173208997,51527;1769549636,6993752;1267761524,556082;24388891117,854614;2266516599,2904596;11494477039,258759
2012;89841312813,6193;15592961343,73465;21246417995,030537;1875629101,0398571;1169246723,1904056;24899617474,39797;2262025486,114794;11471700679,58217
2013;87960339045,96616;17506071590,064777;21319626992,545807;1705740690,943136;1346699796,2619321;25410343830,94133;2269249484,814551;11508336672,988083
2014;86258831992,51338;19239715122,19447;21392835990,06108;1700893149,3251543;1359112000,8547192;25921070187,48468;2255975296,4550233;11441017574,87905
2015;84474760598,80336;21055922994,581432;21466044987,576355;1590545099,1395447;1477024714,0151346;26431796544,02803;2259393321,7767596;11458351846,15357
2020;78390641726,12747;19794852078,27702;19491291315,65701;1531599816,7129655;1337677021,717664;24590187176,756107;2175660658,341497;11033707624,446167
2025;73997396024,78932;18818726408,27855;18233486918,142662;1666114049,131976;1883334675,0974123;23609610407,074852;2885243726,8906426;11142143657,996592
2030;56078506981,26164;10671994402,234938;20840348976,59008;3563986345,8309574;11238029863,324076;22714411974,708565;13583413123,055336;11048199172,5595
2035;39479565863,733925;2812964097,6543593;23930970884,432076;5459714196,154824;19265083016,752502;21924699179,392044;23914255532,694515;10867713176,383623
2040;37037550053,22426;2218315475,6006365;23436820638,612713;5608231943,923831;18451102479,13585;21243573336,072155;24301342530,85246;10911424384,864214
2045;35676181506,67413;2105224015,7834032;22770050924,26301;5611775198,219511;17334570610,94895;20631950011,596348;24009368580,842438;10910314217,338875
2050;34204992052,417583;2000127427,345633;21996124938,915417;5576927092,236585;16164639205,413969;19930817284,03739;23567865886,23423;10842351276,894981
