"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;44514034612,3141;2525969104,2147098;18731999912,923695;1656862761,2846875;10606137650,475668;2064067574,1267931;1522609889,4200587;5872923859,191657
1991;44507606063,458275;2532397653,070532;18731999912,923695;1802269473,9209223;10460730937,839436;2064067574,1267934;1559161980,97617;6013910498,050945
1992;44397553415,21704;2642450301,3117723;18731999912,923695;1870553086,7624638;10392447324,997892;2064067574,126793;1621292329,4887342;6253556128,027978
1993;44338483876,02765;2701519840,5011673;18731999912,9237;1980514937,8862882;10282485473,874067;2064067574,1267931;1659629254,8235781;6401427125,74809
1994;44395473398,59743;2644530317,9313917;18731999912,9237;1969657726,8167114;10293342684,943645;2064067574,126793;1663171600,5020692;6415090459,079412
1995;44418128320,15615;2621875396,3726563;18731999912,923695;1990771804,9859142;10272228606,774443;2064067574,126793;1671850424,1578007;6448565921,751518
1996;44429202961,20456;2610800755,324253;18731999912,9237;1965896743,0755515;10297103668,684807;2064067574,1267934;1688941087,3809133;6514487051,326383
1997;44456280581,00466;2583723135,524152;18731999912,9237;1953164462,7681396;10309835948,992216;2064067574,1267934;1699264609,12883;6554306349,496918
1998;44459920525,38129;2580083191,147529;18731999912,923695;1957583314,640398;10305417097,119959;2064067574,126793;1710569336,8936865;6597910299,447079
1999;44463404894,01484;2576598822,513973;18731999912,9237;1857077864,8742952;10405922546,88606;2064067574,1267931;1724768114,5435188;6652677013,239288
2000;44465358706,12359;2574645010,4052196;18731999912,9237;1875238437,0493605;10387761974,710995;2064067574,1267934;1731807256,7064703;6679827990,153531
2001;45120925075,909706;2611678056,9249463;18554599930,13659;1834126296,0318115;10417074113,220549;2383216228,252066;1754704047,8159778;6768144184,433062
2002;45784802427,574585;2640400121,5659046;18377199947,34948;1761895272,8787348;10477505133,865627;2702364882,3773394;1778143436,2768588;6858553254,210743
2003;46504863164,23421;2612938801,2121177;18199799964,562374;1786925001,4486248;10440675402,787739;3021513536,5026135;1784475530,1474376;6882977044,8544035
2004;47243197765,88187;2567203615,8703;18022399981,77526;1749883324,9997048;10465917076,728664;3340662190,6278863;1790866728,7967384;6907628811,073134
2005;47914150389,46503;2588850408,5929594;17844999998,98816;1752641980,3191712;10451358418,901203;3659810844,7531605;1819954882,9253488;7019825976,997775
2006;48698040790,617256;2473360007,829134;17568199999,190517;1693739859,0247211;10105660540,351574;3661927952,8976655;1799465727,570968;6940796377,773737
2007;49496715637,49637;2343085161,338442;17291399999,39288;1755641171,0437186;9639159228,488504;3664045061,04217;1808356101,4723594;6975087819,964818
2008;50161749298,383484;2346451500,839714;17014599999,595247;1811629951,1288903;9178570448,559258;3666162169,1866755;1828125504,5337434;7051341231,773013
2009;50839176129,29622;2337424670,3153877;16737799999,79761;1880743421,3200831;8704856978,52399;3668279277,33118;1781769070,866387;6872537844,770352
2010;51626033400,504524;2218967399,495494;16460999999,999971;1859207947,237464;8321792452,762535;3670396385,4756846;1762124618,3909805;6796766385,222354
2011;51744171123,74822;2164266639,986302;16601288327,062107;1878328512,3880239;8391877246,755983;3744282372,4105234;1770728387,5122092;6829952351,832808
2012;51857064198,8834;2114810528,5856357;16741576654,124233;1901060422,4410608;8458350695,846957;3818168359,345361;1772294087,178159;6835991479,115758
2013;51986740923,648735;2048570767,5548244;16881864981,186363;1925083034,2439802;8523533443,188046;3892054346,2801995;1772200084,911603;6835628898,944758
2014;52145401987,897575;1953346667,0404866;17022153308,248497;2155100187,7713103;8382721648,804726;3965940333,215039;1779243021,3931575;6862794511,087895
2015;52331902248,77536;1830283369,8972397;17162441635,31063;2285783870,4386983;8341243325,281348;4039826320,1498766;1781549566,4692674;6871691184,95289
2020;54055714127,96042;1888682936,8451147;17680164119,532616;2390530367,7705097;8572850722,204931;4175272853,617126;1863189427,229527;7186587790,742463
2025;52300244688,08142;1855540826,6370735;17230867216,998497;2367915146,4131255;8625619327,113203;4086744103,846291;2199914082,553626;7053610428,191063
2030;42048315445,357666;1958192327,493151;16548290379,46035;2320365496,1096053;12721564602,503181;3985064654,997324;7644936663,543468;5896656265,12737
2035;31952076837,16588;2032000920,0477886;15792277834,813896;2249186206,74911;16410902736,223452;3849270285,1865172;12734800916,61839;4717036567,813988
2040;30184856836,53689;1958719656,7583182;15191391084,248665;2187495203,543909;15964602732,515804;3705303612,3162274;12641393529,068817;4525781136,4503
2045;28928288508,58344;1875904137,026715;14587502891,978502;2120759503,7540128;15262847378,49094;3558087422,358489;12200876620,894188;4385759429,103355
2050;27734564783,207413;1796020742,9621215;14005518150,779404;2055557443,89667;14581807619,391691;3416145143,866005;11763978676,840626;4250869294,3783493
