"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;33873317584,160225;839685150,6353788;6963199861,026878;0;1389001187,0277421;6275639940,825036;118545164,61272892;331926460,91564095
1991;33873317584,16023;839685150,6353788;6963199861,026878;0;1389001187,0277424;6275639940,825035;144914433,50750226;405760413,82100636
1992;33900652081,233227;812350653,5623901;6963199861,026877;0;1389001187,0277421;6275639940,825035;167281786,3314065;468389001,72793835
1993;33900652081,23322;812350653,5623899;6963199861,026879;0;1389001187,0277421;6275639940,825035;193691853,0319591;542337188,4894854
1994;33926263030,90515;786739703,89045;6963199861,026878;0;1389001187,0277421;6275639940,825034;210353044,44487885;588988524,4456607
1995;33939864120,825024;773138613,970585;6963199861,026878;0;1389001187,0277424;6275639940,825036;231646021,10555476;648608859,0955533
1996;33968511800,65895;744490934,1366571;6963199861,026878;0;1389001187,0277424;6275639940,825036;248609674,17838398;696107087,6994752
1997;34001640486,66864;711362248,1269677;6963199861,026878;0;1389001187,0277424;6275639940,825035;263317981,37960634;737290347,8628979
1998;34028846890,66554;684155844,1300684;6963199861,026877;0;1389001187,0277424;6275639940,825035;278556695,94326866;779958748,6411521
1999;34048557170,44372;664445564,3518847;6963199861,026877;0;1389001187,027742;6275639940,825036;295213294,30179805;826597224,0450346
2000;34006614219,772823;706388515,0227864;6963199861,026879;0;1389001187,0277424;6275639940,825035;331546008,00644535;928328822,4180468
2001;35963099788,8126;709102640,2535999;7153599881,901344;0;1489400947,7925334;7031766900,065483;342548992,60140043;959137179,2839211
2002;37910196888,707085;721205234,6296982;7343999902,775811;0;1589800708,5573246;7787893859,305928;359841187,4214031;1007555324,7799288
2003;39873096129,1028;717505688,5045595;7534399923,650277;0;1690200469,3221157;8544020818,546376;368730628,2599276;1032445759,1277969
2004;41844123727,41978;705677784,458164;7724799944,524747;71135853,2100533;1719464376,8768535;9300147777,786823;372254548,2489166;1042312735,0969666
2005;43799507652,867966;709493553,2805665;7915199965,399216;141196560,07918236;1749803430,7725158;10056274737,027273;384942600,5553928;1077839281,5550997
2006;44512914058,43152;735387146,4872984;8023999972,319371;137053798,5719658;1737546194,1093926;10131027062,820658;400444653,78055537;1121245030,5855548
2007;45216913687,39814;770687516,2909766;8132799979,239529;189475353,21751055;1668724641,2935085;10205779388,614046;414217566,0158646;1159809184,844421
2008;45936987740,93218;789913461,5272436;8241599986,159686;156590575,1088645;1685209421,231815;10280531714,407433;436580386,8509804;1222425083,1827452
2009;46674580854,24053;791620346,9891812;8350399993,0798435;168367843,8806901;1657032154,2896497;10355284040,200817;424394851,66591674;1188305584,6645672
2010;47460233907,67189;745267292,3281187;8459200000,000001;165489881,3833287;1643510118,616671;10430036365,994205;421362304,8358944;1179814453,5405047
2011;47088891663,98318;756571388,7538928;8479081031,716681;177232171,12955964;1635499662,0569787;10632119304,278915;423758918,19554824;1186524970,947535
2012;46713770613,78942;771654291,6847546;8498962063,433357;190036686,9199465;1626426979,45313;10834202242,563622;428609298,34867275;1200106035,3762836
2013;46374840618,444626;750546139,7666174;8518843095,150036;197953887,59999973;1622241611,9596152;11036285180,84833;433885204,71000135;1214878573,188004
2014;45999810698,966675;765537911,981663;8538724126,8667145;196140928,1755282;1627786404,5706246;11238368119,13304;440484657,49154645;1233357040,9763305
2015;45707102022,67721;698208441,0082047;8558605158,583394;198958499,28740314;1628700666,6452885;11440451057,417746;444239003,2312098;1243869209,0473878
2020;47949913898,302666;732468985,0781;8982800865,473743;208161088,87212482;1711182483,8520107;12002334932,74203;464786751,82654476;1301402905,1143255
2025;48512808458,63457;774230785,2013296;9302149040,82223;257955034,69889387;2074585289,6703386;12342670703,226221;839307715,9924107;1428585886,8773386
2030;36593509827,09057;1127334755,1659093;10386910380,74593;981074374,0459701;7119283530,6514435;12554226310,390255;6690939349,149004;2999742898,664345
2035;24070838964,149323;1481942072,520444;11405160785,202452;1709002500,4899638;12256703041,199287;12665275248,109287;12618790227,885784;4574952302,514134
2040;23329143563,667023;1509174609,6166918;11491273003,17979;1751609271,1742592;12634417377,946487;12695917390,670982;12997796502,305359;4665331806,02527
2045;23288227209,041027;1509717983,3974535;11480265764,141031;1745100565,2293353;12653201077,263002;12681649710,937223;12975486640,899765;4647243559,881413
2050;23200103649,10995;1504838884,8140364;11431491765,738054;1731720490,7333505;12622116831,736681;12627700014,98588;12900920256,912758;4611585082,549098
