"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;699181613883,0702;56729387864,095146;93421000053,29022;2705040712,2046003;52475659349,11889;33513125024,488102;9466004991,839054;48006168172,89808
1991;700556574862,2719;55354426884,89357;93421000053,29024;3360612039,5596237;51820088021,76386;33513125024,488102;9347181107,6438;47403561331,62214
1992;705271605306,1372;50639396441,02822;93421000053,29024;3617623194,7389765;51563076866,58452;33513125024,488106;9019209352,398085;45740276001,447426
1993;705349511294,8856;50561490452,279724;93421000053,2902;3815679980,26776;51365020081,05573;33513125024,488102;9122636264,9955;46264798201,0486
1994;705020094524,085;50890907223,08049;93421000053,2902;3523231237,3067765;51657468824,016716;33513125024,4881;9261189555,782675;46967461318,61214
1995;705669301611,6436;50241700135,521774;93421000053,29022;3410142236,7788706;51770557824,54462;33513125024,488106;9228761445,536053;46803004473,78999
1996;706334007037,908;49576994709,25732;93421000053,29022;3479626948,015519;51701073113,30797;33513125024,488102;9232930813,503849;46824149125,62667
1997;706955456922,7703;48955544824,39515;93421000053,29022;3627115691,6768994;51553584369,64658;33513125024,488102;9253070542,027367;46926286320,28164
1998;708302957478,1063;47608044269,059135;93421000053,29022;3810952876,849876;51369747184,47362;33513125024,488106;9207112732,038534;46693214569,624
1999;708165030460,483;47745971286,68226;93421000053,29022;3678647213,2371936;51502052848,086296;33513125024,488102;9289039997,625032;47108702845,09839
2000;710749485602,1475;45161516145,01797;93421000053,29022;3806127908,531659;51374572152,791824;33513125024,4881;9070160082,709661;45998668990,88471
2001;705256592617,0121;44779209000,9626;94927600044,40994;3806651934,0182724;51562508120,11774;35341559991,5835;9136950758,434902;46337393132,06273
2002;699749298164,6127;44411303324,17129;96434200035,52968;4106595629,519569;51451024417,42899;37169994958,678894;9224869098,186697;46783264712,23255
2003;694209212424,7494;44076188934,84368;97940800026,64937;4283605801,7317405;51462474238,029366;38998429925,774284;9348982794,754494;47412698459,112076
2004;688658872107,3778;43751329123,02481;99447400017,76912;4318868003,018963;51615672029,55465;40826864892,869675;9499229874,074612;48174665789,94982
2005;680349557210,1731;46185443891,038666;100954000008,88882;4231572226,093314;51891427799,29284;42655299859,96507;9976291120,721691;50594047826,517166
2006;683094899714,7804;46107101366,18916;101207000007,11104;4402028661,608509;51347371358,700424;44304994290,66524;10142133105,626583;51435103607,106255
2007;683739199466,6565;48129801594,07064;101460000005,33327;4709270738,099009;50666529277,13269;45954688721,36541;10223992246,793308;51850246394,45178
2008;685131845835,1499;49404155205,3349;101713000003,5555;4823727865,150803;50178472145,00366;47604383152,06558;10384627276,01248;52664895471,206154
2009;688888849901,2313;48314151119,01079;101966000001,77774;5080662093,741714;49547937911,335526;49254077582,76575;10635506454,259516;53937211303,7447
2010;689429207537,1506;50440793462,8494;102218999999,99995;5211980176,011166;49043019823,98884;50903772013,465904;10691316456,121344;54220247741,758255
2011;687646342137,1788;53536601460,4224;102738766318,27635;5227457200,987348;49245397497,64641;51906764201,53343;10665088718,170244;54087235642,14911
2012;681176718160,6367;61319168034,56574;103258532636,5527;4749737433,692126;49940971963,57537;52909756389,60094;10447946787,6704;52986015851,757034
2013;684085147816,2545;59723680976,549034;103778298954,82907;4841810465,626583;50066753630,27468;53912748577,668465;10985143909,672775;55710372684,76909
2014;685524758378,1925;59597013012,21221;104298065273,10542;4935598018,611628;50190820775,9234;54915740765,73598;11515022502,085943;58397614117,721565
2015;687699168763,2936;58735545224,71237;104817831591,38179;5044608405,775018;50299665087,39376;55918732953,8035;12000006979,616125;60857178253,76751
2020;666408159315,5671;60147821757,9251;101004620280,78769;5472174085,293167;47942689147,34467;54827565119,12961;13017091107,01607;66015247757,01008
2025;653847212925,1688;62007851615,72154;102369561591,25693;6370781587,859392;51043558323,715164;55189912182,57658;17878827516,336094;71947752365,21025
2030;510477396557,1131;45198876695,22452;142045680008,76993;12622961673,096321;114584357116,5003;55572364872,09001;76546460418,31981;61773730788,07529
2035;368981884698,5621;25221727647,160885;183578560507,73056;19719786508,41755;175040439101,40768;55832208413,18488;138289748117,292;48230964353,42404
2040;356893299559,71844;23469548715,733997;186122501402,8073;21494712470,414143;173723891927,91638;55805440869,27759;145973220156,81052;50317588555,61036
2045;350587368082,0119;22850151059,067898;184549621483,38974;22581663141,53984;167578428063,07208;55308267965,28124;148444058759,1353;52786952907,86926
2050;340917856447,2077;22043709952,539383;180934715086,8335;23379996641,578224;159667910846,50186;54224528430,74687;149116303320,70023;54651301278,83908
