"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;11738713378,924913;21288311,605095875;2347999978,2551355;227295209,823259;754405177,8713009;309247194,96914226;3770816585,132279;2610565328,168502
1991;11737275825,767523;22725864,762486093;2347999978,2551355;274462692,7392996;707237694,9552604;309247194,96914226;3716737505,068527;2573125965,0474424
1992;11734638680,807167;25363009,722841915;2347999978,2551355;176852677,67767587;804847710,0168841;309247194,96914226;3498353936,772167;2421937340,8422694
1993;11733234070,697798;26767619,83221012;2347999978,2551355;120594619,40878409;861105768,2857757;309247194,96914226;3562724768,034569;2466501762,4854712
1994;11733323284,981533;26678405,548475828;2347999978,2551355;154308808,12393653;827391579,5706234;309247194,96914226;3650154176,7066092;2527029814,6430373
1995;11732256953,749523;27744736,780483577;2347999978,2551355;171263147,37975422;810437240,3148057;309247194,96914226;3475822723,1927857;2406338808,364237
1996;11733496247,323128;26505443,20688104;2347999978,2551355;152124605,08225477;829575782,6123054;309247194,96914226;3323801628,118334;2301093434,851155
1997;11736574967,247938;23426723,282069344;2347999978,2551355;169193371,17703456;812507016,5175254;309247194,96914226;3126689832,6021957;2164631422,570751
1998;11738668457,702879;21333232,82713018;2347999978,2551355;189606522,59460095;792093865,0999589;309247194,96914226;2846989404,1584315;1970992664,417376
1999;11740253466,580402;19748223,949606165;2347999978,255136;181997308,02734214;799703079,6672179;309247194,96914226;2518369057,0186157;1743486270,2436578
2000;11740677211,79299;19324478,73701912;2347999978,2551355;206633852,59767345;775066535,0968865;309247194,96914226;2334545898,7987967;1616224083,7837822
2001;11877339208,01759;18962375,15484079;2456599983,45694;202757505,75304186;815942884,654618;416570475,38849974;2182633360,86587;1511053865,214833
2002;12014047988,863554;18553486,951299705;2565199988,6587462;197515449,40275764;858184943,7180026;523893755,8078573;2045019435,1233199;1415782685,8546062
2003;12150855320,108154;18046048,349117856;2673799993,8605514;193623519,6163639;899076876,2174965;631217036,2272148;1959040832,2411335;1356259037,7054005
2004;12284774250,472624;20427010,627073772;2782399999,062357;204976029,53800753;924724369,0089532;738540316,6465724;2134813077,0003889;1477947514,8464231
2005;12422319527,968657;19181625,773457885;2891000004,264162;219938244,3327011;946762156,9273598;845863597,06593;2157608148,4655924;1493728718,168487
2006;12478224925,02642;23444237,967275977;2775000003,4113293;199519661,50014028;908240739,5079083;1071349118,5368515;2129307388,321535;1474135884,2226017
2007;12531111328,665274;30725843,579997562;2659000002,558497;188607153,936735;860213246,8193018;1296834640,007773;2070665621,8029149;1433537738,1712492
2008;12573786415,380604;48218766,11624447;2543000001,7056637;160787044,8578999;829093355,6461244;1522320161,4786942;2253843637,7309017;1560353287,6598556
2009;12609423530,594788;72749660,15364094;2427000000,852831;121566190,44987987;809374209,8021322;1747805682,9496157;2018019206,1768126;1397090219,6608703
2010;12682914555,226088;59426644,773916036;2310999999,999998;88452465,82726035;783547934,1727399;1973291204,4205365;2111818228,2622893;1462028004,181585
2011;12676107790,520952;80129634,9938266;2327713323,6712523;91923257,11841878;782618911,1333833;2013717251,2655041;2140759530,7550683;1482064290,52274
2012;12672303131,596752;97830519,43280876;2344426647,342505;94212891,54680558;782871044,9567986;2054143298,110471;2221823009,5189667;1538185160,436208
2013;12664885749,934662;119144126,60967751;2361139971,013758;103992502,87243205;775633201,8829743;2094569344,9554386;2316661979,1472383;1603842908,6403964
2014;12661022957,433315;136903144,62580118;2377853294,685012;120890543,15250981;761276929,8546985;2134995391,8004057;2478589106,0405393;1715946304,1819117
2015;12654046793,972958;157775533,60093874;2394566618,356265;131679380,97743031;753029860,2815801;2175421438,645373;2658760059,5705853;1840680041,2411747
2020;13783453111,015495;163352685,35615173;2479211310,177232;166363464,92085233;764618375,6037544;2425616094,1109653;3359072108,481035;2325511459,71764
2025;11539526602,39545;109704529,91819824;1635854116,9237275;270940112,2309097;469925417,99331367;2295445776,357236;4832394211,38685;3312574048,0967846
2030;7378309030,926434;134721978,172234;2266821129,233081;984804202,7371907;317930215,5273823;2131046834,368732;6202338699,467665;3844658156,3803644
2035;4265930333,6760144;126668449,82853915;3407697037,33052;1844983833,1117234;-793800831,7999319;1961453775,9765954;6840017859,87578;4037312519,199819
2040;3302015638,627879;52024153,34140462;3234645669,706688;2066465606,125117;-1956465824,3709645;1808013923,2226052;7156071948,705091;4390156663,983122
2045;2612985999,5334916;-8423971,861722494;2995643467,199256;2181872052,557633;-2813754965,5502906;1672813201,7805917;7324701956,404794;4630937152,612375
2050;2028686657,7448351;-60724004,61754234;2795780528,8918657;2287120424,636238;-3561816025,144153;1561385192,2419748;7493827930,454927;4854201683,904555
