"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;26127205400,892834;122798046,52262689;2754999982,260009;0;611001198,8903977;323991491,50576276;2814415284,0620456;1948441350,5044935
1991;26127053556,350636;122949891,06483103;2754999982,2600083;0;611001198,8903978;323991491,5057628;2898937329,915536;2006956613,018448
1992;26126737198,09564;123266249,31982931;2754999982,2600083;0;611001198,8903979;323991491,5057629;3064713077,1945577;2121724438,0577714
1993;26126577522,924564;123425924,49090245;2754999982,260008;0;611001198,8903978;323991491,50576276;3182724764,5558586;2203424837,0002103
1994;26126334083,67647;123669363,73898917;2754999982,2600083;0;611001198,8903978;323991491,5057628;3249169017,891876;2249424704,694376
1995;26126131200,84265;123872246,57281043;2754999982,2600083;0;611001198,8903978;323991491,5057628;3349211367,482149;2318684792,872258
1996;26139851392,043835;110152055,37162724;2754999982,260009;0;611001198,8903978;323991491,5057628;3315662602,5859957;2295458724,8672285
1997;26150851080,59154;99152366,82392532;2754999982,2600083;0;611001198,8903978;323991491,5057628;3272171731,988764;2265349660,607607
1998;26159867185,576065;90136261,83940013;2754999982,2600083;0;611001198,8903978;323991491,50576276;3217099927,5829086;2227223026,788168
1999;26170704886,18783;79298561,2276296;2754999982,260009;0;611001198,8903978;323991491,5057628;3113412806,11101;2155439634,999931
2000;26173732121,13536;76271326,28010523;2754999982,2600083;0;611001198,8903978;323991491,5057628;3091886492,063002;2140536802,1974638
2001;27945118488,21292;81484829,47278324;2942199985,818793;0;574401199,1126232;416659194,2346406;3107402325,4649787;2151278533,0142164
2002;29716487723,848152;86715464,10779415;3129399989,377577;0;537801199,3348488;509326896,9635182;3086027902,910485;2136480855,8611047
2003;31497414540,128983;82388518,09719838;3316599992,9363623;0;501201199,5570743;601994599,692396;2933078033,265206;2030592484,5682194
2004;33274984003,68108;81418924,81533785;3503799996,4951463;0;464601199,7792998;694662302,4212738;2803438253,394139;1940841867,7344046
2005;35056655945,62698;76346853,13967565;3691000000,053931;0;428001200,0015253;787330005,1501515;2697972485,650661;1867827105,4504578
2006;34677549095,29073;68653263,72258745;3491520000,0431447;0;417013600,0012202;882091311,8098834;2641399660,3315187;1828661303,3064363
2007;34262106072,07306;97295847,18693314;3292040000,032358;0;406026000,00091505;976852618,4696152;2775281424,106615;1921348678,227657
2008;33758328609,856113;214272869,6505394;3092560000,021571;0;395038400,00061;1071613925,1293467;2944784833,1657786;2038697192,1916928
2009;33425709689,735;160091350,01833096;2893080000,010785;0;384050800,0003049;1166375231,7890782;2706398590,261565;1873660562,488776
2010;33024035353,04641;174965246,9535736;2693599999,9999986;0;373063199,99999976;1261136538,44881;2563989309,1982894;1775069521,7526624
2011;33079344715,997902;225192946,71149692;2717208973,1722507;0;384119058,05429393;1343616691,1227996;2417517583,0648503;1673666019,0448966
2012;33177795704,264572;232279021,15423822;2740817946,344503;0;395174916,1085881;1426096843,79679;2623640401,7406726;1816366431,9743118
2013;33234495496,53748;281116291,590736;2764426919,5167556;0;406230774,1628822;1508576996,47078;2761050631,9213357;1911496591,3301558
2014;33167295168,00501;453853682,8326227;2788035892,689008;0;417286632,2171764;1591057149,1447694;2560920226,3090324;1772944772,060099
2015;33203164183,801907;523521729,7451248;2811644865,8612595;0;428342490,2714704;1673537301,8187592;2653872089,480795;1837296061,948243
2020;33120699991,65522;517282944,1862025;2778138616,95256;0;402076273,627736;1740993583,397892;3435746274,7497406;2378593574,8267436
2025;27277762505,543247;435710953,86364526;2384639336,3693933;51977257,92378148;479526296,0178116;1589720679,1459875;4389506446,441538;2996207362,4696174
2030;17310594666,54475;499914309,22971;3644167386,231892;1010483775,7563859;2301711481,078237;1436240347,5201833;5398177104,158256;3132471713,808948
2035;10325575754,321165;503838466,0206915;4823614386,656745;2111291811,1137707;2564410713,4392886;1292708026,565129;5783374085,913328;3016463439,612519
2040;8511979726,582989;385390140,62421227;4455711056,550671;2290700282,7311;1181575547,6372292;1169070707,0688403;5789358905,126701;3151825673,784308
2045;7254709164,012432;288367859,7710873;4057575545,0475907;2349444114,298411;94845042,95405252;1063876771,5136598;5714862750,02429;3228756619,538105
2050;6220960911,654552;207582752,92199138;3729003880,2978435;2400848892,91458;-814806060,9546418;977737701,2922927;5662357104,321554;3299298434,1680512
