"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;5221251252,500096;506750465,3391489;0;0;332001194,4388867;625604461,3733637;233476414,23694146;525321932,03311837
1991;5221224779,733402;506776938,1058427;0;0;332001194,43888664;625604461,3733637;236477182,8278574;532073661,3626792
1992;5229692427,252394;498309290,5868525;619999988,086269;0;332001194,4388867;625604461,3733637;221387133,58453718;498121050,56520873
1993;5321784970,740398;406216747,0988474;619999988,086269;0;332001194,4388867;625604461,3733637;191961318,6186915;431912966,89205587
1994;5321661432,686371;406340285,1528745;619999988,086269;0;332001194,43888664;625604461,3733637;194008565,9639632;436519273,41891724
1995;5294766994,404438;433234723,43480814;619999988,0862691;0;332001194,4388867;625604461,3733636;211504672,14179745;475885512,31904435
1996;5303077736,5818615;424923981,257383;619999988,0862691;0;332001194,4388867;625604461,3733637;211457780,01117945;475780005,0251538
1997;5311224215,127898;416777502,71134746;619999988,0862691;0;332001194,43888664;625604461,3733636;211120517,8275268;475021165,1119354
1998;5318934823,394602;409066894,4446435;619999988,086269;0;332001194,4388867;625604461,3733639;210570101,5537646;473782728,4959704
1999;5318751108,785915;409250609,0533294;619999988,086269;0;332001194,43888664;625604461,3733639;212504344,0064172;478134774,0144386
2000;5359763549,580805;368238168,2584408;619999988,086269;0;332001194,4388867;625604461,3733637;197052809,60893634;443368821,62010676
2001;5507045078,036376;365356616,2567904;655999990,4702065;0;319001195,5513801;626724967,0375167;193328260,59491885;434988586,33856744
2002;5647809769,523447;368991901,2236418;691999992,8541442;0;306001196,66387343;627845472,7016699;192094098,88762286;432211722,49715143
2003;5789074020,482425;372127626,7185845;727999995,2380818;0;293001197,7763667;628965978,3658228;191057598,134668;429879595,8030031
2004;5930417719,597368;375183904,0575641;763999997,6220195;0;280001198,88886005;630086484,029976;190792827,83318248;429283862,62466055
2005;6077685739,168256;372315860,9405974;800000000,0059571;0;267001200,00135353;631206989,694129;188155760,80553132;423350461,81244564
2006;6130501522,808884;361500077,2781981;828000000,0047657;0;283001200,0010828;624545599,0253133;186333496,78279042;419250367,7612785
2007;6155308601,2874565;378692998,7778544;856000000,0035743;0;299001200,00081205;617884208,3564976;185875349,3327046;418219535,9985854
2008;6197185703,936935;378815896,1066059;884000000,0023826;0;315001200,00054127;611222817,6876818;185821684,5870714;418098790,32091063
2009;6232067094,473507;385934505,54826343;912000000,001191;0;331001200,0002705;604561427,0188662;186895677,3596851;420515274,05929154
2010;6255017640,679569;404983959,32042754;939999999,9999996;0;347001199,99999976;597900036,3500503;192943726,21467078;434123383,9830092
2011;6371884597,904443;413963787,4951355;956756025,5530963;0;357152948,6967847;616803216,2691537;194135691,53969383;436805305,9643111
2012;6491545826,808827;420149343,99032825;973512051,1061932;0;367304697,3935695;635706396,1882571;216470779,4712937;487059253,8104106
2013;6609714969,660053;427826986,5386827;990268076,6592897;0;377456446,09035444;654609576,1073605;217325285,93279427;488981893,34878707
2014;6736750625,36845;426638116,2298619;1007024102,2123864;0;387608194,7871393;673512756,0264639;214745994,43517867;483178487,479152
2015;6859002021,02385;430233505,9740399;1023780127,7654831;0;397759943,48392415;692415935,9455673;214109363,19992325;481746067,1998275
2020;7623989414,625337;478217630,6858126;1137962758,002324;0;442122278,0498235;769641377,8543983;237989070,94719324;535475409,631185
2025;8309983048,94634;521246178,49245745;1286446426,9610038;10465169,346500818;529607431,76833564;852135127,4722459;316077929,91884524;599394126,1084197
2030;6779043017,342099;425205915,8708285;1854747775,6432498;191381838,57977355;1265505459,1725605;926520462,7366989;1248057844,5689318;763930580,4077531
2035;4840255352,051114;303581660,5712658;2472997523,775425;397461223,2215539;2092452091,3336194;991574735,8185874;2303577266,226927;937661368,255631
2040;4940532116,086955;309869385,73799574;2638944390,2163606;431741265,6529697;2254527130,3974113;1045075959,6725751;2492353944,740005;996254778,544955
2045;5128555931,36946;321662151,60185677;2743393151,6396275;449084369,9523405;2344486475,790654;1086003082,9438326;2592146304,221124;1035541345,5599809
2050;5258464970,243898;329810022,4404457;2813015351,533067;460489567,35515004;2404008725,8277283;1113549638,8119931;2657967328,42645;1061816747,8072754
