"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;1788392022,9373324;61609898,78972667;460000010,8463913;0;0;2456294228,7536535;-17695559,319760118;-89741765,12164061
1991;1788392022,9373324;61609898,78972666;460000010,8463912;0;0;2456294228,753653;-16072312,268380884;-81509583,64678878
1992;1788392022,9373324;61609898,78972667;460000010,84639126;0;0;2456294228,753653;-14121440,448647277;-71615876,56099693
1993;1788392022,9373324;61609898,78972666;460000010,84639126;0;0;2456294228,753653;-12026884,667981217;-60993486,53047619
1994;1788392022,9373326;61609898,78972666;460000010,8463913;0;0;2456294228,7536535;-9748871,775088718;-49440706,8593785
1995;1788392022,9373326;61609898,78972666;460000010,84639126;0;0;2456294228,7536535;-7303495,140723347;-37039153,92795413
1996;1789084827,592615;60917094,13444439;460000010,84639126;0;0;2456294228,7536535;-1446939,2098352339;-7338048,84987869
1997;1789762224,3036556;60239697,423403375;460000010,84639126;0;0;2456294228,753653;6649221,683565399;33721052,82379595
1998;1790424721,425534;59577200,30152465;460000010,84639126;0;0;2456294228,7536535;14836226,222195903;75240861,55542208
1999;1791072805,193682;58929116,533377275;460000010,84639126;0;0;2456294228,7536535;23136346,539222036;117334328,8774832
2000;1791706940,9140277;58294980,813031554;460000010,84639126;0;0;2456294228,753653;31535150,310658652;159928262,2897689
2001;1830446409,2481825;59555408,236555696;466000008,3001256;0;0;2416944600,053392;40171471,57627977;203726748,70827594
2002;1870779112,3401768;59222600,902240776;472000005,7538598;0;0;2377594971,3531313;48312242,427953094;245012086,59890506
2003;1911094823,023563;58906785,97653392;478000003,20759404;0;0;2338245342,65287;56315512,80860057;285600100,6721886
2004;1951394810,294635;58606694,463141605;484000000,66132814;0;0;2298895713,952609;64229731,320272006;325736494,552808
2005;1991680219,860267;58321180,65518944;489999998,11506253;0;0;2259546085,252349;72429555,39468744;367321316,6444865
2006;2048961896,9688206;43039503,44354445;491999998,49205;0;0;2334508928,3011484;77672040,71210995;393908206,46855766
2007;2076940687,8740032;57060712,43527125;493999998,86903745;0;0;2409471771,3499484;80231767,84223397;406889679,7713294
2008;2095716688,0493453;80284712,15683772;495999999,246025;0;0;2484434614,398748;82786995,07855669;419848332,18410903
2009;2140101822,1180146;77899577,98507737;497999999,6230124;0;0;2559397457,4475484;80917869,33982801;410369194,50912774
2010;2191474341,3102913;68527058,68970957;500000000,00000006;0;0;2634360300,4963484;87810689,83354393;445325641,29868716
2011;2204223719,7288537;70232224,12773676;501061871,48892045;0;0;2684299115,0143404;91567412,80687086;464377593,5205594
2012;2216331204,2225184;72579283,49066152;502123742,9778409;0;0;2734237929,5323324;95053050,22899903;482054754,73278093
2013;2229632527,41633;73732504,15343922;503185614,4667615;0;0;2784176744,050325;98202980,79852127;498029402,6210722
2014;2245032722,651723;72786852,77463457;504247485,95568204;0;0;2834115558,568317;99327456,30084838;503732099,8114454
2015;2259366609,926289;72907509,35665919;505309357,4446026;0;0;2884054373,08631;101205731,9603533;513257640,65607744
2020;2628741176,1497397;84826858,57813272;587920308,6265538;0;0;3355556575,669699;117751441,35428108;597168024,0109969
2025;2724770952,735649;88938918,43388946;624941451,0395851;5510851,958054136;15293516,541944671;3532079255,1461887;147225379,9497501;622424287,232772
2030;2144305220,670566;86966729,32762468;752206734,0799665;96656531,24957886;268237700,95874268;3683282128,507084;537558085,762474;547477169,9840715
2035;1486192799,7296927;83374895,41076945;875696849,8314577;192620514,02891293;534553466,5132313;3782532890,851292;946421678,863688;457899971,6654071
2040;1455022010,9854856;83810938,26890785;890844634,311568;200462474,49076614;556316190,8537658;3819503142,6361203;980845820,1553826;455715910,923499
2045;1447812633,3418248;83468925,88458104;887554430,1964662;199867632,6645629;554665407,3854159;3804477973,768649;977805773,9142755;453706711,73289675
2050;1430125712,986789;82451538,1687181;876746987,4201269;197438465,68352023;547924071,2561762;3758123439,2318997;965917592,542318;448171883,5852247
