"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;140182646126,08197;3117355383,0954523;11250000066,00946;505205109,5679724;15590794972,08004;12995709143,051851;4761432965,956039;1512455177,4213305
1991;139889546647,79327;3410454861,384158;11250000066,00946;386136135,72883177;15709863945,919182;12995709143,051851;5218961773,885821;1657787857,5872614
1992;139991211958,766;3308789550,41144;11250000066,00946;409214290,44668454;15686785791,201326;12995709143,05185;5416375889,676397;1720495870,8383858
1993;139913127238,57944;3386874270,5979733;11250000066,00946;430751749,83842665;15665248331,809587;12995709143,051851;5773010568,997081;1833779827,7990732
1994;139988543915,8097;3311457593,3677325;11250000066,00946;516499079,1735292;15579501002,474482;12995709143,05185;6054289635,839297;1923127296,0901303
1995;140045701850,35513;3254299658,8222795;11250000066,009459;484109378,36818576;15611890703,279825;12995709143,05185;6297216201,72259;2000292205,2530584
1996;140075858305,34482;3224143203,832619;11250000066,00946;582592004,6299675;15513408077,018047;12995709143,051847;6554111713,844133;2081894309,1034303
1997;140162112685,78955;3137888823,3878665;11250000066,00946;627062555,8083245;15468937525,83969;12995709143,051853;6733740547,479403;2138952879,787575
1998;140174166703,58844;3125834805,588993;11250000066,009462;645228818,2330611;15450771263,414953;12995709143,051851;7002215916,560996;2224233291,1429048
1999;140263481289,07455;3036520220,1028595;11250000066,00946;680718436,8222212;15415281644,825792;12995709143,051851;7197079273,550896;2286131063,3632264
2000;140256462990,47562;3043538518,701798;11250000066,00946;348177414,24717987;15747822667,400833;12995709143,051851;8049580996,276213;2556925728,2289157
2001;141870656178,36572;3069345227,7953553;11350000055,394545;382358307,6742897;15825041755,62218;13231459274,50099;8402454989,665523;2669015114,3643436
2002;143528346344,44397;3051654958,7008495;11450000044,779629;401205804,91359043;15917594240,031336;13467209405,950119;8814871209,790936;2800017913,6982985
2003;145171446850,01257;3048554350,115947;11550000034,164711;454117320,93099993;15976082705,662384;13702959537,399258;9167108808,123104;2911905150,815575
2004;146884693439,25525;2975307657,8569283;11650000023,549795;493520399,73499256;16048079608,506845;13938709668,848394;9384689064,869019;2981018879,4289827
2005;148434913403,6112;3065087590,4846573;11750000012,934875;508964462,6340413;16144035527,256252;14174459800,297537;9821768086,885805;3119855745,2460804
2006;145832357009,65146;3029643985,625178;11826000010,3479;529336712,4319339;16189123666,951015;14242563791,018295;10150995558,238194;3224433883,2050734
2007;143226131382,6932;2997869613,764314;11902000007,760927;527089166,96909326;16256831601,90651;14310667781,739058;10051197732,78158;3192733397,471796
2008;140775322074,64258;2810678922,995773;11978000005,173948;562444506,8012028;16286936651,567057;14378771772,459824;10365476774,685577;3292563210,7824793
2009;138106037905,74182;2841963093,0773087;12054000002,586979;578349558,7378132;16336491989,123098;14446875763,180584;10882236612,068542;3456710453,245302
2010;135630145394,01889;2679855605,981148;12130000000,000004;599869286,9190427;16380432650,434519;14514979753,901348;11254392241,071678;3574924594,2227693
2011;136232133277,36897;2644100137,572302;12248002919,969612;645128759,9438562;16767763644,418787;14961170592,28823;11733813929,089647;3727211483,357889
2012;136742270384,82588;2700195445,056587;12366005839,939224;608415441,3505751;17237067430,021145;15407361430,675125;12046039211,521597;3826388926,0127435
2013;137441315998,41806;2567382246,405689;12484008759,908834;634062582,1674943;17644010756,21331;15853552269,062012;12466621150,214228;3959985541,832756
2014;138029349448,4826;2545581211,282359;12602011679,878443;632049978,2577947;18078613827,132076;16299743107,448906;12750219753,0561;4050069803,911938
2015;138525698584,61838;2615464490,0878587;12720014599,848055;771745709,0392536;18371508563,3597;16745933945,835793;12724714708,11939;4041968201,4026313
2020;140757869637,3126;2659801442,486747;13126820820,207996;834312470,2209791;18512021996,072453;17115294734,052467;13756329366,838537;4369657563,584008
2025;140084102068,59784;2752127863,536992;15912569467,835373;941025238,2995247;19308808561,348225;17354277042,306732;14738842320,42091;4646534075,267092
2030;107320239552,25316;3780066927,045582;56431118334,1507;2074845285,2773535;30515250743,898438;17533073392,630264;20294815446,324738;5916509023,4968195
2035;73762244335,06973;4786569826,45484;97136077434,52295;3271049786,321326;41546848250,226135;17610406511,096874;25587221712,76516;7211835723,331552
2040;71276293028,27669;4814853853,381138;99453888161,92154;3425638585,030201;41809902682,39773;17568460620,323;26079280612,848694;7462940115,108582
2045;70381211045,51006;4751389205,805352;98603122426,05186;3473992672,790398;41148363734,43808;17403615636,622314;26054824916,08399;7565429706,866381
2050;69047154610,98506;4652029225,413522;96957151875,28273;3492813058,889055;40174181959,74867;17112636185,406115;25826471368,133057;7606375031,669752
