"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;132584033165,89044;1415970656,662415;59199999874,540405;1845923097,7836168;26947077360,286133;2772794923,0967846;4835060820,442681;11552800190,438267
1991;132582113351,38159;1417890471,1712334;59199999874,5404;2114968339,0814116;26678032118,98834;2772794923,0967846;5268069208,333387;12587422002,212523
1992;132580604424,94632;1419399397,6065326;59199999874,54039;2410068326,4180183;26382932131,65173;2772794923,0967846;5692468928,059399;13601474429,87644
1993;132580143331,21437;1419860491,338458;59199999874,540405;2483974156,2065716;26309026301,86318;2772794923,0967846;6085547073,821712;14540687698,512056
1994;132579263693,14249;1420740129,4103582;59199999874,540405;2649993002,8821216;26143007455,18763;2772794923,0967846;6535559095,18162;15615937661,053432
1995;132578985889,50877;1421017933,0440724;59199999874,5404;2705877582,0532618;26087122876,016483;2772794923,0967846;6910757684,805455;16512429866,349323
1996;132704462740,70473;1295541081,8481467;59199999874,54039;3358257668,917266;25434742789,15248;2772794923,096785;7045380373,942578;16834094698,800858
1997;132805932991,52672;1194070831,0261378;59199999874,54039;3361132742,9549537;25431867715,11479;2772794923,096785;7193857563,518204;17188863204,86651
1998;132882653266,8702;1117350555,6826713;59199999874,54039;3301577439,3299437;25491423018,739803;2772794923,096785;7324551188,526856;17501140007,984528
1999;132897458645,89992;1102545176,652914;59199999874,5404;3154104113,481438;25638896344,588306;2772794923,0967846;7632373154,949942;18236643821,56181
2000;132790034961,55031;1209968861,0025477;59199999874,540405;2950536089,0492954;25842464369,020454;2772794923,0967846;7662458473,561002;18308529096,119213
2001;137210196008,84532;1229807327,7404938;57199999893,17169;2927635639,9958487;24618064801,18722;3180255027,303269;8007727425,712694;19133508008,34007
2002;141642905201,9792;1237097648,6395924;55199999911,80297;2944707628,5730424;23353692795,72336;3587715131,5097528;8323268184,005092;19887454952,932526
2003;146093938927,80447;1226063436,8472404;53199999930,434265;2910116675,466569;22140983731,94315;3995175235,716237;8602918798,293781;20555646686,18869
2004;150544135097,9789;1215866780,7057838;51199999949,065544;2952628312,5475745;20851172077,97547;4402635339,92272;8873393713,450157;21201914182,58003
2005;154993656251,71457;1206345141,0031464;49199999967,69682;2849825725,897456;19706674647,73891;4810095444,129206;9182236996,24647;21939858309,615467
2006;162446299593,6563;1343701760,5178006;47699999974,157455;2867721935,157899;19629678443,75119;5696982085,207571;9472449324,00194;22633285995,402866
2007;169931095251,74377;1448906063,886774;46199999980,6181;2835346645,7177444;19602953738,46407;6583868726,285936;9728104850,466307;23244144332,97259
2008;177633235398,0263;1336765879,0606987;44699999987,07874;2864246152,761201;19514954236,693344;7470755367,3643;9858005104,021046;23554525469,7848
2009;185258008317,98773;1301992920,5558326;43199999993,53937;2941969087,307281;19378131307,419987;8357642008,442667;9976728017,664034;23838199688,223804
2010;190713615912,68588;3436385287,314064;41700000000,00001;3080808968,856412;19180191431,143585;9244528649,521032;10142252975,973831;24233701800,999428
2011;195607066044,49136;4345858631,250098;42087074308,526794;3160258006,392741;19369900279,940132;9654661261,230492;10227834273,847471;24438188087,954132
2012;200267832134,0264;5488016017,456608;42474148617,05357;3219494419,5310035;19579821753,134747;10064793872,939953;10376490027,304398;24793383251,081314
2013;204773115169,72177;6785656457,502708;42861222925,58037;3265265393,9773626;19803208665,021267;10474926484,64941;10507244147,720486;25105804600,748074
2014;208971383018,7142;8390312084,251774;43248297234,10715;3585865037,2721663;19751766908,059345;10885059096,358875;10683494683,289038;25526934199,009212
2015;212801940211,9012;10362678366,80636;43635371542,63393;3441459261,0123577;20165330570,652023;11295191708,06833;10908916331,761784;26065552297,129932
2020;218099630928,21915;10616728649,173426;44705131509,04446;3582898495,864403;20549997312,538948;11597831278,31632;11357257765,440554;27136810589,99071
2025;214795524107,69736;10548259566,313875;45473792008,09962;3251670072,204529;22728129942,14033;11397183916,875727;10879594158,360798;23325535204,234188
2030;166421090689,80786;9203746551,8376;55396871840,91021;4577591360,713469;43498137662,113464;11027241287,984356;24207079952,643566;16249203310,389967
2035;118159258242,00124;7867373591,881559;63176937023,1798;5390315623,454987;63724844602,56221;10548619686,898857;35665894960,15736;10817328955,32812
2040;111118663035,86679;7598771295,865192;60574915713,052086;4483429416,940515;64428116225,10007;10015016981,90036;32958424491,595276;8690797188,050915
2045;106329623623,99626;7346221321,785542;57383256614,238304;3684411522,036584;63158476082,479355;9484314224,342447;29889095185,111298;7133505314,3232975
2050;101545374856,59521;7082483901,615753;54202116522,29136;2947515284,866081;61645965436,29882;8958377922,369732;26959208925,051514;5706143165,367291
