"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;68009708749,95664;4490293254,742167;11820999951,800829;328404302,5900456;4233595671,347185;15666797224,93249;2193110493,2877007;11122203215,959059
1991;68081096951,90156;4418905052,797232;11820999951,800827;338170053,05431104;4223829920,8829193;15666797224,93249;2200220921,7933464;11158263246,237688
1992;68258765673,54947;4241236331,149319;11820999951,800827;298131752,1697255;4263868221,7675056;15666797224,93249;2193408332,9284134;11123713688,422672
1993;68496089920,356186;4003912084,3426185;11820999951,800829;322421191,1617648;4239578782,775466;15666797224,93249;2157013261,1036725;10939138681,311485
1994;68706995248,80446;3793006755,8943286;11820999951,800827;348241136,091696;4213758837,845535;15666797224,932491;2125428668,1680589;10778959674,28087
1995;68963523095,27727;3536478909,4215236;11820999951,800829;321571224,09534836;4240428749,841882;15666797224,93249;2097653958,3835337;10638102217,516497
1996;69170883614,69563;3329118390,0031633;11820999951,800829;349519315,3706084;4212480658,5666227;15666797224,932491;2065008842,113515;10472544842,147114
1997;69365999008,93954;3134002995,7592497;11820999951,800827;329401498,1621396;4232598475,7750916;15666797224,93249;2026641598,201855;10277968105,166552
1998;69545041645,16504;2954960359,5337477;11820999951,800827;331755536,7953464;4230244437,1418853;15666797224,93249;1992476223,0181558;10104700845,306362
1999;69707352146,18143;2792649858,517366;11820999951,800827;353770466,5726187;4208229507,3646126;15666797224,93249;1961966160,9007716;9949971244,568201
2000;69814086685,35332;2685915319,3454895;11820999951,800827;402982504,03353053;4159017469,9037004;15666797224,93249;1950549825,1735609;9892074113,380205
2001;72687641091,22026;2712360712,0235944;10732052574,405033;418809363,76885813;4162133795,8059697;15928725354,901928;1958577273,7726998;9932784745,56155
2002;75643864959,74232;2656136642,0465693;9643105197,00924;428479561,21807176;4171406783,9943523;16190653484,87136;1928350767,3798258;9779493177,426262
2003;78560857843,44899;2639143556,8849664;8554157819,613444;612573884,2860658;4006255646,5639577;16452581614,840796;1899221347,0187511;9631765402,737955
2004;81406525276,00438;2693475922,874624;7465210442,217652;676141373,792295;3961631342,695325;16714509744,810232;1908984101,8927226;9681276516,741667
2005;84306139838,92625;2693861158,4978065;6376263064,8218565;641206991,8830434;4015508910,2421727;16976437874,779661;1920993843,407621;9742183062,995794
2006;84438598033,40427;2261402964,5349593;6316521520,382052;743162773,9916606;4031056547,708513;17264764823,107323;1945566258,932661;9866800313,158499
2007;84243301993,00749;2156699005,4469185;6256779975,942246;792721448,6822344;4099001292,592896;17553091771,43498;1970726119,0406783;9994396746,563442
2008;83878096504,07425;2221904494,895384;6197038431,502442;811973912,4056334;4197252248,4444532;17841418719,762638;1995677357,5155602;10120935170,257484
2009;83582958056,0307;2217042943,4541383;6137296887,062637;831031602,1910889;4295697978,233954;18129745668,090298;2007684878,9559171;10181830457,562151
2010;83535459166,73358;1964541833,266472;6077555342,62283;900712868,5841463;4343520131,415855;18418072616,417953;2031684880,8696728;10303544752,981915
2011;83734201781,69597;1857292017,7447681;6111888176,775654;895171777,8834243;4355453503,414098;19311944455,001545;2043374626,6456678;10362828463,703032
2012;83917215982,11699;1765770616,764451;6146221010,928476;897581842,603154;4359435719,99189;20205816293,585133;2064828578,3612719;10471630647,403597
2013;84108341634,62198;1666137763,7001584;6180553845,081296;873918019,2356195;4389491824,656946;21099688132,168728;2068155555,0400612;10488503171,988886
2014;84326367358,11963;1539604839,6431975;6214886679,234117;863866265,6734337;4405935859,516653;21993559970,752316;2075215142,419881;10524305365,1294
2015;84526297023,04817;1431167974,1553445;6249219513,386937;891911469,8426105;4384282936,644998;22887431809,335903;2104596998,8992853;10673313351,560663
2020;85133345629,67174;1455853446,8838086;6191567349,647629;924380116,8142632;4335432764,147513;23106012951,196735;2181211572,526104;11061858689,239529
2025;81867840401,67563;1460385871,2493646;6388235438,391055;1009779707,4167249;4555984713,125582;22629904157,535378;2667691552,3359632;10959183611,687065
2030;59672133675,670525;1846882752,1756434;12787874665,717415;2391353309,0285387;10292984698,85433;22406863985,552998;10394338255,758823;9510314250,464254
2035;38174487371,8255;2216599953,469838;19267044014,234135;3809552042,7312455;15868846749,979889;22327180955,795273;18186319207,11765;8049706549,581714
2040;36632127288,079956;2219671963,558497;19639634922,512;3950459087,760668;15968548054,411556;22279502933,043896;18789861334,255386;8058305707,194972
2045;36207431924,28111;2190321935,4861755;19503453711,630383;3973211103,9509783;15671967427,624334;22109799218,043964;18788274696,83932;8095460360,955058
2050;35342543848,71254;2131250374,879733;19092671191,64678;3938453157,8169236;15159335975,92435;21643712003,15223;18515678386,46916;8024365107,227149
