"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;53389677492,259026;210324558,39451528;11999999979,58998;2204083077,5485077;15427917314,184147;1673988766,379332;5106566139,652754;12201529714,214544
1991;53382940411,651794;217061639,0017441;11999999979,58998;2866382671,052761;14765617720,679892;1673988766,3793323;5917028100,235538;14138031743,925625
1992;53374555600,725945;225446449,92759418;11999999979,58998;3355702044,368035;14276298347,364616;1673988766,379332;6179067223,4589;14764142923,30888
1993;53384829777,38442;215172273,26911822;11999999979,58998;3481225449,9655776;14150774941,767073;1673988766,379332;6034646341,457264;14419066479,588154
1994;53393744231,28237;206257819,37117073;11999999979,58998;3190544162,942474;14441456228,790176;1673988766,3793323;5901465974,54624;14100847903,783052
1995;53396942727,500824;203059323,15271857;11999999979,58998;2955121647,6070194;14676878744,125635;1673988766,379332;5735872585,210147;13705182283,245487
1996;53410550657,142136;189451393,51141188;11999999979,589981;2935291234,266267;14696709157,466385;1673988766,379332;5464402069,679583;13056535918,703426
1997;53424022251,860115;175979798,79342568;11999999979,58998;3140476974,381516;14491523417,351135;1673988766,3793323;5199436418,080235;12423432149,395254
1998;53437554521,60079;162447529,05274186;11999999979,58998;3160886179,4065676;14471114212,326086;1673988766,379332;4986008430,671689;11913471471,516424
1999;53446622729,94448;153379320,70905265;11999999979,589981;3206061533,069428;14425938858,663221;1673988766,379332;4760157553,519636;11373827782,746035
2000;53454642035,32662;145360015,3269175;11999999979,589977;3190763643,9039683;14441236747,828684;1673988766,379332;4539170837,30273;10845806425,413603
2001;55405711263,75141;144290622,21190715;11962399982,61247;3064286304,739823;13957695686,64261;1932709992,496481;4339958306,338123;10369811882,400826
2002;57356324692,00793;143677029,2651682;11924799985,634958;3481468053,8185797;12930495537,213642;2191431218,6136303;4174849988,671284;9975305282,665901
2003;59303339606,34672;146661950,23613545;11887199988,657444;3546733020,141897;12255212170,540104;2450152444,730779;4243018366,2415404;10138185476,860321
2004;61252011221,59334;147990170,29927546;11849599991,679935;3697855972,9053063;11494070817,426472;2708873670,847928;4277818943,5873127;10221337298,836945
2005;63202082016,42428;147919210,7781107;11811999994,702425;4183438245,568314;10398470144,413254;2967594896,965077;4273032333,926838;10209900266,904835
2006;66191052513,909294;156948707,8525898;11840599995,761944;4282687727,7097187;9898066683,830736;3740205009,807561;4609125936,181915;11012955776,717855
2007;68936724329,41617;409276886,90522975;11869199996,82146;4609524449,9193125;9170075983,180037;4512815122,650047;4938705554,55087;11800446900,254293
2008;71756146110,66173;587855100,219212;11897799997,880972;5233392555,733863;8145053898,924379;5285425235,492532;5191878468,2754135;12405373331,277534
2009;74649081589,09871;692919616,3417311;11926399998,940495;5512696682,271866;7464595793,945273;6058035348,335018;5324016797,712083;12721102083,028873
2010;78044238638,1258;295762561,87415195;11955000000,000011;5807730806,565904;6768407691,21013;6830645461,177499;5345260109,409546;12771860438,412193
2011;79237210225,60191;345389729,67436683;12063755884,460117;6137593166,396549;6488041286,154037;7013843234,008675;5521644920,72586;13193310872,530817
2012;80437109401,5255;388089309,02708834;12172511768,920214;6763339217,693288;5911791189,631852;7197041006,839849;5635120421,565525;13464447024,979576
2013;81640252332,62228;427545133,20661587;12281267653,380318;6987929122,592194;5736697239,507503;7380238779,671022;5747453884,424421;13732854414,111452
2014;82843975158,91689;466421062,18834025;12390023537,840418;6793172427,882624;5980949888,991626;7563436552,502195;5950043589,683973;14216918311,634277
2015;84043775780,66856;509219195,7129798;12498779422,30052;6582329370,9714155;6241288900,677388;7746634325,333369;6120231052,996851;14623560923,089823
2020;86429220373,68204;536374664,7664049;12551293971,098894;7231711375,637782;6245416784,049629;8040220092,482749;6724024586,59663;16066253437,0008
2025;77349022577,70454;619214430,2684975;9887087796,172215;9121736965,834284;5134477662,391873;7713871841,572658;9115675613,527979;20216974715,57205
2030;54857068304,40123;1351085414,079896;11895394733,345083;9191480351,032578;8535487639,453273;7367018553,276396;19826824492,37391;19454486794,41856
2035;36263263000,18741;1748832599,3488052;15685792539,274368;8185579455,326099;9143402159,250582;6998169808,154348;29885752712,20429;16146464309,68393
2040;31794357784,26206;1467410111,9087121;15153370206,81744;8609161378,369823;5242166861,5081415;6623549442,81746;31177119607,444656;16885037319,176186
2045;28860284280,13138;1232812758,066702;14359160259,050264;8836921445,598576;2400849555,631266;6272085915,714371;31206328599,955925;17328554755,657997
2050;26151644595,189026;1017507687,7947104;13587080090,053371;9013428390,707464;-157094526,47578;5935127559,087958;31106679844,439293;17674667187,453606
