"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;24055034087,94687;333969309,18790835;9317463571,469334;160142552,86561516;3059857818,7724395;226555473,0953607;1424330175,858072;3403266791,87327
1991;24055103017,98059;333900379,1541916;9317463571,469336;167597406,49672788;3052402965,141326;226555473,0953607;1432137240,1454005;3421920839,2854714
1992;24055197548,42152;333805848,71326053;9317463571,469336;180357560,04054654;3039642811,5975075;226555473,09536073;1432146198,232343;3421942243,5640073
1993;24055367892,1243;333635505,01048434;9317463571,469336;206381719,99998072;3013618651,6380734;226555473,09536073;1437355888,3842874;3434390175,7854657
1994;24036071963,572777;352931433,56200135;9317463571,469336;205616704,1289674;3014383667,509087;226555473,0953607;1470778225,554748;3514248857,520195
1995;24055035373,89901;333968023,2357695;9317463571,469336;219532823,11403358;3000467548,5240207;226555473,0953607;1449248219,2423012;3462805479,605499
1996;24055406661,864956;333596735,2698281;9317463571,469334;229877436,75217575;2990122934,885878;226555473,09536067;1453670215,7995095;3473371312,0873246
1997;24065771068,087547;323232329,04723024;9317463571,469334;255073950,2801382;2964926421,357916;226555473,09536076;1465323518,3828003;3501215486,4013815
1998;24077946885,070793;311056512,06399024;9317463571,469334;241165652,15877107;2978834719,479283;226555473,09536067;1472280374,4182205;3517838062,7692003
1999;24109922158,366547;279081238,7682355;9317463571,469336;233622481,96103844;2986377889,677016;226555473,09536073;1440455435,2708178;3441796172,770981
2000;24137542567,539516;251460829,59526324;9317463571,469336;235613222,90133858;2984387148,7367163;226555473,0953607;1423022186,881651;3400141508,478281
2001;24535750040,482254;254252984,0450356;9161527346,655085;235009488,89683387;2854634394,900582;484604816,9080284;1419763147,991833;3392354424,405266
2002;24942074277,14434;248928374,77544352;9005591121,840832;235430842,33492604;2723856553,621853;742654160,7206962;1398121124,3765848;3340643394,528125
2003;25341625661,82693;250376617,48535958;8849654897,026579;258397462,44283062;2570533445,6733093;1000703504,533364;1401716028,6456616;3349232988,799369
2004;25739782174,021263;253219732,6835396;8693718672,212328;251894846,6417241;2446679573,633778;1258752848,3460314;1399192478,11736;3343203266,2981176
2005;26141743792,991783;252257741,10551733;8537782447,398074;257781598,20729896;2310436334,2275662;1516802192,1586993;1393134801,949457;3328729172,7995877
2006;26375350880,668907;227650666,6089332;7884381857,918458;255441677,23033288;2317621368,7175593;1400894737,5040152;1380171498,6583767;3297754908,2987776
2007;26569000594,642384;243000965,81598824;7230981268,438844;265896933,3183597;2312011226,142559;1284987282,8493311;1389955192,2251258;3321131875,2281756
2008;26765796944,813732;255204628,82518563;6577580678,959229;234695396,6170902;2348057876,356855;1169079828,1946473;1407202239,1909487;3362341633,465099
2009;26971221016,629242;258780570,19020554;5924180089,479615;187856528,7990951;2399741857,687878;1053172373,5399634;1363454715,3636677;3257812151,753897
2010;27180240968,241795;258760631,75819466;5270779500,000002;179935331,6102889;2412508168,3897114;937264918,8852793;1354440261,7172718;3236273191,7138357
2011;27349414851,301563;261726787,1777561;5355870367,887801;191026047,38019457;2477595387,74557;951788948,808771;1346686119,3616028;3217745594,9348035
2012;27518974330,42269;264307346,5359495;5440961235,775602;184166533,2150751;2560632837,036455;966312978,7322628;1349164723,9991956;3223667924,599848
2013;27690193720,9082;265227994,52976948;5526052103,663404;178874361,57930732;2642102943,797989;980837008,6557548;1348880202,2082474;3222988093,7719193
2014;27860179008,848064;267382745,0692215;5611142971,551206;166891867,20747006;2730263373,295591;995361038,5792463;1383560396,5245233;3305852274,881606
2015;28031829955,728172;267871836,66845098;5696233839,439009;132864660,24855086;2840468515,3802757;1009885068,5027384;1414302796,3981009;3379307566,6149316
2020;30564469070,452045;292070710,4398501;6211135477,08698;144791062,98617774;3097627830,6953416;1101071450,517058;1541255627,280605;3682646189,0775523
2025;28991658500,05608;304604988,80682784;6049246790,909652;159127444,53718904;3068476815,45809;1058947345,3919541;1630814530,7349765;3524565477,0976453
2030;21845586182,049953;648505135,8053777;7021094231,323969;438364994,4631913;4403379146,37613;1008073070,2889259;3636876102,877672;2718146983,921821
2035;15238985546,202093;951879338,0022008;7846844655,945792;689134516,319896;5565351400,830096;954058580,8603797;5417442006,690814;1956839490,4278057
2040;14116733164,361412;921697414,1237705;7514089689,742086;673575375,244476;5348740377,972111;904819793,6467048;5268052477,997803;1828132545,8948817
2045;13401718725,706364;875807075,6082681;7145243332,920253;643517433,6172743;5077124785,3197975;860134664,6379637;5020571999,154788;1743985234,106282
2050;12734631957,904957;831782368,2138067;6793743316,219722;614435804,5656087;4817813743,341266;817813866,625813;4782239162,067596;1665095601,2163646
