"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;20219534375,592655;270468134,0513614;3501999910,3724566;0;705001186,8754096;289376445,4436672;286649678,61855716;684915161,3009773
1991;20220035393,79043;269967115,85358274;3501999910,372457;0;705001186,8754096;289376445,4436672;331981433,68629956;793229974,2946979
1992;20220640085,01324;269362424,63077265;3501999910,372457;0;705001186,8754095;289376445,4436672;389610125,55217856;930926848,6644977
1993;20239581267,528;250421242,11601076;3501999910,372457;0;705001186,8754095;289376445,44366723;410242251,49773234;980224848,7113961
1994;20256028577,406544;233973932,2374701;3501999910,372457;0;705001186,8754095;289376445,4436672;429081134,78619534;1025238109,6661304
1995;20274921928,957634;215080580,6863809;3501999910,372457;0;705001186,8754096;289376445,4436672;440077232,47821796;1051511971,4081315
1996;20292278758,129017;197723751,51499748;3501999910,3724566;0;705001186,8754096;289376445,4436672;447387173,3082691;1068978201,7100238
1997;20304782414,288315;185220095,35569993;3501999910,372457;0;705001186,8754096;289376445,4436672;458058332,3942434;1094475661,4729712
1998;20304537328,661777;185465180,9822393;3501999910,3724566;0;705001186,8754095;289376445,44366723;494397745,0716518;1181304346,6313803
1999;20314507554,71603;175494954,92798322;3501999910,3724566;0;705001186,8754095;289376445,4436672;502084961,04817563;1199672030,8230748
2000;20316707080,73163;173295428,91238418;3501999910,3724566;0;705001186,8754096;289376445,4436672;536439676,3778668;1281758518,7789743
2001;20766722942,71142;173079385,00355712;3413999928,297652;0;719401389,5004288;303338857,92271;559291998,2045451;1336361411,6391788
2002;21216796850,978172;172805294,80776083;3325999946,222846;0;733801592,125448;317301270,4017529;581171738,0580342;1388640436,0678694
2003;21663299902,45827;176102061,39861867;3237999964,1480403;0;748201794,7504671;331263682,8807957;608740049,1702521;1454511621,911222
2004;22115256081,527557;173945700,40028736;3149999982,073235;0;762601997,3754863;345226095,3598386;626933045,221421;1497981612,475962
2005;22565198967,402596;173802632,59620494;3061999999,998429;0;777002200,0005054;359188507,8388815;648535302,3764011;1549597625,1471531
2006;23210352997,149723;174048602,84931415;3086199999,9987435;0;784202000,0004044;358074900,2504694;667333329,9419026;1594513266,2328649
2007;23841864904,433285;187936695,56599146;3110399999,999057;0;791401800,0003034;356961292,66205734;667779373,2168235;1595579033,3499322
2008;24467041183,032726;208160416,9667885;3134599999,999372;0;798601600,0002021;355847685,0736452;684984417,6932482;1636688431,656434
2009;25093132050,201977;227469549,79778302;3158799999,9996853;0;805801400,0001012;354734077,4852332;684110955,7270112;1634601398,6397614
2010;25626359840,368458;339641759,6315348;3183000000,0000005;0;813001200,0000001;353620469,8968211;689027128,2296683;1646348005,5045176
2011;25703857885,410625;391973188,9208904;3194439262,107088;0;815178685,2182218;357376949,1965885;691395269,7877504;1652006396,8379884
2012;25772802050,95943;452858497,7035945;3205878524,2141767;0;817356170,4364432;361133428,496356;696356319,290285;1663860231,9325395
2013;25833409082,441742;522080940,5528123;3217317786,321265;0;819533655,6546648;364889907,79612345;698481784,6501297;1668938777,482611
2014;25897552860,991745;587766636,3343217;3228757048,4283533;0;821711140,8728862;368646387,0958909;687777992,836773;1643363345,7161837
2015;25950581438,271336;664567533,3862498;3240196310,535442;0;823888626,0911078;372402866,3956584;701186239,8103788;1675400749,989401
2020;26534148976,008366;679595238,5391322;3310857231,0342236;0;840989838,425278;380827067,22129136;719179861,2120978;1718394358,6483755
2025;24896095657,398163;650738357,8495953;3222600389,150289;33990162,00559254;979791692,4177325;363304855,5972765;824260504,6368655;1658887075,9293087
2030;17533259280,58822;656347639,6150872;4109761637,9009132;548194897,1515864;3641127307,827249;346417269,5058594;2819799755,7905893;1746115389,308219
2035;10823127947,299074;660530170,553098;4922622759,852709;1021301641,9535137;6052077520,783348;331054514,66439056;4644743701,144672;1825561626,644057
2040;10022200558,42266;635115393,2403437;4785966841,322325;1015069912,993305;5949112238,846753;317796214,4813324;4586621192,966952;1769580375,50743
2045;9635425403,848871;610978218,1852163;4611533156,633443;982275701,2270242;5721178227,772443;306087219,5561916;4429210042,066525;1711038243,3322666
2050;9262431080,686205;586959205,8995777;4436094911,162106;948441536,4804189;5490470156,85139;294438948,2469411;4268334892,1577487;1652061320,3674655
