"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;279517875943,73236;30693125582,146244;50278000093,69803;3824883610,5137362;21549116488,07476;88599488868,23749;7366677990,113925;37359581235,57777
1991;284163515462,9907;26047486062,887928;50278000093,69803;3953286708,503779;21420713390,08472;88599488868,23749;6942443659,275084;35208107129,18078
1992;285288865129,08875;24922136396,78991;50278000093,69801;3743450119,1937437;21630549979,394753;88599488868,23749;7008460274,519303;35542905677,91934
1993;286400420605,7987;23810580920,07995;50278000093,69802;3901054394,0356646;21472945704,552834;88599488868,23749;7064635419,082029;35827793911,058876
1994;287422032396,6178;22788969129,260834;50278000093,69802;4010492034,3868318;21363508064,201668;88599488868,2375;7114559665,453029;36080981160,511795
1995;288326474176,7659;21884527349,112698;50278000093,69802;3753204446,7000265;21620795651,888474;88599488868,2375;7168880485,208155;36356465317,84136
1996;289032579696,41974;21178421829,4589;50278000093,69803;3945492295,2262454;21428507803,36225;88599488868,23749;7231255187,583304;36672794165,60105
1997;289678162510,6824;20532839015,19631;50278000093,69802;3842776195,2151847;21531223903,373314;88599488868,2375;7317568055,616297;37110523710,62551
1998;290305910352,7375;19905091173,141098;50278000093,69802;3950943187,856183;21423056910,73231;88599488868,2375;7373816386,834053;37395783104,658424
1999;291423884096,28253;18787117429,59607;50278000093,69802;3970628377,5572357;21403371721,03126;88599488868,2375;7310879773,601134;37076604566,12005
2000;291959809746,19104;18251191779,68757;50278000093,69801;4015970844,7093415;21358029253,87916;88599488868,2375;7383924268,992152;37447044507,03163
2001;299086887470,9967;18361313964,85844;50857600073,630936;4073585249,064318;21750414831,00376;92175172675,33829;7514347383,355853;38108476015,5904
2002;306301704428,2545;18383696917,57707;51437200053,56384;4184299412,8372016;22089700648,710457;95750856482,4391;7666304684,692853;38879116615,22806
2003;313510796964,17096;18411804291,637062;52016800033,496735;4334183673,445261;22389816369,58197;99326540289,53995;7883735441,193008;39981801166,05026
2004;320806696456,23987;18353104709,544605;52596400013,42965;4733891322,406784;22440108702,100033;102902224096,64073;8047317530,550687;40811396047,79277
2005;328057907942,3725;18339093133,38845;53175999993,362564;4809038914,007489;22814961091,97891;106477907903,74155;8244497818,055415;41811381791,56676
2006;323964585783,56586;23506815277,042877;52721199994,69004;4877773122,703095;22948446882,086018;106897889891,4912;8447109367,559519;42838911792,62328
2007;321971717237,7803;26574083807,676266;52266399996,017555;5220910866,210644;22807529137,38119;107317871879,24078;8643710638,14265;43835961093,43774
2008;325217542324,5335;24402658705,77073;51811599997,34503;4979326229,237894;23251333773,156662;107737853866,99043;9026389512,186321;45776689668,94492
2009;323417278506,4054;27277322508,746742;51356799998,67253;4923746737,5666065;23509133263,630676;108157835854,7401;9010793140,113964;45697593782,00655
2010;322934080963,6484;28834920036,351437;50902000000,00001;5840611579,401684;22794488420,598312;108577817842,48973;8992133687,718708;45602963702,00204
2011;320020522176,4403;32125563611,47064;51157411538,61922;5880754280,892005;22921096831,32035;111736771648,77203;9159102295,48615;46449733069,965485
2012;316174020471,69;36349150104,13202;51412823077,2384;5827359207,445442;23141243016,979282;114895725455,0544;9230411374,549091;46811371970,92753
2013;312786927732,8462;40113327630,88698;51668234615,85761;5442541798,4834175;23692811538,15366;118054679261,33669;9306938354,620028;47199473084,14443
2014;308527350910,587;44749989241,05706;51923646154,47679;5221566422,633606;24080538026,21583;121213633067,61903;9157574596,571333;46441985454,04035
2015;306237865321,15955;47416559618,395645;52179057693,09599;5297005470,244356;24171850090,817448;124372586873,90137;9381838745,891441;47579325068,449455
2020;302812820976,6372;46770879386,42662;51051874194,301094;5347406436,678753;23568496501,625576;123076908179,65408;9471106869,623014;48032041981,65958
2025;296931013276,50494;45270263584,07343;51575197967,99976;5697215353,780819;24300370035,18822;122414173096,62228;11840328158,023232;48475093166,79493
2030;232280348869,4863;28085516520,194332;74469784422,4063;9858500962,095827;43475729283,70249;121726738192,80125;46927468592,347374;42364907781,658165
2035;168258653306,33347;11199078472,63979;97916530528,52708;14139647880,253391;61952898884,781815;121242015442,58089;82341364298,69653;35967145525,4967
2040;163313781205,30353;10040347345,422922;99243549779,83525;14651843367,992353;62012281326,18997;121008132863,61441;85244469452,85226;36140710437,765686
2045;162308999876,42728;9913191163,905216;99112171384,24556;14875270760,876585;61036821944,56246;120787622136,77588;85896183766,53412;36655192825,77477
2050;161186363643,70267;9804536426,52221;98781999208,21317;15066512180,475386;59935460073,551506;120383933378,0276;86343298577,17836;37125359618,35534
