"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;100782781117,66919;1136506785,4729342;9451516677,169348;2258683245,9461327;7966316728,258187;14150086610,023952;1507248857,5160704;2838652014,988599
1991;100783238228,41846;1136049674,7236881;9451516677,169346;2335441853,9260116;7889558120,278308;14150086610,023952;1569213444,5726037;2955351987,2784038
1992;100807927267,114;1111360636,028149;9451516677,16935;2353824409,7213345;7871175564,482984;14150086610,023952;1601524237,0617294;3016203979,7995906
1993;100781338665,47176;1137949237,6703923;9451516677,169348;2235556428,799744;7989443545,404574;14150086610,02395;1701192346,1602628;3203912251,935161
1994;100793067871,00027;1126220032,14188;9451516677,169348;2228444232,6061926;7996555741,598126;14150086610,023952;1734445428,1619482;3266538889,705002
1995;100799892905,17026;1119394997,9718893;9451516677,169348;2192479337,084099;8032520637,12022;14150086610,023952;1791959413,4140303;3374856895,2630897
1996;100803856861,93164;1115431041,2105033;9451516677,169348;2202510854,4459696;8022489119,758349;14150086610,02395;1836586489,831354;3458904555,8490496
1997;100804797214,2877;1114490688,8544517;9451516677,169348;2097524848,3108788;8127475125,893438;14150086610,023954;1887812618,0211387;3555380430,606478
1998;100813027178,91112;1106260724,2310262;9451516677,169348;2066630550,454408;8158369423,749909;14150086610,02395;1924559872,0948746;3624587759,112014
1999;100935783656,61508;983504246,5270512;9451516677,169348;2009419865,824172;8215580108,380148;14150086610,023952;1802184181,7697866;3394113542,3330994
2000;100967627204,4319;951660698,7102472;9451516677,169346;1974147509,3948328;8250852464,809486;14150086610,02395;1802711326,837522;3395106332,2106667
2001;102222469974,7585;953520547,7649707;9313213341,734957;1929634558,897937;8440365420,465507;14014295860,62069;1833155442,492112;3452442750,0268116
2002;103483088467,12392;949604674,7809196;9174910006,300566;1939727619,1386764;8575272365,3839;13878505111,217422;1855983787,4012792;3495436132,9390755
2003;104734371118,86804;955024642,4181744;9036606670,866177;1977361640,3425999;8682638349,339102;13742714361,814152;1895111064,752572;3569125838,617344
2004;105988962381,14343;957135999,5241421;8898303335,431784;2060748455,2788954;8744251539,561935;13606923612,410887;1930376599,693526;3635542596,089474
2005;107230501072,7082;972299927,3406961;8759999999,997395;2040544202,7701404;8909455797,229818;13471132863,00762;1985734820,1998396;3739800578,043031
2006;107339196856,58197;996748143,4571391;8719999999,997913;2121202435,6389785;9325797564,360989;13696911516,59489;2029677789,61138;3822559837,1014333
2007;107390830238,29854;1078258761,7308006;8679999999,998434;2171357424,0217113;9772642575,978262;13922690170,182165;2054570118,3550205;3869440389,5686226
2008;107458731601,03848;1143501398,9810774;8639999999,998957;2164052885,9818115;10276947114,01817;14148468823,769432;2128847612,348562;4009329669,9231253
2009;107516225634,47098;1219151365,5388253;8599999999,999477;2233501338,2057815;10704498661,794212;14374247477,356705;2126119416,5591123;4004191567,852995
2010;107698235228,55058;1170285771,4494379;8559999999,999997;2387018168,284204;11047981831,715796;14600026130,943975;2160399391,413542;4068752187,1621704
2011;108652310826,65172;1213008196,0318992;8642323822,68383;2467516463,004058;11242281140,495066;15014140129,820843;2204905375,861489;4152571791,205803
2012;109584925417,60587;1277191627,7613087;8724647645,367662;2501866504,316355;11482728702,681894;15428254128,697714;2242680017,0857463;4223714032,1781554
2013;110521011853,8078;1337903214,2429585;8806971468,05149;2629174946,8947153;11630217863,602657;15842368127,574585;2282640911,5582957;4298973716,768123
2014;111482516516,61707;1373196574,1172845;8889295290,735325;2653761492,5846734;11880428921,411827;16256482126,451454;2340331152,535653;4407623670,608812
2015;112435516226,5644;1416994886,8535175;8971619113,419159;2679361792,6309686;12129626224,864658;16670596125,328325;2390582466,017751;4502263644,333431
2020;119710031605,64117;1518209970,5205097;9536153937,41997;2944847079,9368854;12668044273,975338;17756689140,710896;2627453975,7051415;4948371654,244683
2025;124345547335,75957;1668961140,1931174;10600392362,39822;3225307249,666394;13614635175,888472;18755527412,76272;3621222810,6918607;5518588083,62062
2030;96154515077,80547;2720470997,508607;20121515479,855347;4296635529,888222;20883005761,834023;19687272778,58001;17066510894,060944;9002558458,890213
2035;63852010352,78519;3791677517,2198825;30167972235,680542;5408953159,26364;28330762289,663826;20388631746,037624;31594390708,537895;12730622466,218222
2040;62750231363,405945;3913242187,025624;31426564573,581417;5674167655,414806;29057739823,9296;20831728494,541702;33434423956,741913;13431571706,579672
2045;63180117392,03157;3936319301,9746933;31779050864,409374;5811847567,793984;29097268816,417282;21052196235,355602;34039219764,81729;13760048460,766554
2050;63174919739,28546;3925636443,3635755;31858036076,00125;5902138867,112164;28886147092,51936;21104108845,033524;34346070929,1695;13973933762,299356
