"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;56920747548,795044;2071279264,5138395;2348037017,0932446;703054564,3860577;11511603560,132576;12508833251,033377;913269941,1559421;2283174852,889855
1991;57514910585,66031;2034242961,1236172;3078819704,4540973;700126565,4694057;12315443098,89195;12853575910,651815;920823192,4996375;2302057981,2490935
1992;59023270455,21267;2147576231,289059;3246341298,5126777;729668137,2435855;12433415711,875559;13198318570,27026;971831313,0274658;2429578282,5686646
1993;59962329185,23182;2243695009,857505;3390929573,9235506;760654419,3523529;13159694485,238836;13543061229,888702;1022753170,4306219;2556882926,0765553
1994;60379134179,22385;2358716739,22958;3565120883,7043767;800492578,6468033;14308564473,79304;13887803889,507149;1085762073,112905;2714405182,7822623
1995;62913892002,20131;2408483487,1092615;5018270404,415434;794472166,5845212;12393444331,147131;14232546549,125586;1085397445,5476284;2713493613,8690715
1996;64636805557,857346;2432931829,722435;4973345014,18498;827104436,1958498;12711815799,314867;14577289208,744032;1103059472,565846;2757648681,414614
1997;66232399176,2738;2470361503,2147098;5016497894,612586;820505776,2145941;13078373916,078747;14922031868,362474;1125665675,7837317;2814164189,459329
1998;68446894730,5497;2512193729,8582897;4503960880,5432625;775027215,6364477;13406081115,970852;15266774527,980917;1151162228,4172883;2877905571,043221
1999;69964353167,03694;2532416275,5691752;4513127230,134162;788421889,0573516;13898993720,829102;15611517187,599358;1168905865,649681;2922264664,1242027
2000;71716255068,7612;2545352085,0180554;4607333834,600939;793002991,9099855;14103223906,651823;15956259847,217798;1182449218,8114688;2956123047,0286727
2001;72762387242,06207;2563273498,7194552;4690788679,986287;822958198,9747655;14959596752,559118;16301002506,836239;1205712320,2462916;3014280800,615728
2002;73792339048,16165;2567235931,3808594;4714665806,629939;839401205,2124124;15921405245,80407;16645745166,454681;1228345027,5303855;3070862568,825964
2003;75075049558,38364;2589372277,486092;4887606969,050515;845145169,8842827;16463526595,683443;16990487826,073126;1253946172,4111104;3134865431,027776
2004;76384955081,14714;2608549129,6896095;4988147986,667042;872388859,9157493;17042720635,938719;17335230485,691566;1276573663,128606;3191434157,8215146
2005;76993839429,03586;2617006169,1971865;5272259722,885414;481033038,1464214;18451293431,85944;17679973145,310013;1332741446,7330475;3331853616,8326187
2006;78206940728,13658;2444869327,9048147;5608596727,486498;489738930,61231244;19097691980,218216;18024715804,928455;1356413285,918037;3391033214,795091
2007;79150072376,64386;2469155556,863908;5684944327,565038;516646433,9195799;20069993666,391052;18369458464,546894;1377065478,3056152;3442663695,764037
2008;81023326205,91673;2476130344,0779786;5367369308,371228;569878066,3789635;20491998591,11693;18714201124,165337;1399170388,563654;3497925971,4091353
2009;83483207957,2219;2474510685,3915477;5504091246,544141;597733438,1910422;21567062124,897324;19339222368,839424;1438334908,2613244;3595837270,6533103
2010;85479317701,27592;2439989473,629611;5639171767,572628;632527046,808509;22420026885,277077;19843723821,939583;1470069515,2847672;3675173788,2119184
2011;86980012752,04062;2402453977,607575;5764109366,384844;694538403,0210167;22865754737,33332;20197155117,69475;1490850184,547964;3727125461,3699107
2012;89793794721,64401;2383441077,0998096;5934629557,074825;738026035,730025;22903484964,12169;20708383256,836246;1516640110,712398;3791600276,7809954
2013;92342582105,36717;2359212035,25227;6063805097,975863;738758100,3326116;23349574013,314777;21231803514,42766;1548361466,665613;3870903666,664032
2014;94541476663,7106;2329687716,262404;6195224545,96391;753589250,19894;24197691782,562725;21768116586,931637;1584632415,5342174;3961581038,835545
2015;96886508587,30872;2305063670,2998695;6417651331,569491;777022222,8885907;24879600403,4384;22318023170,81081;1620608746,7668948;4051521866,917237
2020;98307315747,74413;2337995015,902783;6511641232,173219;790906957,6084038;25226391768,21882;22645572089,7134;1649567664,3765054;4123919160,9412627
2025;95364638095,04596;2330796061,1328344;6984161830,951131;832291111,9869157;24856145396,741467;22275543223,996952;2142674354,8657799;4166623328,536455
2030;73042171938,86217;2871856016,6037197;15889805765,352533;1396044943,1107426;27141118563,95756;21895156121,677822;9653563421,895008;4348806534,421692
2035;51379765996,48879;3389878048,814931;24487493077,36734;1959238442,2336755;29329653294,46441;21518479715,719658;16971392225,338741;4514751037,261579
2040;49121184618,69208;3354970606,7012873;24602410832,58367;1997708264,0190907;28836385570,428947;21135421649,43886;17237573964,371098;4531586883,102923
2045;48063106692,619514;3282558492,3397317;24143790668,730976;1992435450,6155608;28163170919,665195;20726284640,762424;17009036387,67578;4517356681,218789
2050;46877867049,939835;3197772180,4841285;23582286797,514194;1977602835,5102377;27390013889,007072;20243793188,46849;16701781288,579142;4483680731,24354
