"Category";"Cars";"Two-wheelers";"Bus";"Metro-Tram";"Rail";"Aviation";"Bike";"Walk"
1990;633066386347,4885;10438687936,71358;48500000077,778564;7575139488,478184;39169960613,99479;77441718932,78204;5568637353,219713;17596894036,17429
1991;632957371666,0424;10547702618,15993;48500000077,778564;7422036713,605905;39323063388,867065;77441718932,78204;5680059399,934416;17948987703,792763
1992;632979391459,0631;10525682825,139078;48500000077,778564;7563118156,886265;39181981945,58671;77441718932,78206;5711262891,72287;18047590737,84427
1993;633393093413,3204;10111980870,88176;48500000077,77856;7815280158,584753;38929819943,88822;77441718932,78204;5543884079,118424;17518673690,014225
1994;633516404465,9772;9988669818,224983;48500000077,77856;8478735327,2732315;38266364775,19974;77441718932,78204;5510195305,386248;17412217165,02055
1995;633576910495,4396;9928163788,762644;48500000077,778564;8487905414,528236;38257194687,94473;77441718932,78204;5502451927,057398;17387748089,501377
1996;633638651469,6888;9866422814,513428;48500000077,778564;7903245127,800615;38841854974,672356;77441718932,78203;5499119188,335125;17377216635,138992
1997;633789084018,7484;9715990265,453934;48500000077,77856;7764200203,085539;38980899899,38743;77441718932,78204;5436046624,378255;17177907333,035282
1998;633839487434,1282;9665586850,07404;48500000077,778564;7785516473,386388;38959583629,08658;77441718932,78204;5419659619,317428;17126124397,043074
1999;633934291728,6387;9570782555,563597;48500000077,778564;7865260422,384445;38879839680,088524;77441718932,78204;5377866774,424035;16994059007,179958
2000;633890599151,04;9614475133,162148;48500000077,77856;8254824511,439327;38490275591,033646;77441718932,78204;5416041547,549771;17114691290,257282
2001;639844127130,2325;9514513981,674765;47560000061,55086;8315212655,233137;39701067425,22987;81302329850,77647;5355139344,750442;16922240329,411404
2002;645908404360,4727;9303803579,140038;46620000045,32315;8439479493,934288;40847980564,51874;85162940768,77087;5290332963,4324875;16717452164,446665
2003;651639737018,2373;9426037749,08055;45680000029,09546;8334257395,017193;42224382641,42586;89023551686,76529;5282475672,223844;16692623124,227343
2004;657470900140,1614;9448441454,862015;44740000012,867744;8473986859,900725;43355833154,53237;92884162604,75974;5297526010,684709;16740182193,76368
2005;663176352107,9763;9596556314,752056;43799999996,64005;8427393159,633284;44673606832,78984;96744773522,75415;5335599533,57171;16860494526,086603
2006;658091140521,0387;9881101958,842756;44219999997,31205;8756395646,968742;46927604346,969765;94048865967,1288;5334181253,063344;16856012759,68017
2007;652605755120,0293;10565821417,004784;44639999997,98403;9212316327,635303;49054683667,818565;91352958411,50348;5461175047,726999;17257313150,817318
2008;648606629965,8834;9764280628,303854;45059999998,65602;9507699500,418827;51342300496,55042;88657050855,8781;5511881410,376245;17417545256,788933
2009;644245375793,7474;9324868857,592707;45479999999,32801;9579674726,737276;53853325271,74735;85961143300,25276;5462721566,365227;17262200149,71412
2010;640049039485,0769;8720539223,416382;45900000000;9804341115,538626;56211658884,461365;83265235744,62741;5456453299,62675;17242392426,82053
2011;642279524086,8352;8625857524,051804;45951349474,34984;10280598215,77443;57820198887,165634;84692140903,5478;5491262624,932416;17352389894,786434
2012;644596728822,2076;8444455691,0731945;46002698948,699684;10736802692,277922;59448791513,60222;86119046062,46823;5504604516,08934;17394550270,84232
2013;646807594174,9485;8369393240,725969;46054048423,04954;11136318194,276485;61134073114,5437;87545951221,38861;5516110210,505198;17430908265,196423
2014;649243448456,7083;8069341861,35994;46105397897,39936;11444053661,69271;62911134750,06755;88972856380,30904;5530272096,782852;17475659825,833813
2015;651547528434,9653;7901064785,496806;46156747371,74921;12005806102,152435;64434179412,547905;90399761539,22943;5540322676,667321;17507419658,26873
2020;698380537796,345;8413931154,125704;48993259615,93802;12541710014,780767;69977092272,31541;96841841270,47206;5787626404,079442;18288899436,89103
2025;715653600197,0953;9066141982,65084;54887050694,895004;12979413168,426365;76432383786,99214;100853144379,7603;9911448521,863941;19493540000,791794
2030;545548071821,4954;15369466254,002687;128409689419,45581;17399523737,773964;122425311216,12364;104764604775,59303;75797316492,9514;34995428479,36198
2035;359077998276,1315;22167255762,71781;206563380505,7296;21898789774,42315;171221460348,48383;108045253700,97888;144617084732,9752;50788572116,7314
2040;354631903859,43146;23182031826,336998;215789545835,52115;22163797437,722713;179517514153,34546;110361163182,36646;150660099476,4489;51744813461,9397
2045;359399203752,1619;23587142342,2364;218621152654,28595;22072417866,9335;183235092125,83127;111728188749,0166;151586794438,53012;51542237827,71883
2050;361387745258,6639;23770429418,714523;219349800226,61942;21769580568,576702;185249305989,6227;112098143125,35904;151007978533,21564;50835201250,49262
