Year,Country,Variable name,Variable total,Variable per capita,Unit total,Unit per capita,Historical
1990,Austria,final energy demand,230.57460078220015,3.0160901251305152e-05,TWh,TWh / capita,1
1991,Austria,final energy demand,237.7307852357361,3.0830556768439215e-05,TWh,TWh / capita,1
1992,Austria,final energy demand,235.32001888282343,3.0173492294594844e-05,TWh,TWh / capita,1
1993,Austria,final energy demand,235.8588809487748,2.992176497751224e-05,TWh,TWh / capita,1
1994,Austria,final energy demand,231.35960626994705,2.9179848398466422e-05,TWh,TWh / capita,1
1995,Austria,final energy demand,237.1675312624906,2.9856846438950265e-05,TWh,TWh / capita,1
1996,Austria,final energy demand,244.32747565472528,3.072116400562516e-05,TWh,TWh / capita,1
1997,Austria,final energy demand,238.2598740012615,2.9913482870016205e-05,TWh,TWh / capita,1
1998,Austria,final energy demand,238.2944200175048,2.9894737451757668e-05,TWh,TWh / capita,1
1999,Austria,final energy demand,241.28589392104345,3.02270056716899e-05,TWh,TWh / capita,1
2000,Austria,final energy demand,236.4655619318089,2.955012067100276e-05,TWh,TWh / capita,1
2001,Austria,final energy demand,251.0176890085451,3.129527227942254e-05,TWh,TWh / capita,1
2002,Austria,final energy demand,254.4382423924584,3.155377005824397e-05,TWh,TWh / capita,1
2003,Austria,final energy demand,268.02760328333494,3.308871235368671e-05,TWh,TWh / capita,1
2004,Austria,final energy demand,270.170417475332,3.317998100543059e-05,TWh,TWh / capita,1
2005,Austria,final energy demand,276.28932988612405,3.368823750870118e-05,TWh,TWh / capita,1
2006,Austria,final energy demand,276.9119195821286,3.354760387644456e-05,TWh,TWh / capita,1
2007,Austria,final energy demand,272.88219451853865,3.294491387627196e-05,TWh,TWh / capita,1
2008,Austria,final energy demand,273.17336424565724,3.288080475860732e-05,TWh,TWh / capita,1
2009,Austria,final energy demand,257.46542206543324,3.0889661595254765e-05,TWh,TWh / capita,1
2010,Austria,final energy demand,273.7974283602441,3.278366045582218e-05,TWh,TWh / capita,1
2011,Austria,final energy demand,264.2870817757785,3.15560485473214e-05,TWh,TWh / capita,1
2012,Austria,final energy demand,262.43883472688304,3.121254257959454e-05,TWh,TWh / capita,1
2013,Austria,final energy demand,272.26069346130737,3.221310971328292e-05,TWh,TWh / capita,1
2014,Austria,final energy demand,258.900153995738,3.043096688089451e-05,TWh,TWh / capita,1
2015,Austria,final energy demand,265.97925347344994,3.098212535244333e-05,TWh,TWh / capita,1
2020,Austria,final energy demand,273.06720451859735,3.095204492434849e-05,TWh,TWh / capita,1
2025,Austria,final energy demand,248.7075104183167,2.7021709846760376e-05,TWh,TWh / capita,1
2030,Austria,final energy demand,224.246814552207,2.350127974863285e-05,TWh,TWh / capita,1
2035,Austria,final energy demand,196.83922631224166,2.006176582595702e-05,TWh,TWh / capita,1
